?genes_iri	?upRegulated
<http://example.org/onto/individual/ENSMUSG00000061013_CNSOverLung>	"Mkx"
<http://example.org/onto/individual/ENSMUSG00000015709_CNSOverLung>	"Arnt2"
<http://example.org/onto/individual/ENSMUSG00000046541_CNSOverLung>	"Zfp526"
<http://example.org/onto/individual/ENSMUSG00000043157_CNSOverLung>	"Arl11"
<http://example.org/onto/individual/ENSMUSG00000032715_CNSOverLung>	"Trib3"
<http://example.org/onto/individual/ENSMUSG00000022272_CNSOverLung>	"Myo10"
<http://example.org/onto/individual/ENSMUSG00000039286_CNSOverLung>	"Fndc3b"
<http://example.org/onto/individual/ENSMUSG00000099689_CNSOverLung>	"Zfp383"
<http://example.org/onto/individual/ENSMUSG00000062794_CNSOverLung>	"Zfp599"
<http://example.org/onto/individual/ENSMUSG00000064120_CNSOverLung>	"Mocs1"
<http://example.org/onto/individual/ENSMUSG00000038248_CNSOverLung>	"Sobp"
<http://example.org/onto/individual/ENSMUSG00000030701_CNSOverLung>	"Plekhb1"
<http://example.org/onto/individual/ENSMUSG00000064210_CNSOverLung>	"Ano6"
<http://example.org/onto/individual/ENSMUSG00000063362_CNSOverLung>	"Alg11"
<http://example.org/onto/individual/ENSMUSG00000004455_CNSOverLung>	"Ppp1cc"
<http://example.org/onto/individual/ENSMUSG00000030708_CNSOverLung>	"Dnajb13"
<http://example.org/onto/individual/ENSMUSG00000059401_CNSOverLung>	"Mamld1"
<http://example.org/onto/individual/ENSMUSG00000033222_CNSOverLung>	"Ttf2"
<http://example.org/onto/individual/ENSMUSG00000037526_CNSOverLung>	"Atg14"
<http://example.org/onto/individual/ENSMUSG00000073490_CNSOverLung>	"AI607873"
<http://example.org/onto/individual/ENSMUSG00000008090_CNSOverLung>	"Fgfrl1"
<http://example.org/onto/individual/ENSMUSG00000041920_CNSOverLung>	"Slc16a6"
<http://example.org/onto/individual/ENSMUSG00000055900_CNSOverLung>	"Tmem69"
<http://example.org/onto/individual/ENSMUSG00000034259_CNSOverLung>	"Exosc4"
<http://example.org/onto/individual/ENSMUSG00000050240_CNSOverLung>	"Hic2"
<http://example.org/onto/individual/ENSMUSG00000055102_CNSOverLung>	"Zfp819"
<http://example.org/onto/individual/ENSMUSG00000026411_CNSOverLung>	"Tmem9"
<http://example.org/onto/individual/ENSMUSG00000061666_CNSOverLung>	"Gdpd1"
<http://example.org/onto/individual/ENSMUSG00000037710_CNSOverLung>	"Cisd1"
<http://example.org/onto/individual/ENSMUSG00000053580_CNSOverLung>	"Tanc2"
<http://example.org/onto/individual/ENSMUSG00000045362_CNSOverLung>	"Tnfrsf26"
<http://example.org/onto/individual/ENSMUSG00000027253_CNSOverLung>	"Lrp4"
<http://example.org/onto/individual/ENSMUSG00000053600_CNSOverLung>	"Zfp472"
<http://example.org/onto/individual/ENSMUSG00000028121_CNSOverLung>	"Bcar3"
<http://example.org/onto/individual/ENSMUSG00000044339_CNSOverLung>	"Alkbh2"
<http://example.org/onto/individual/ENSMUSG00000053460_CNSOverLung>	"Ggcx"
<http://example.org/onto/individual/ENSMUSG00000039959_CNSOverLung>	"Hip1"
<http://example.org/onto/individual/ENSMUSG00000029234_CNSOverLung>	"Tmem165"
<http://example.org/onto/individual/ENSMUSG00000079685_CNSOverLung>	"Ulbp1"
<http://example.org/onto/individual/ENSMUSG00000013155_CNSOverLung>	"Enkd1"
<http://example.org/onto/individual/ENSMUSG00000036061_CNSOverLung>	"Smug1"
<http://example.org/onto/individual/ENSMUSG00000027323_CNSOverLung>	"Rad51"
<http://example.org/onto/individual/ENSMUSG00000050463_CNSOverLung>	"Krt78"
<http://example.org/onto/individual/ENSMUSG00000039270_CNSOverLung>	"Megf9"
<http://example.org/onto/individual/ENSMUSG00000042708_CNSOverLung>	"Shcbp1l"
<http://example.org/onto/individual/ENSMUSG00000024681_CNSOverLung>	"Ms4a3"
<http://example.org/onto/individual/ENSMUSG00000027306_CNSOverLung>	"Nusap1"
<http://example.org/onto/individual/ENSMUSG00000056665_CNSOverLung>	"Them6"
<http://example.org/onto/individual/ENSMUSG00000007038_CNSOverLung>	"Neu1"
<http://example.org/onto/individual/ENSMUSG00000045316_CNSOverLung>	"Fahd1"
<http://example.org/onto/individual/ENSMUSG00000034771_CNSOverLung>	"Tle2"
<http://example.org/onto/individual/ENSMUSG00000000365_CNSOverLung>	"Rnf17"
<http://example.org/onto/individual/ENSMUSG00000004961_CNSOverLung>	"Syt5"
<http://example.org/onto/individual/ENSMUSG00000019779_CNSOverLung>	"Frk"
<http://example.org/onto/individual/ENSMUSG00000030823_CNSOverLung>	"9130019O22Rik"
<http://example.org/onto/individual/ENSMUSG00000033966_CNSOverLung>	"Cdkl4"
<http://example.org/onto/individual/ENSMUSG00000021720_CNSOverLung>	"Rnf180"
<http://example.org/onto/individual/ENSMUSG00000022408_CNSOverLung>	"Fam83f"
<http://example.org/onto/individual/ENSMUSG00000020027_CNSOverLung>	"Socs2"
<http://example.org/onto/individual/ENSMUSG00000039246_CNSOverLung>	"Lyplal1"
<http://example.org/onto/individual/ENSMUSG00000010307_CNSOverLung>	"Tmem86a"
<http://example.org/onto/individual/ENSMUSG00000039982_CNSOverLung>	"Dtx4"
<http://example.org/onto/individual/ENSMUSG00000038811_CNSOverLung>	"Gngt2"
<http://example.org/onto/individual/ENSMUSG00000015776_CNSOverLung>	"Med22"
<http://example.org/onto/individual/ENSMUSG00000022106_CNSOverLung>	"Rcbtb2"
<http://example.org/onto/individual/ENSMUSG00000038175_CNSOverLung>	"Mylip"
<http://example.org/onto/individual/ENSMUSG00000072601_CNSOverLung>	"Ear1"
<http://example.org/onto/individual/ENSMUSG00000040624_CNSOverLung>	"Plekhg1"
<http://example.org/onto/individual/ENSMUSG00000074797_CNSOverLung>	"Itpa"
<http://example.org/onto/individual/ENSMUSG00000053550_CNSOverLung>	"Shisa7"
<http://example.org/onto/individual/ENSMUSG00000043895_CNSOverLung>	"S1pr2"
<http://example.org/onto/individual/ENSMUSG00000032440_CNSOverLung>	"Tgfbr2"
<http://example.org/onto/individual/ENSMUSG00000066152_CNSOverLung>	"Slc31a2"
<http://example.org/onto/individual/ENSMUSG00000051037_CNSOverLung>	"Zfp455"
<http://example.org/onto/individual/ENSMUSG00000052117_CNSOverLung>	"D630039A03Rik"
<http://example.org/onto/individual/ENSMUSG00000019948_CNSOverLung>	"Actr6"
<http://example.org/onto/individual/ENSMUSG00000030545_CNSOverLung>	"Pex11a"
<http://example.org/onto/individual/ENSMUSG00000017499_CNSOverLung>	"Cdc6"
<http://example.org/onto/individual/ENSMUSG00000015243_CNSOverLung>	"Abca1"
<http://example.org/onto/individual/ENSMUSG00000048833_CNSOverLung>	"Slc39a9"
<http://example.org/onto/individual/ENSMUSG00000044986_CNSOverLung>	"Tst"
<http://example.org/onto/individual/ENSMUSG00000036214_CNSOverLung>	"Znrd1as"
<http://example.org/onto/individual/ENSMUSG00000024030_CNSOverLung>	"Abcg1"
<http://example.org/onto/individual/ENSMUSG00000079450_CNSOverLung>	"3110007F17Rik"
<http://example.org/onto/individual/ENSMUSG00000050737_CNSOverLung>	"Ptges"
<http://example.org/onto/individual/ENSMUSG00000039081_CNSOverLung>	"Zfp503"
<http://example.org/onto/individual/ENSMUSG00000044485_CNSOverLung>	"Klk1b11"
<http://example.org/onto/individual/ENSMUSG00000029370_CNSOverLung>	"Rassf6"
<http://example.org/onto/individual/ENSMUSG00000024732_CNSOverLung>	"Ccdc86"
<http://example.org/onto/individual/ENSMUSG00000020234_CNSOverLung>	"4930404N11Rik"
<http://example.org/onto/individual/ENSMUSG00000055745_CNSOverLung>	"Ldoc1l"
<http://example.org/onto/individual/ENSMUSG00000061815_CNSOverLung>	"Rufy4"
<http://example.org/onto/individual/ENSMUSG00000042302_CNSOverLung>	"Ehbp1"
<http://example.org/onto/individual/ENSMUSG00000036526_CNSOverLung>	"Card11"
<http://example.org/onto/individual/ENSMUSG00000037295_CNSOverLung>	"Ldlrap1"
<http://example.org/onto/individual/ENSMUSG00000078867_CNSOverLung>	"Gm14418"
<http://example.org/onto/individual/ENSMUSG00000032827_CNSOverLung>	"Ppp1r9a"
<http://example.org/onto/individual/ENSMUSG00000000325_CNSOverLung>	"Arvcf"
<http://example.org/onto/individual/ENSMUSG00000048647_CNSOverLung>	"Exd1"
<http://example.org/onto/individual/ENSMUSG00000039633_CNSOverLung>	"Lonrf1"
<http://example.org/onto/individual/ENSMUSG00000058135_CNSOverLung>	"Gstm1"
<http://example.org/onto/individual/ENSMUSG00000053769_CNSOverLung>	"Lysmd1"
<http://example.org/onto/individual/ENSMUSG00000035934_CNSOverLung>	"Pknox2"
<http://example.org/onto/individual/ENSMUSG00000001741_CNSOverLung>	"Il16"
<http://example.org/onto/individual/ENSMUSG00000026478_CNSOverLung>	"Lamc1"
<http://example.org/onto/individual/ENSMUSG00000036617_CNSOverLung>	"Etl4"
<http://example.org/onto/individual/ENSMUSG00000019295_CNSOverLung>	"Tmem129"
<http://example.org/onto/individual/ENSMUSG00000045980_CNSOverLung>	"Tmem104"
<http://example.org/onto/individual/ENSMUSG00000020330_CNSOverLung>	"Hmmr"
<http://example.org/onto/individual/ENSMUSG00000024007_CNSOverLung>	"Ppil1"
<http://example.org/onto/individual/ENSMUSG00000029379_CNSOverLung>	"Cxcl3"
<http://example.org/onto/individual/ENSMUSG00000048280_CNSOverLung>	"Zfp738"
<http://example.org/onto/individual/ENSMUSG00000020057_CNSOverLung>	"Dram1"
<http://example.org/onto/individual/ENSMUSG00000005268_CNSOverLung>	"Prlr"
<http://example.org/onto/individual/ENSMUSG00000035355_CNSOverLung>	"Kcnh4"
<http://example.org/onto/individual/ENSMUSG00000022179_CNSOverLung>	"4931414P19Rik"
<http://example.org/onto/individual/ENSMUSG00000075593_CNSOverLung>	"Gal3st4"
<http://example.org/onto/individual/ENSMUSG00000041498_CNSOverLung>	"Kif14"
<http://example.org/onto/individual/ENSMUSG00000015202_CNSOverLung>	"Cnksr3"
<http://example.org/onto/individual/ENSMUSG00000040813_CNSOverLung>	"Tex264"
<http://example.org/onto/individual/ENSMUSG00000025511_CNSOverLung>	"Tspan4"
<http://example.org/onto/individual/ENSMUSG00000024887_CNSOverLung>	"Asah2"
<http://example.org/onto/individual/ENSMUSG00000059689_CNSOverLung>	"Zfp637"
<http://example.org/onto/individual/ENSMUSG00000042331_CNSOverLung>	"Specc1"
<http://example.org/onto/individual/ENSMUSG00000041491_CNSOverLung>	"Cep78"
<http://example.org/onto/individual/ENSMUSG00000024330_CNSOverLung>	"Col11a2"
<http://example.org/onto/individual/ENSMUSG00000035666_CNSOverLung>	"Gtf3c4"
<http://example.org/onto/individual/ENSMUSG00000022150_CNSOverLung>	"Dab2"
<http://example.org/onto/individual/ENSMUSG00000027748_CNSOverLung>	"Trpc4"
<http://example.org/onto/individual/ENSMUSG00000020696_CNSOverLung>	"Rffl"
<http://example.org/onto/individual/ENSMUSG00000028698_CNSOverLung>	"Pik3r3"
<http://example.org/onto/individual/ENSMUSG00000015476_CNSOverLung>	"Prrt1"
<http://example.org/onto/individual/ENSMUSG00000020185_CNSOverLung>	"E2f7"
<http://example.org/onto/individual/ENSMUSG00000016756_CNSOverLung>	"Cmah"
<http://example.org/onto/individual/ENSMUSG00000024430_CNSOverLung>	"Cabyr"
<http://example.org/onto/individual/ENSMUSG00000063779_CNSOverLung>	"Chil4"
<http://example.org/onto/individual/ENSMUSG00000022564_CNSOverLung>	"Grina"
<http://example.org/onto/individual/ENSMUSG00000055782_CNSOverLung>	"Abcd2"
<http://example.org/onto/individual/ENSMUSG00000019818_CNSOverLung>	"Cd164"
<http://example.org/onto/individual/ENSMUSG00000073700_CNSOverLung>	"Klhl21"
<http://example.org/onto/individual/ENSMUSG00000042073_CNSOverLung>	"Abhd14b"
<http://example.org/onto/individual/ENSMUSG00000051705_CNSOverLung>	"Senp8"
<http://example.org/onto/individual/ENSMUSG00000024527_CNSOverLung>	"Afg3l2"
<http://example.org/onto/individual/ENSMUSG00000017756_CNSOverLung>	"Slc12a7"
<http://example.org/onto/individual/ENSMUSG00000031629_CNSOverLung>	"Cenpu"
<http://example.org/onto/individual/ENSMUSG00000041268_CNSOverLung>	"Dmxl2"
<http://example.org/onto/individual/ENSMUSG00000029484_CNSOverLung>	"Anxa3"
<http://example.org/onto/individual/ENSMUSG00000039304_CNSOverLung>	"Tnfsf10"
<http://example.org/onto/individual/ENSMUSG00000048218_CNSOverLung>	"Amigo2"
<http://example.org/onto/individual/ENSMUSG00000046961_CNSOverLung>	"Gpr156"
<http://example.org/onto/individual/ENSMUSG00000050390_CNSOverLung>	"C77080"
<http://example.org/onto/individual/ENSMUSG00000006715_CNSOverLung>	"Gmnn"
<http://example.org/onto/individual/ENSMUSG00000040734_CNSOverLung>	"Ppp1r13l"
<http://example.org/onto/individual/ENSMUSG00000021750_CNSOverLung>	"Fam107a"
<http://example.org/onto/individual/ENSMUSG00000042106_CNSOverLung>	"Fam212a"
<http://example.org/onto/individual/ENSMUSG00000038816_CNSOverLung>	"Ctnnal1"
<http://example.org/onto/individual/ENSMUSG00000038451_CNSOverLung>	"Spsb2"
<http://example.org/onto/individual/ENSMUSG00000005373_CNSOverLung>	"Mlxipl"
<http://example.org/onto/individual/ENSMUSG00000000562_CNSOverLung>	"Adora3"
<http://example.org/onto/individual/ENSMUSG00000037251_CNSOverLung>	"Pomk"
<http://example.org/onto/individual/ENSMUSG00000028961_CNSOverLung>	"Pgd"
<http://example.org/onto/individual/ENSMUSG00000047141_CNSOverLung>	"Zfp654"
<http://example.org/onto/individual/ENSMUSG00000034957_CNSOverLung>	"Cebpa"
<http://example.org/onto/individual/ENSMUSG00000058046_CNSOverLung>	"4933430I17Rik"
<http://example.org/onto/individual/ENSMUSG00000032911_CNSOverLung>	"Cspg4"
<http://example.org/onto/individual/ENSMUSG00000057396_CNSOverLung>	"Zfp759"
<http://example.org/onto/individual/ENSMUSG00000018672_CNSOverLung>	"Copz2"
<http://example.org/onto/individual/ENSMUSG00000011831_CNSOverLung>	"Evi5"
<http://example.org/onto/individual/ENSMUSG00000044030_CNSOverLung>	"Irf2bp1"
<http://example.org/onto/individual/ENSMUSG00000086564_CNSOverLung>	"Cd101"
<http://example.org/onto/individual/ENSMUSG00000036634_CNSOverLung>	"Mag"
<http://example.org/onto/individual/ENSMUSG00000010047_CNSOverLung>	"Hyal2"
<http://example.org/onto/individual/ENSMUSG00000006219_CNSOverLung>	"Fblim1"
<http://example.org/onto/individual/ENSMUSG00000072964_CNSOverLung>	"Bhlhb9"
<http://example.org/onto/individual/ENSMUSG00000054021_CNSOverLung>	"Sirt5"
<http://example.org/onto/individual/ENSMUSG00000024907_CNSOverLung>	"Gal"
<http://example.org/onto/individual/ENSMUSG00000021892_CNSOverLung>	"Sh3bp5"
<http://example.org/onto/individual/ENSMUSG00000031262_CNSOverLung>	"Cenpi"
<http://example.org/onto/individual/ENSMUSG00000074677_CNSOverLung>	"Sirpb1c"
<http://example.org/onto/individual/ENSMUSG00000002108_CNSOverLung>	"Nr1h3"
<http://example.org/onto/individual/ENSMUSG00000029998_CNSOverLung>	"Pcyox1"
<http://example.org/onto/individual/ENSMUSG00000021226_CNSOverLung>	"Acot2"
<http://example.org/onto/individual/ENSMUSG00000030929_CNSOverLung>	"Eri2"
<http://example.org/onto/individual/ENSMUSG00000007659_CNSOverLung>	"Bcl2l1"
<http://example.org/onto/individual/ENSMUSG00000064373_CNSOverLung>	"Sepp1"
<http://example.org/onto/individual/ENSMUSG00000029156_CNSOverLung>	"Sgcb"
<http://example.org/onto/individual/ENSMUSG00000026672_CNSOverLung>	"Optn"
<http://example.org/onto/individual/ENSMUSG00000034936_CNSOverLung>	"Arl4d"
<http://example.org/onto/individual/ENSMUSG00000017400_CNSOverLung>	"Stac2"
<http://example.org/onto/individual/ENSMUSG00000006435_CNSOverLung>	"Neurl1a"
<http://example.org/onto/individual/ENSMUSG00000020042_CNSOverLung>	"Btbd11"
<http://example.org/onto/individual/ENSMUSG00000038400_CNSOverLung>	"Pmepa1"
<http://example.org/onto/individual/ENSMUSG00000029166_CNSOverLung>	"Mapre3"
<http://example.org/onto/individual/ENSMUSG00000019966_CNSOverLung>	"Kitl"
<http://example.org/onto/individual/ENSMUSG00000032754_CNSOverLung>	"Slc8b1"
<http://example.org/onto/individual/ENSMUSG00000091764_CNSOverLung>	"Zfp964"
<http://example.org/onto/individual/ENSMUSG00000022415_CNSOverLung>	"Syngr1"
<http://example.org/onto/individual/ENSMUSG00000098650_CNSOverLung>	"Gm28048"
<http://example.org/onto/individual/ENSMUSG00000026986_CNSOverLung>	"Hnmt"
<http://example.org/onto/individual/ENSMUSG00000060012_CNSOverLung>	"Kif13b"
<http://example.org/onto/individual/ENSMUSG00000029557_CNSOverLung>	"Ftsj2"
<http://example.org/onto/individual/ENSMUSG00000017002_CNSOverLung>	"Slpi"
<http://example.org/onto/individual/ENSMUSG00000019726_CNSOverLung>	"Lyst"
<http://example.org/onto/individual/ENSMUSG00000028527_CNSOverLung>	"Ak4"
<http://example.org/onto/individual/ENSMUSG00000002020_CNSOverLung>	"Ltbp2"
<http://example.org/onto/individual/ENSMUSG00000035834_CNSOverLung>	"Polr3g"
<http://example.org/onto/individual/ENSMUSG00000024302_CNSOverLung>	"Dtna"
<http://example.org/onto/individual/ENSMUSG00000039601_CNSOverLung>	"Rcan2"
<http://example.org/onto/individual/ENSMUSG00000029822_CNSOverLung>	"Osbpl3"
<http://example.org/onto/individual/ENSMUSG00000001157_CNSOverLung>	"Gmcl1"
<http://example.org/onto/individual/ENSMUSG00000046318_CNSOverLung>	"Ccbe1"
<http://example.org/onto/individual/ENSMUSG00000037418_CNSOverLung>	"Best1"
<http://example.org/onto/individual/ENSMUSG00000000686_CNSOverLung>	"Abhd15"
<http://example.org/onto/individual/ENSMUSG00000039372_CNSOverLung>	"Mar-04"
<http://example.org/onto/individual/ENSMUSG00000058454_CNSOverLung>	"Dhcr7"
<http://example.org/onto/individual/ENSMUSG00000028367_CNSOverLung>	"Txn1"
<http://example.org/onto/individual/ENSMUSG00000021256_CNSOverLung>	"Vash1"
<http://example.org/onto/individual/ENSMUSG00000024866_CNSOverLung>	"Acy3"
<http://example.org/onto/individual/ENSMUSG00000039911_CNSOverLung>	"Spsb1"
<http://example.org/onto/individual/ENSMUSG00000033765_CNSOverLung>	"Calm4"
<http://example.org/onto/individual/ENSMUSG00000029923_CNSOverLung>	"Rab19"
<http://example.org/onto/individual/ENSMUSG00000021493_CNSOverLung>	"Pdlim7"
<http://example.org/onto/individual/ENSMUSG00000037921_CNSOverLung>	"Ddx60"
<http://example.org/onto/individual/ENSMUSG00000013236_CNSOverLung>	"Ptprs"
<http://example.org/onto/individual/ENSMUSG00000060675_CNSOverLung>	"Pla2g16"
<http://example.org/onto/individual/ENSMUSG00000066861_CNSOverLung>	"Oas1g"
<http://example.org/onto/individual/ENSMUSG00000041757_CNSOverLung>	"Plekha6"
<http://example.org/onto/individual/ENSMUSG00000031596_CNSOverLung>	"Slc7a2"
<http://example.org/onto/individual/ENSMUSG00000032776_CNSOverLung>	"Mctp2"
<http://example.org/onto/individual/ENSMUSG00000023031_CNSOverLung>	"Cela1"
<http://example.org/onto/individual/ENSMUSG00000028037_CNSOverLung>	"Ifi44"
<http://example.org/onto/individual/ENSMUSG00000040084_CNSOverLung>	"Bub1b"
<http://example.org/onto/individual/ENSMUSG00000032786_CNSOverLung>	"Alas1"
<http://example.org/onto/individual/ENSMUSG00000039683_CNSOverLung>	"Sdk1"
<http://example.org/onto/individual/ENSMUSG00000038593_CNSOverLung>	"Tctn1"
<http://example.org/onto/individual/ENSMUSG00000048732_CNSOverLung>	"Klhl11"
<http://example.org/onto/individual/ENSMUSG00000050199_CNSOverLung>	"Lgr4"
<http://example.org/onto/individual/ENSMUSG00000044103_CNSOverLung>	"Il1f9"
<http://example.org/onto/individual/ENSMUSG00000006527_CNSOverLung>	"Sfmbt1"
<http://example.org/onto/individual/ENSMUSG00000026958_CNSOverLung>	"Dpp7"
<http://example.org/onto/individual/ENSMUSG00000015340_CNSOverLung>	"Cybb"
<http://example.org/onto/individual/ENSMUSG00000026193_CNSOverLung>	"Fn1"
<http://example.org/onto/individual/ENSMUSG00000067931_CNSOverLung>	"Zfp948"
<http://example.org/onto/individual/ENSMUSG00000041147_CNSOverLung>	"Brca2"
<http://example.org/onto/individual/ENSMUSG00000030401_CNSOverLung>	"Rtn2"
<http://example.org/onto/individual/ENSMUSG00000035067_CNSOverLung>	"Xkr6"
<http://example.org/onto/individual/ENSMUSG00000027496_CNSOverLung>	"Aurka"
<http://example.org/onto/individual/ENSMUSG00000001313_CNSOverLung>	"Rnd2"
<http://example.org/onto/individual/ENSMUSG00000023868_CNSOverLung>	"Pde10a"
<http://example.org/onto/individual/ENSMUSG00000004846_CNSOverLung>	"Plod3"
<http://example.org/onto/individual/ENSMUSG00000026249_CNSOverLung>	"Serpine2"
<http://example.org/onto/individual/ENSMUSG00000030428_CNSOverLung>	"Ttyh1"
<http://example.org/onto/individual/ENSMUSG00000020092_CNSOverLung>	"Pald1"
<http://example.org/onto/individual/ENSMUSG00000013419_CNSOverLung>	"Zfp651"
<http://example.org/onto/individual/ENSMUSG00000078308_CNSOverLung>	"Gm7293"
<http://example.org/onto/individual/ENSMUSG00000030159_CNSOverLung>	"Clec1b"
<http://example.org/onto/individual/ENSMUSG00000070873_CNSOverLung>	"Lilra5"
<http://example.org/onto/individual/ENSMUSG00000041216_CNSOverLung>	"Clvs1"
<http://example.org/onto/individual/ENSMUSG00000036339_CNSOverLung>	"Tmem260"
<http://example.org/onto/individual/ENSMUSG00000029781_CNSOverLung>	"Fkbp9"
<http://example.org/onto/individual/ENSMUSG00000000532_CNSOverLung>	"Acvr1b"
<http://example.org/onto/individual/ENSMUSG00000001930_CNSOverLung>	"Vwf"
<http://example.org/onto/individual/ENSMUSG00000040502_CNSOverLung>	"Mar-09"
<http://example.org/onto/individual/ENSMUSG00000031618_CNSOverLung>	"Nr3c2"
<http://example.org/onto/individual/ENSMUSG00000021646_CNSOverLung>	"Mccc2"
<http://example.org/onto/individual/ENSMUSG00000069516_CNSOverLung>	"Lyz2"
<http://example.org/onto/individual/ENSMUSG00000025555_CNSOverLung>	"Farp1"
<http://example.org/onto/individual/ENSMUSG00000029163_CNSOverLung>	"Emilin1"
<http://example.org/onto/individual/ENSMUSG00000030172_CNSOverLung>	"Erc1"
<http://example.org/onto/individual/ENSMUSG00000000881_CNSOverLung>	"Dlg3"
<http://example.org/onto/individual/ENSMUSG00000026377_CNSOverLung>	"Nifk"
<http://example.org/onto/individual/ENSMUSG00000027082_CNSOverLung>	"Tfpi"
<http://example.org/onto/individual/ENSMUSG00000056073_CNSOverLung>	"Grik2"
<http://example.org/onto/individual/ENSMUSG00000020256_CNSOverLung>	"Aldh1l2"
<http://example.org/onto/individual/ENSMUSG00000060147_CNSOverLung>	"Serpinb6a"
<http://example.org/onto/individual/ENSMUSG00000003271_CNSOverLung>	"Sult2b1"
<http://example.org/onto/individual/ENSMUSG00000044199_CNSOverLung>	"S1pr4"
<http://example.org/onto/individual/ENSMUSG00000021556_CNSOverLung>	"Golm1"
<http://example.org/onto/individual/ENSMUSG00000051224_CNSOverLung>	"Tceanc"
<http://example.org/onto/individual/ENSMUSG00000036390_CNSOverLung>	"Gadd45a"
<http://example.org/onto/individual/ENSMUSG00000044244_CNSOverLung>	"Il20rb"
<http://example.org/onto/individual/ENSMUSG00000032502_CNSOverLung>	"Stac"
<http://example.org/onto/individual/ENSMUSG00000030867_CNSOverLung>	"Plk1"
<http://example.org/onto/individual/ENSMUSG00000032392_CNSOverLung>	"Parp16"
<http://example.org/onto/individual/ENSMUSG00000037523_CNSOverLung>	"Mavs"
<http://example.org/onto/individual/ENSMUSG00000025324_CNSOverLung>	"Atp10a"
<http://example.org/onto/individual/ENSMUSG00000026274_CNSOverLung>	"Pask"
