?genes_iri	?upRegulated
<http://example.org/onto/individual/ENSMUSG00000008435_CNSOverLung>	"Rdh13"
<http://example.org/onto/individual/ENSMUSG00000052534_CNSOverLung>	"Pbx1"
<http://example.org/onto/individual/ENSMUSG00000028980_CNSOverLung>	"H6pd"
<http://example.org/onto/individual/ENSMUSG00000033577_CNSOverLung>	"Myo6"
<http://example.org/onto/individual/ENSMUSG00000031337_CNSOverLung>	"Mtm1"
<http://example.org/onto/individual/ENSMUSG00000021636_CNSOverLung>	"Marveld2"
<http://example.org/onto/individual/ENSMUSG00000021765_CNSOverLung>	"Fst"
<http://example.org/onto/individual/ENSMUSG00000036098_CNSOverLung>	"Myrf"
<http://example.org/onto/individual/ENSMUSG00000069874_CNSOverLung>	"Irgm2"
<http://example.org/onto/individual/ENSMUSG00000023992_CNSOverLung>	"Trem2"
<http://example.org/onto/individual/ENSMUSG00000071847_CNSOverLung>	"Apcdd1"
<http://example.org/onto/individual/ENSMUSG00000033902_CNSOverLung>	"Mapkbp1"
<http://example.org/onto/individual/ENSMUSG00000001751_CNSOverLung>	"Naglu"
<http://example.org/onto/individual/ENSMUSG00000002985_CNSOverLung>	"Apoe"
<http://example.org/onto/individual/ENSMUSG00000042487_CNSOverLung>	"Leo1"
<http://example.org/onto/individual/ENSMUSG00000022360_CNSOverLung>	"Atad2"
<http://example.org/onto/individual/ENSMUSG00000064105_CNSOverLung>	"Cnnm2"
<http://example.org/onto/individual/ENSMUSG00000022091_CNSOverLung>	"Sorbs3"
<http://example.org/onto/individual/ENSMUSG00000030894_CNSOverLung>	"Tpp1"
<http://example.org/onto/individual/ENSMUSG00000042770_CNSOverLung>	"Hebp1"
<http://example.org/onto/individual/ENSMUSG00000049396_CNSOverLung>	"Gemin4"
<http://example.org/onto/individual/ENSMUSG00000031840_CNSOverLung>	"Rab3a"
<http://example.org/onto/individual/ENSMUSG00000033788_CNSOverLung>	"Dysf"
<http://example.org/onto/individual/ENSMUSG00000075271_CNSOverLung>	"Ttc30a1"
<http://example.org/onto/individual/ENSMUSG00000049409_CNSOverLung>	"Prokr1"
<http://example.org/onto/individual/ENSMUSG00000021215_CNSOverLung>	"Net1"
<http://example.org/onto/individual/ENSMUSG00000044250_CNSOverLung>	"Pced1b"
<http://example.org/onto/individual/ENSMUSG00000015090_CNSOverLung>	"Ptgds"
<http://example.org/onto/individual/ENSMUSG00000020493_CNSOverLung>	"Prr11"
<http://example.org/onto/individual/ENSMUSG00000042349_CNSOverLung>	"Ikbke"
<http://example.org/onto/individual/ENSMUSG00000024770_CNSOverLung>	"Lipn"
<http://example.org/onto/individual/ENSMUSG00000044795_CNSOverLung>	"Cyb5d1"
<http://example.org/onto/individual/ENSMUSG00000044042_CNSOverLung>	"Fmn1"
<http://example.org/onto/individual/ENSMUSG00000038145_CNSOverLung>	"Snrk"
<http://example.org/onto/individual/ENSMUSG00000028369_CNSOverLung>	"Svep1"
<http://example.org/onto/individual/ENSMUSG00000030539_CNSOverLung>	"Sema4b"
<http://example.org/onto/individual/ENSMUSG00000019528_CNSOverLung>	"Gyg"
<http://example.org/onto/individual/ENSMUSG00000034247_CNSOverLung>	"Plekhm1"
<http://example.org/onto/individual/ENSMUSG00000010461_CNSOverLung>	"Eya4"
<http://example.org/onto/individual/ENSMUSG00000035878_CNSOverLung>	"Hykk"
<http://example.org/onto/individual/ENSMUSG00000046658_CNSOverLung>	"Zfp316"
<http://example.org/onto/individual/ENSMUSG00000041945_CNSOverLung>	"Mfsd9"
<http://example.org/onto/individual/ENSMUSG00000067878_CNSOverLung>	"Mtap7d3"
<http://example.org/onto/individual/ENSMUSG00000025956_CNSOverLung>	"Mettl21a"
<http://example.org/onto/individual/ENSMUSG00000029094_CNSOverLung>	"Afap1"
