?genes_iri	?downRegulated
<http://example.org/onto/individual/ENSMUSG00000017446_CNSOverLiver>	"C1qtnf1"
<http://example.org/onto/individual/ENSMUSG00000046841_CNSOverLiver>	"Ckap4"
<http://example.org/onto/individual/ENSMUSG00000020186_CNSOverLiver>	"Csrp2"
<http://example.org/onto/individual/ENSMUSG00000032417_CNSOverLiver>	"Rwdd2a"
<http://example.org/onto/individual/ENSMUSG00000034570_CNSOverLiver>	"Inpp5j"
<http://example.org/onto/individual/ENSMUSG00000025573_CNSOverLiver>	"6030468B19Rik"
<http://example.org/onto/individual/ENSMUSG00000037318_CNSOverLiver>	"Traf3ip3"
<http://example.org/onto/individual/ENSMUSG00000022010_CNSOverLiver>	"Tsc22d1"
<http://example.org/onto/individual/ENSMUSG00000039109_CNSOverLiver>	"F13a1"
<http://example.org/onto/individual/ENSMUSG00000022505_CNSOverLiver>	"Emp2"
<http://example.org/onto/individual/ENSMUSG00000041649_CNSOverLiver>	"Klf8"
<http://example.org/onto/individual/ENSMUSG00000025165_CNSOverLiver>	"Sectm1a"
<http://example.org/onto/individual/ENSMUSG00000047592_CNSOverLiver>	"Nxpe5"
<http://example.org/onto/individual/ENSMUSG00000071647_CNSOverLiver>	"Eml3"
<http://example.org/onto/individual/ENSMUSG00000022602_CNSOverLiver>	"Arc"
<http://example.org/onto/individual/ENSMUSG00000022436_CNSOverLiver>	"Sh3bp1"
<http://example.org/onto/individual/ENSMUSG00000044854_CNSOverLiver>	"1700056E22Rik"
<http://example.org/onto/individual/ENSMUSG00000062168_CNSOverLiver>	"Ppef1"
<http://example.org/onto/individual/ENSMUSG00000017697_CNSOverLiver>	"Ada"
<http://example.org/onto/individual/ENSMUSG00000068566_CNSOverLiver>	"Myadm"
<http://example.org/onto/individual/ENSMUSG00000018169_CNSOverLiver>	"Mfng"
<http://example.org/onto/individual/ENSMUSG00000040133_CNSOverLiver>	"Gpr176"
<http://example.org/onto/individual/ENSMUSG00000071042_CNSOverLiver>	"Rasgrp3"
<http://example.org/onto/individual/ENSMUSG00000022528_CNSOverLiver>	"Hes1"
<http://example.org/onto/individual/ENSMUSG00000032718_CNSOverLiver>	"Mansc1"
<http://example.org/onto/individual/ENSMUSG00000026509_CNSOverLiver>	"Capn2"
<http://example.org/onto/individual/ENSMUSG00000066684_CNSOverLiver>	"Pilrb1"
<http://example.org/onto/individual/ENSMUSG00000042351_CNSOverLiver>	"Grap2"
<http://example.org/onto/individual/ENSMUSG00000024673_CNSOverLiver>	"Ms4a1"
<http://example.org/onto/individual/ENSMUSG00000039529_CNSOverLiver>	"Atp8b1"
<http://example.org/onto/individual/ENSMUSG00000048376_CNSOverLiver>	"F2r"
<http://example.org/onto/individual/ENSMUSG00000063568_CNSOverLiver>	"Jazf1"
<http://example.org/onto/individual/ENSMUSG00000039680_CNSOverLiver>	"Mrps6"
<http://example.org/onto/individual/ENSMUSG00000019699_CNSOverLiver>	"Akt3"
<http://example.org/onto/individual/ENSMUSG00000001062_CNSOverLiver>	"Vps9d1"
<http://example.org/onto/individual/ENSMUSG00000005043_CNSOverLiver>	"Sgsh"
<http://example.org/onto/individual/ENSMUSG00000059810_CNSOverLiver>	"Rgs3"
<http://example.org/onto/individual/ENSMUSG00000005672_CNSOverLiver>	"Kit"
<http://example.org/onto/individual/ENSMUSG00000056091_CNSOverLiver>	"St3gal5"
<http://example.org/onto/individual/ENSMUSG00000026072_CNSOverLiver>	"Il1r1"
<http://example.org/onto/individual/ENSMUSG00000078922_CNSOverLiver>	"Tgtp1"
<http://example.org/onto/individual/ENSMUSG00000018168_CNSOverLiver>	"Ikzf3"
<http://example.org/onto/individual/ENSMUSG00000062545_CNSOverLiver>	"Tlr12"
<http://example.org/onto/individual/ENSMUSG00000092074_CNSOverLiver>	"Dynlt1a"
<http://example.org/onto/individual/ENSMUSG00000025491_CNSOverLiver>	"Ifitm1"
<http://example.org/onto/individual/ENSMUSG00000040680_CNSOverLiver>	"Kremen2"
<http://example.org/onto/individual/ENSMUSG00000018919_CNSOverLiver>	"Tm4sf5"
<http://example.org/onto/individual/ENSMUSG00000037754_CNSOverLiver>	"Ppp1r16b"
<http://example.org/onto/individual/ENSMUSG00000022184_CNSOverLiver>	"Fbxo4"
<http://example.org/onto/individual/ENSMUSG00000021880_CNSOverLiver>	"Rnase6"
<http://example.org/onto/individual/ENSMUSG00000069833_CNSOverLiver>	"Ahnak"
<http://example.org/onto/individual/ENSMUSG00000027993_CNSOverLiver>	"Trim2"
<http://example.org/onto/individual/ENSMUSG00000022463_CNSOverLiver>	"Srebf2"
<http://example.org/onto/individual/ENSMUSG00000031799_CNSOverLiver>	"Tpm4"
<http://example.org/onto/individual/ENSMUSG00000076523_CNSOverLiver>	"Igkv15-103"
<http://example.org/onto/individual/ENSMUSG00000040197_CNSOverLiver>	"Cd209e"
<http://example.org/onto/individual/ENSMUSG00000005540_CNSOverLiver>	"Fcer2a"
<http://example.org/onto/individual/ENSMUSG00000070000_CNSOverLiver>	"Fcho1"
<http://example.org/onto/individual/ENSMUSG00000049103_CNSOverLiver>	"Ccr2"
<http://example.org/onto/individual/ENSMUSG00000026177_CNSOverLiver>	"Slc11a1"
<http://example.org/onto/individual/ENSMUSG00000040033_CNSOverLiver>	"Stat2"
<http://example.org/onto/individual/ENSMUSG00000047880_CNSOverLiver>	"Cxcr5"
<http://example.org/onto/individual/ENSMUSG00000035901_CNSOverLiver>	"Dennd5a"
<http://example.org/onto/individual/ENSMUSG00000035246_CNSOverLiver>	"Pcyt1b"
<http://example.org/onto/individual/ENSMUSG00000047446_CNSOverLiver>	"Arl4a"
<http://example.org/onto/individual/ENSMUSG00000010142_CNSOverLiver>	"Tnfrsf13b"
<http://example.org/onto/individual/ENSMUSG00000070348_CNSOverLiver>	"Ccnd1"
<http://example.org/onto/individual/ENSMUSG00000037681_CNSOverLiver>	"Esyt3"
<http://example.org/onto/individual/ENSMUSG00000060586_CNSOverLiver>	"H2-Eb1"
<http://example.org/onto/individual/ENSMUSG00000095079_CNSOverLiver>	"Igha"
<http://example.org/onto/individual/ENSMUSG00000002910_CNSOverLiver>	"Arrdc2"
<http://example.org/onto/individual/ENSMUSG00000033965_CNSOverLiver>	"Slc16a2"
<http://example.org/onto/individual/ENSMUSG00000022651_CNSOverLiver>	"Retnlg"
<http://example.org/onto/individual/ENSMUSG00000074006_CNSOverLiver>	"Omp"
<http://example.org/onto/individual/ENSMUSG00000029703_CNSOverLiver>	"Lrwd1"
<http://example.org/onto/individual/ENSMUSG00000041515_CNSOverLiver>	"Irf8"
<http://example.org/onto/individual/ENSMUSG00000043099_CNSOverLiver>	"Hic1"
<http://example.org/onto/individual/ENSMUSG00000027068_CNSOverLiver>	"Dhrs9"
<http://example.org/onto/individual/ENSMUSG00000052613_CNSOverLiver>	"Pcdh15"
<http://example.org/onto/individual/ENSMUSG00000044206_CNSOverLiver>	"Vsig4"
<http://example.org/onto/individual/ENSMUSG00000019846_CNSOverLiver>	"Lama4"
<http://example.org/onto/individual/ENSMUSG00000054150_CNSOverLiver>	"Syne3"
<http://example.org/onto/individual/ENSMUSG00000002668_CNSOverLiver>	"Dennd1c"
<http://example.org/onto/individual/ENSMUSG00000031112_CNSOverLiver>	"Stk26"
<http://example.org/onto/individual/ENSMUSG00000030409_CNSOverLiver>	"Dmpk"
<http://example.org/onto/individual/ENSMUSG00000005237_CNSOverLiver>	"Dnah2"
<http://example.org/onto/individual/ENSMUSG00000025934_CNSOverLiver>	"Gsta3"
<http://example.org/onto/individual/ENSMUSG00000033933_CNSOverLiver>	"Vhl"
<http://example.org/onto/individual/ENSMUSG00000051043_CNSOverLiver>	"Gprc5c"
<http://example.org/onto/individual/ENSMUSG00000025225_CNSOverLiver>	"Nfkb2"
<http://example.org/onto/individual/ENSMUSG00000058126_CNSOverLiver>	"Tpm3-rs7"
<http://example.org/onto/individual/ENSMUSG00000036718_CNSOverLiver>	"Micall2"
<http://example.org/onto/individual/ENSMUSG00000068335_CNSOverLiver>	"Dok1"
<http://example.org/onto/individual/ENSMUSG00000039908_CNSOverLiver>	"Slc26a11"
<http://example.org/onto/individual/ENSMUSG00000050315_CNSOverLiver>	"Synpo2"
<http://example.org/onto/individual/ENSMUSG00000064262_CNSOverLiver>	"Gimap8"
<http://example.org/onto/individual/ENSMUSG00000018474_CNSOverLiver>	"Chd3"
<http://example.org/onto/individual/ENSMUSG00000049709_CNSOverLiver>	"Nlrp10"
<http://example.org/onto/individual/ENSMUSG00000067149_CNSOverLiver>	"Igj"
<http://example.org/onto/individual/ENSMUSG00000028356_CNSOverLiver>	"Ambp"
<http://example.org/onto/individual/ENSMUSG00000094335_CNSOverLiver>	"Igkv1-117"
<http://example.org/onto/individual/ENSMUSG00000038544_CNSOverLiver>	"Inip"
<http://example.org/onto/individual/ENSMUSG00000031015_CNSOverLiver>	"Swap70"
<http://example.org/onto/individual/ENSMUSG00000062101_CNSOverLiver>	"Zfp119b"
<http://example.org/onto/individual/ENSMUSG00000078763_CNSOverLiver>	"Slfn1"
<http://example.org/onto/individual/ENSMUSG00000046280_CNSOverLiver>	"She"
<http://example.org/onto/individual/ENSMUSG00000022186_CNSOverLiver>	"Oxct1"
<http://example.org/onto/individual/ENSMUSG00000029530_CNSOverLiver>	"Ccr9"
<http://example.org/onto/individual/ENSMUSG00000059852_CNSOverLiver>	"Kcng2"
<http://example.org/onto/individual/ENSMUSG00000041439_CNSOverLiver>	"Mfsd6"
<http://example.org/onto/individual/ENSMUSG00000026556_CNSOverLiver>	"Vangl2"
<http://example.org/onto/individual/ENSMUSG00000026708_CNSOverLiver>	"Cenpl"
<http://example.org/onto/individual/ENSMUSG00000048497_CNSOverLiver>	"Mmgt2"
<http://example.org/onto/individual/ENSMUSG00000025758_CNSOverLiver>	"Plk4"
<http://example.org/onto/individual/ENSMUSG00000034634_CNSOverLiver>	"Ly6d"
<http://example.org/onto/individual/ENSMUSG00000055235_CNSOverLiver>	"Wdr86"
<http://example.org/onto/individual/ENSMUSG00000040247_CNSOverLiver>	"Tbc1d10c"
<http://example.org/onto/individual/ENSMUSG00000045322_CNSOverLiver>	"Tlr9"
<http://example.org/onto/individual/ENSMUSG00000050600_CNSOverLiver>	"Zfp831"
<http://example.org/onto/individual/ENSMUSG00000028028_CNSOverLiver>	"Alpk1"
<http://example.org/onto/individual/ENSMUSG00000056724_CNSOverLiver>	"Nbeal2"
<http://example.org/onto/individual/ENSMUSG00000028758_CNSOverLiver>	"Kif17"
<http://example.org/onto/individual/ENSMUSG00000020798_CNSOverLiver>	"Spns3"
<http://example.org/onto/individual/ENSMUSG00000038224_CNSOverLiver>	"Serpinf2"
<http://example.org/onto/individual/ENSMUSG00000051506_CNSOverLiver>	"Wdfy4"
<http://example.org/onto/individual/ENSMUSG00000034987_CNSOverLiver>	"Hrh2"
<http://example.org/onto/individual/ENSMUSG00000047631_CNSOverLiver>	"Apof"
<http://example.org/onto/individual/ENSMUSG00000002006_CNSOverLiver>	"Pdzd4"
<http://example.org/onto/individual/ENSMUSG00000044258_CNSOverLiver>	"Ctla2a"
<http://example.org/onto/individual/ENSMUSG00000014418_CNSOverLiver>	"Hps5"
<http://example.org/onto/individual/ENSMUSG00000030583_CNSOverLiver>	"Sipa1l3"
<http://example.org/onto/individual/ENSMUSG00000023830_CNSOverLiver>	"Igf2r"
<http://example.org/onto/individual/ENSMUSG00000002804_CNSOverLiver>	"Nudt14"
<http://example.org/onto/individual/ENSMUSG00000026811_CNSOverLiver>	"St6galnac6"
<http://example.org/onto/individual/ENSMUSG00000028100_CNSOverLiver>	"Nudt17"
<http://example.org/onto/individual/ENSMUSG00000104213_CNSOverLiver>	"Ighd"
<http://example.org/onto/individual/ENSMUSG00000039115_CNSOverLiver>	"Itga9"
<http://example.org/onto/individual/ENSMUSG00000054065_CNSOverLiver>	"Pkp3"
<http://example.org/onto/individual/ENSMUSG00000022475_CNSOverLiver>	"Hdac7"
<http://example.org/onto/individual/ENSMUSG00000066877_CNSOverLiver>	"Nck2"
<http://example.org/onto/individual/ENSMUSG00000035042_CNSOverLiver>	"Ccl5"
<http://example.org/onto/individual/ENSMUSG00000014453_CNSOverLiver>	"Blk"
<http://example.org/onto/individual/ENSMUSG00000021356_CNSOverLiver>	"Irf4"
<http://example.org/onto/individual/ENSMUSG00000039116_CNSOverLiver>	"Adgrg6"
<http://example.org/onto/individual/ENSMUSG00000039095_CNSOverLiver>	"En2"
<http://example.org/onto/individual/ENSMUSG00000031728_CNSOverLiver>	"Zfp821"
<http://example.org/onto/individual/ENSMUSG00000060244_CNSOverLiver>	"Alyref2"
<http://example.org/onto/individual/ENSMUSG00000001270_CNSOverLiver>	"Ckb"
<http://example.org/onto/individual/ENSMUSG00000062638_CNSOverLiver>	"Btnl1"
<http://example.org/onto/individual/ENSMUSG00000028348_CNSOverLiver>	"Murc"
<http://example.org/onto/individual/ENSMUSG00000043263_CNSOverLiver>	"Pyhin1"
<http://example.org/onto/individual/ENSMUSG00000028617_CNSOverLiver>	"Lrrc42"
<http://example.org/onto/individual/ENSMUSG00000027994_CNSOverLiver>	"Ccdc109b"
<http://example.org/onto/individual/ENSMUSG00000096490_CNSOverLiver>	"Igkv10-94"
<http://example.org/onto/individual/ENSMUSG00000022237_CNSOverLiver>	"Ankrd33b"
<http://example.org/onto/individual/ENSMUSG00000093930_CNSOverLiver>	"Hmgcs1"
<http://example.org/onto/individual/ENSMUSG00000034898_CNSOverLiver>	"Filip1"
<http://example.org/onto/individual/ENSMUSG00000020476_CNSOverLiver>	"Dbnl"
<http://example.org/onto/individual/ENSMUSG00000003123_CNSOverLiver>	"Lipe"
<http://example.org/onto/individual/ENSMUSG00000030223_CNSOverLiver>	"Ptpro"
<http://example.org/onto/individual/ENSMUSG00000049241_CNSOverLiver>	"Hcar1"
<http://example.org/onto/individual/ENSMUSG00000053004_CNSOverLiver>	"Hrh1"
<http://example.org/onto/individual/ENSMUSG00000036111_CNSOverLiver>	"Lmo1"
<http://example.org/onto/individual/ENSMUSG00000020437_CNSOverLiver>	"Myo1g"
<http://example.org/onto/individual/ENSMUSG00000032066_CNSOverLiver>	"Bco2"
<http://example.org/onto/individual/ENSMUSG00000022901_CNSOverLiver>	"Cd86"
<http://example.org/onto/individual/ENSMUSG00000028307_CNSOverLiver>	"Aldob"
<http://example.org/onto/individual/ENSMUSG00000059013_CNSOverLiver>	"Sh2d3c"
<http://example.org/onto/individual/ENSMUSG00000019539_CNSOverLiver>	"Rcn3"
<http://example.org/onto/individual/ENSMUSG00000044703_CNSOverLiver>	"Phf11a"
<http://example.org/onto/individual/ENSMUSG00000031842_CNSOverLiver>	"Pde4c"
<http://example.org/onto/individual/ENSMUSG00000090077_CNSOverLiver>	"Lime1"
<http://example.org/onto/individual/ENSMUSG00000052749_CNSOverLiver>	"Trim30b"
<http://example.org/onto/individual/ENSMUSG00000009145_CNSOverLiver>	"Dqx1"
<http://example.org/onto/individual/ENSMUSG00000072694_CNSOverLiver>	"1500011B03Rik"
<http://example.org/onto/individual/ENSMUSG00000057506_CNSOverLiver>	"Bloc1s2"
<http://example.org/onto/individual/ENSMUSG00000041552_CNSOverLiver>	"Ptchd1"
<http://example.org/onto/individual/ENSMUSG00000040350_CNSOverLiver>	"Trim7"
<http://example.org/onto/individual/ENSMUSG00000024033_CNSOverLiver>	"Rsph1"
<http://example.org/onto/individual/ENSMUSG00000043487_CNSOverLiver>	"Acot6"
<http://example.org/onto/individual/ENSMUSG00000008859_CNSOverLiver>	"Rala"
<http://example.org/onto/individual/ENSMUSG00000049191_CNSOverLiver>	"Rgag4"
<http://example.org/onto/individual/ENSMUSG00000031639_CNSOverLiver>	"Tlr3"
<http://example.org/onto/individual/ENSMUSG00000028080_CNSOverLiver>	"Lrba"
<http://example.org/onto/individual/ENSMUSG00000070304_CNSOverLiver>	"Scn2b"
<http://example.org/onto/individual/ENSMUSG00000012350_CNSOverLiver>	"Ehf"
<http://example.org/onto/individual/ENSMUSG00000020926_CNSOverLiver>	"Adam11"
<http://example.org/onto/individual/ENSMUSG00000043090_CNSOverLiver>	"Zfp866"
<http://example.org/onto/individual/ENSMUSG00000030265_CNSOverLiver>	"Kras"
<http://example.org/onto/individual/ENSMUSG00000046865_CNSOverLiver>	"Fbl"
<http://example.org/onto/individual/ENSMUSG00000028653_CNSOverLiver>	"Trit1"
<http://example.org/onto/individual/ENSMUSG00000031149_CNSOverLiver>	"Praf2"
<http://example.org/onto/individual/ENSMUSG00000073412_CNSOverLiver>	"Lst1"
<http://example.org/onto/individual/ENSMUSG00000025372_CNSOverLiver>	"Baiap2"
<http://example.org/onto/individual/ENSMUSG00000023827_CNSOverLiver>	"Agpat4"
<http://example.org/onto/individual/ENSMUSG00000036172_CNSOverLiver>	"Cd200r3"
<http://example.org/onto/individual/ENSMUSG00000054342_CNSOverLiver>	"Kcnn4"
<http://example.org/onto/individual/ENSMUSG00000021675_CNSOverLiver>	"F2rl2"
<http://example.org/onto/individual/ENSMUSG00000030352_CNSOverLiver>	"Tspan9"
<http://example.org/onto/individual/ENSMUSG00000044313_CNSOverLiver>	"Mab21l3"
<http://example.org/onto/individual/ENSMUSG00000062866_CNSOverLiver>	"Phactr2"
<http://example.org/onto/individual/ENSMUSG00000000682_CNSOverLiver>	"Cd52"
<http://example.org/onto/individual/ENSMUSG00000053395_CNSOverLiver>	"Cacng8"
<http://example.org/onto/individual/ENSMUSG00000050931_CNSOverLiver>	"Sgms2"
<http://example.org/onto/individual/ENSMUSG00000017737_CNSOverLiver>	"Mmp9"
<http://example.org/onto/individual/ENSMUSG00000040283_CNSOverLiver>	"Btnl9"
<http://example.org/onto/individual/ENSMUSG00000037960_CNSOverLiver>	"1110007C09Rik"
<http://example.org/onto/individual/ENSMUSG00000043004_CNSOverLiver>	"Gng2"
<http://example.org/onto/individual/ENSMUSG00000033721_CNSOverLiver>	"Vav3"
<http://example.org/onto/individual/ENSMUSG00000016028_CNSOverLiver>	"Celsr1"
<http://example.org/onto/individual/ENSMUSG00000047123_CNSOverLiver>	"Ticam1"
<http://example.org/onto/individual/ENSMUSG00000039158_CNSOverLiver>	"Akna"
<http://example.org/onto/individual/ENSMUSG00000026815_CNSOverLiver>	"Gfi1b"
<http://example.org/onto/individual/ENSMUSG00000057098_CNSOverLiver>	"Ebf1"
<http://example.org/onto/individual/ENSMUSG00000063605_CNSOverLiver>	"Ccdc102a"
<http://example.org/onto/individual/ENSMUSG00000017309_CNSOverLiver>	"Cd300lg"
<http://example.org/onto/individual/ENSMUSG00000015937_CNSOverLiver>	"H2afy"
<http://example.org/onto/individual/ENSMUSG00000024521_CNSOverLiver>	"Pmaip1"
<http://example.org/onto/individual/ENSMUSG00000032497_CNSOverLiver>	"Lrrfip2"
<http://example.org/onto/individual/ENSMUSG00000061665_CNSOverLiver>	"Cd2ap"
<http://example.org/onto/individual/ENSMUSG00000046006_CNSOverLiver>	"Gapt"
<http://example.org/onto/individual/ENSMUSG00000035148_CNSOverLiver>	"Gpr33"
<http://example.org/onto/individual/ENSMUSG00000045038_CNSOverLiver>	"Prkce"
<http://example.org/onto/individual/ENSMUSG00000036062_CNSOverLiver>	"N28178"
<http://example.org/onto/individual/ENSMUSG00000001507_CNSOverLiver>	"Itga3"
<http://example.org/onto/individual/ENSMUSG00000046314_CNSOverLiver>	"Stxbp6"
<http://example.org/onto/individual/ENSMUSG00000028795_CNSOverLiver>	"Ccdc28b"
<http://example.org/onto/individual/ENSMUSG00000028163_CNSOverLiver>	"Nfkb1"
<http://example.org/onto/individual/ENSMUSG00000019256_CNSOverLiver>	"Ahr"
<http://example.org/onto/individual/ENSMUSG00000026930_CNSOverLiver>	"Gpsm1"
<http://example.org/onto/individual/ENSMUSG00000033316_CNSOverLiver>	"Galnt9"
<http://example.org/onto/individual/ENSMUSG00000004665_CNSOverLiver>	"Cnn2"
<http://example.org/onto/individual/ENSMUSG00000026068_CNSOverLiver>	"Il18rap"
<http://example.org/onto/individual/ENSMUSG00000022453_CNSOverLiver>	"Naga"
<http://example.org/onto/individual/ENSMUSG00000033427_CNSOverLiver>	"Upb1"
<http://example.org/onto/individual/ENSMUSG00000003992_CNSOverLiver>	"Ssbp2"
<http://example.org/onto/individual/ENSMUSG00000039735_CNSOverLiver>	"Fnbp1l"
<http://example.org/onto/individual/ENSMUSG00000073448_CNSOverLiver>	"Gm10509"
<http://example.org/onto/individual/ENSMUSG00000089715_CNSOverLiver>	"Cbx6"
<http://example.org/onto/individual/ENSMUSG00000034610_CNSOverLiver>	"Zcchc11"
<http://example.org/onto/individual/ENSMUSG00000076534_CNSOverLiver>	"Igkv12-89"
<http://example.org/onto/individual/ENSMUSG00000061577_CNSOverLiver>	"Adgrg5"
<http://example.org/onto/individual/ENSMUSG00000022974_CNSOverLiver>	"Paxbp1"
<http://example.org/onto/individual/ENSMUSG00000076937_CNSOverLiver>	"Iglc2"
<http://example.org/onto/individual/ENSMUSG00000048779_CNSOverLiver>	"P2ry6"
<http://example.org/onto/individual/ENSMUSG00000060671_CNSOverLiver>	"Atp8b2"
<http://example.org/onto/individual/ENSMUSG00000003206_CNSOverLiver>	"Ebi3"
<http://example.org/onto/individual/ENSMUSG00000095351_CNSOverLiver>	"Igkv3-2"
<http://example.org/onto/individual/ENSMUSG00000078670_CNSOverLiver>	"Fam174b"
<http://example.org/onto/individual/ENSMUSG00000024268_CNSOverLiver>	"Celf4"
<http://example.org/onto/individual/ENSMUSG00000026594_CNSOverLiver>	"Ralgps2"
<http://example.org/onto/individual/ENSMUSG00000027875_CNSOverLiver>	"Hmgcs2"
<http://example.org/onto/individual/ENSMUSG00000031486_CNSOverLiver>	"Adgra2"
<http://example.org/onto/individual/ENSMUSG00000000202_CNSOverLiver>	"Btbd17"
<http://example.org/onto/individual/ENSMUSG00000002210_CNSOverLiver>	"Smg9"
<http://example.org/onto/individual/ENSMUSG00000042594_CNSOverLiver>	"Sh2b3"
<http://example.org/onto/individual/ENSMUSG00000006445_CNSOverLiver>	"Epha2"
<http://example.org/onto/individual/ENSMUSG00000034853_CNSOverLiver>	"Acot11"
<http://example.org/onto/individual/ENSMUSG00000082229_CNSOverLiver>	"Nap1l2"
<http://example.org/onto/individual/ENSMUSG00000003070_CNSOverLiver>	"Efna2"
<http://example.org/onto/individual/ENSMUSG00000037166_CNSOverLiver>	"Ppp1r14a"
<http://example.org/onto/individual/ENSMUSG00000027510_CNSOverLiver>	"Rbm38"
<http://example.org/onto/individual/ENSMUSG00000048232_CNSOverLiver>	"Fbxo10"
<http://example.org/onto/individual/ENSMUSG00000041571_CNSOverLiver>	"Sepw1"
<http://example.org/onto/individual/ENSMUSG00000040963_CNSOverLiver>	"Asgr2"
<http://example.org/onto/individual/ENSMUSG00000036995_CNSOverLiver>	"Asap3"
<http://example.org/onto/individual/ENSMUSG00000028245_CNSOverLiver>	"Nsmaf"
<http://example.org/onto/individual/ENSMUSG00000019854_CNSOverLiver>	"Reps1"
<http://example.org/onto/individual/ENSMUSG00000028862_CNSOverLiver>	"Map3k6"
<http://example.org/onto/individual/ENSMUSG00000021087_CNSOverLiver>	"Rtn1"
<http://example.org/onto/individual/ENSMUSG00000026417_CNSOverLiver>	"Pigr"
<http://example.org/onto/individual/ENSMUSG00000071552_CNSOverLiver>	"Tigit"
<http://example.org/onto/individual/ENSMUSG00000050921_CNSOverLiver>	"P2ry10"
<http://example.org/onto/individual/ENSMUSG00000006930_CNSOverLiver>	"Hap1"
<http://example.org/onto/individual/ENSMUSG00000000732_CNSOverLiver>	"Icosl"
<http://example.org/onto/individual/ENSMUSG00000030200_CNSOverLiver>	"Bcl2l14"
<http://example.org/onto/individual/ENSMUSG00000034041_CNSOverLiver>	"Lyl1"
<http://example.org/onto/individual/ENSMUSG00000013584_CNSOverLiver>	"Aldh1a2"
<http://example.org/onto/individual/ENSMUSG00000042644_CNSOverLiver>	"Itpr3"
