?genes_iri	?downRegulated
<http://example.org/onto/individual/ENSMUSG00000071855_CNSOverLiver>	"Ccdc112"
<http://example.org/onto/individual/ENSMUSG00000067642_CNSOverLiver>	"Adgrf3"
<http://example.org/onto/individual/ENSMUSG00000022048_CNSOverLiver>	"Dpysl2"
<http://example.org/onto/individual/ENSMUSG00000044309_CNSOverLiver>	"Apol7c"
<http://example.org/onto/individual/ENSMUSG00000029847_CNSOverLiver>	"2010107G12Rik"
<http://example.org/onto/individual/ENSMUSG00000004110_CNSOverLiver>	"Cacna1e"
<http://example.org/onto/individual/ENSMUSG00000090523_CNSOverLiver>	"Gypc"
<http://example.org/onto/individual/ENSMUSG00000079003_CNSOverLiver>	"Samd1"
<http://example.org/onto/individual/ENSMUSG00000033216_CNSOverLiver>	"Eefsec"
<http://example.org/onto/individual/ENSMUSG00000028664_CNSOverLiver>	"Ephb2"
<http://example.org/onto/individual/ENSMUSG00000022148_CNSOverLiver>	"Fyb"
<http://example.org/onto/individual/ENSMUSG00000055148_CNSOverLiver>	"Klf2"
<http://example.org/onto/individual/ENSMUSG00000022722_CNSOverLiver>	"Arl6"
<http://example.org/onto/individual/ENSMUSG00000039315_CNSOverLiver>	"Clnk"
<http://example.org/onto/individual/ENSMUSG00000025035_CNSOverLiver>	"Arl3"
<http://example.org/onto/individual/ENSMUSG00000054203_CNSOverLiver>	"Ifi205"
<http://example.org/onto/individual/ENSMUSG00000045404_CNSOverLiver>	"Kcnk13"
<http://example.org/onto/individual/ENSMUSG00000034709_CNSOverLiver>	"Ppp1r21"
<http://example.org/onto/individual/ENSMUSG00000020309_CNSOverLiver>	"Chac2"
<http://example.org/onto/individual/ENSMUSG00000062098_CNSOverLiver>	"Btbd3"
<http://example.org/onto/individual/ENSMUSG00000002083_CNSOverLiver>	"Bbc3"
<http://example.org/onto/individual/ENSMUSG00000049988_CNSOverLiver>	"Lrrc25"
<http://example.org/onto/individual/ENSMUSG00000079659_CNSOverLiver>	"Tmem243"
<http://example.org/onto/individual/ENSMUSG00000025938_CNSOverLiver>	"Slco5a1"
<http://example.org/onto/individual/ENSMUSG00000039232_CNSOverLiver>	"Stx11"
<http://example.org/onto/individual/ENSMUSG00000098814_CNSOverLiver>	"Igkv19-93"
<http://example.org/onto/individual/ENSMUSG00000031495_CNSOverLiver>	"Cd209d"
<http://example.org/onto/individual/ENSMUSG00000030792_CNSOverLiver>	"Dkkl1"
<http://example.org/onto/individual/ENSMUSG00000036304_CNSOverLiver>	"Zdhhc23"
<http://example.org/onto/individual/ENSMUSG00000051339_CNSOverLiver>	"2900026A02Rik"
<http://example.org/onto/individual/ENSMUSG00000034833_CNSOverLiver>	"Tespa1"
<http://example.org/onto/individual/ENSMUSG00000029720_CNSOverLiver>	"Gm20605"
<http://example.org/onto/individual/ENSMUSG00000020357_CNSOverLiver>	"Flt4"
<http://example.org/onto/individual/ENSMUSG00000026768_CNSOverLiver>	"Itga8"
<http://example.org/onto/individual/ENSMUSG00000024074_CNSOverLiver>	"Crim1"
<http://example.org/onto/individual/ENSMUSG00000076613_CNSOverLiver>	"Ighg2b"
<http://example.org/onto/individual/ENSMUSG00000094796_CNSOverLiver>	"BC147527"
<http://example.org/onto/individual/ENSMUSG00000049553_CNSOverLiver>	"Polr1a"
<http://example.org/onto/individual/ENSMUSG00000089762_CNSOverLiver>	"Ier5l"
<http://example.org/onto/individual/ENSMUSG00000032598_CNSOverLiver>	"Nckipsd"
<http://example.org/onto/individual/ENSMUSG00000029674_CNSOverLiver>	"Limk1"
<http://example.org/onto/individual/ENSMUSG00000026630_CNSOverLiver>	"Batf3"
<http://example.org/onto/individual/ENSMUSG00000040016_CNSOverLiver>	"Ptger3"
<http://example.org/onto/individual/ENSMUSG00000041954_CNSOverLiver>	"Tnfrsf18"
