?genes_iri	?downRegulated
<http://example.org/onto/individual/ENSMUSG00000029394_CNSOverLung>	"Cdk2ap1"
<http://example.org/onto/individual/ENSMUSG00000099974_CNSOverLung>	"Bcl2a1d"
<http://example.org/onto/individual/ENSMUSG00000075122_CNSOverLung>	"Cd80"
<http://example.org/onto/individual/ENSMUSG00000101389_CNSOverLung>	"Ms4a4a"
<http://example.org/onto/individual/ENSMUSG00000040820_CNSOverLung>	"Hlcs"
<http://example.org/onto/individual/ENSMUSG00000003031_CNSOverLung>	"Cdkn1b"
<http://example.org/onto/individual/ENSMUSG00000030149_CNSOverLung>	"Klrk1"
<http://example.org/onto/individual/ENSMUSG00000038421_CNSOverLung>	"Fcrla"
<http://example.org/onto/individual/ENSMUSG00000025880_CNSOverLung>	"Smad7"
<http://example.org/onto/individual/ENSMUSG00000027863_CNSOverLung>	"Cd2"
<http://example.org/onto/individual/ENSMUSG00000042817_CNSOverLung>	"Flt3"
<http://example.org/onto/individual/ENSMUSG00000053101_CNSOverLung>	"Gpr141"
<http://example.org/onto/individual/ENSMUSG00000038224_CNSOverLung>	"Serpinf2"
<http://example.org/onto/individual/ENSMUSG00000009545_CNSOverLung>	"Kcnq1"
<http://example.org/onto/individual/ENSMUSG00000042678_CNSOverLung>	"Myo15"
<http://example.org/onto/individual/ENSMUSG00000020108_CNSOverLung>	"Ddit4"
<http://example.org/onto/individual/ENSMUSG00000047945_CNSOverLung>	"Marcksl1"
<http://example.org/onto/individual/ENSMUSG00000000693_CNSOverLung>	"Loxl3"
<http://example.org/onto/individual/ENSMUSG00000040964_CNSOverLung>	"Arhgef10l"
<http://example.org/onto/individual/ENSMUSG00000029173_CNSOverLung>	"Sepsecs"
<http://example.org/onto/individual/ENSMUSG00000018920_CNSOverLung>	"Cxcl16"
<http://example.org/onto/individual/ENSMUSG00000043671_CNSOverLung>	"Dpy19l3"
<http://example.org/onto/individual/ENSMUSG00000027765_CNSOverLung>	"P2ry1"
<http://example.org/onto/individual/ENSMUSG00000033107_CNSOverLung>	"Rnf125"
<http://example.org/onto/individual/ENSMUSG00000030214_CNSOverLung>	"Plbd1"
<http://example.org/onto/individual/ENSMUSG00000028653_CNSOverLung>	"Trit1"
<http://example.org/onto/individual/ENSMUSG00000040339_CNSOverLung>	"Fam102b"
<http://example.org/onto/individual/ENSMUSG00000051727_CNSOverLung>	"Kctd14"
<http://example.org/onto/individual/ENSMUSG00000051969_CNSOverLung>	"Tlr11"
<http://example.org/onto/individual/ENSMUSG00000080058_CNSOverLung>	"Gm11175"
<http://example.org/onto/individual/ENSMUSG00000051817_CNSOverLung>	"Sox12"
<http://example.org/onto/individual/ENSMUSG00000023827_CNSOverLung>	"Agpat4"
<http://example.org/onto/individual/ENSMUSG00000018830_CNSOverLung>	"Myh11"
<http://example.org/onto/individual/ENSMUSG00000017309_CNSOverLung>	"Cd300lg"
<http://example.org/onto/individual/ENSMUSG00000017774_CNSOverLung>	"Myo1c"
<http://example.org/onto/individual/ENSMUSG00000032232_CNSOverLung>	"Cgnl1"
<http://example.org/onto/individual/ENSMUSG00000001288_CNSOverLung>	"Rarg"
<http://example.org/onto/individual/ENSMUSG00000038079_CNSOverLung>	"Tmem237"
<http://example.org/onto/individual/ENSMUSG00000079165_CNSOverLung>	"Sap25"
<http://example.org/onto/individual/ENSMUSG00000092609_CNSOverLung>	"Gm20481"
<http://example.org/onto/individual/ENSMUSG00000011179_CNSOverLung>	"Odc1"
<http://example.org/onto/individual/ENSMUSG00000005986_CNSOverLung>	"Ankrd13d"
<http://example.org/onto/individual/ENSMUSG00000020599_CNSOverLung>	"Rgs9"
<http://example.org/onto/individual/ENSMUSG00000021670_CNSOverLung>	"Hmgcr"
<http://example.org/onto/individual/ENSMUSG00000093930_CNSOverLung>	"Hmgcs1"
<http://example.org/onto/individual/ENSMUSG00000033427_CNSOverLung>	"Upb1"
<http://example.org/onto/individual/ENSMUSG00000019854_CNSOverLung>	"Reps1"
<http://example.org/onto/individual/ENSMUSG00000033287_CNSOverLung>	"Kctd17"
<http://example.org/onto/individual/ENSMUSG00000050621_CNSOverLung>	"Rps27rt"
<http://example.org/onto/individual/ENSMUSG00000058152_CNSOverLung>	"Chsy3"
<http://example.org/onto/individual/ENSMUSG00000025198_CNSOverLung>	"Erlin1"
<http://example.org/onto/individual/ENSMUSG00000034783_CNSOverLung>	"Cd207"
<http://example.org/onto/individual/ENSMUSG00000024675_CNSOverLung>	"Ms4a4c"
<http://example.org/onto/individual/ENSMUSG00000024750_CNSOverLung>	"Zfand5"
<http://example.org/onto/individual/ENSMUSG00000037548_CNSOverLung>	"H2-DMb2"
<http://example.org/onto/individual/ENSMUSG00000033610_CNSOverLung>	"Pank1"
<http://example.org/onto/individual/ENSMUSG00000039191_CNSOverLung>	"Rbpj"
<http://example.org/onto/individual/ENSMUSG00000003123_CNSOverLung>	"Lipe"
<http://example.org/onto/individual/ENSMUSG00000027009_CNSOverLung>	"Itga4"
<http://example.org/onto/individual/ENSMUSG00000025081_CNSOverLung>	"Tdrd1"
<http://example.org/onto/individual/ENSMUSG00000003206_CNSOverLung>	"Ebi3"
<http://example.org/onto/individual/ENSMUSG00000035678_CNSOverLung>	"Tnfsf9"
<http://example.org/onto/individual/ENSMUSG00000027219_CNSOverLung>	"Slc28a2"
<http://example.org/onto/individual/ENSMUSG00000005580_CNSOverLung>	"Adcy9"
<http://example.org/onto/individual/ENSMUSG00000006611_CNSOverLung>	"Hfe"
<http://example.org/onto/individual/ENSMUSG00000030269_CNSOverLung>	"Mtmr14"
<http://example.org/onto/individual/ENSMUSG00000026043_CNSOverLung>	"Col3a1"
<http://example.org/onto/individual/ENSMUSG00000037815_CNSOverLung>	"Ctnna1"
<http://example.org/onto/individual/ENSMUSG00000026873_CNSOverLung>	"Phf19"
<http://example.org/onto/individual/ENSMUSG00000041827_CNSOverLung>	"Oasl1"
<http://example.org/onto/individual/ENSMUSG00000022686_CNSOverLung>	"B3gnt5"
<http://example.org/onto/individual/ENSMUSG00000040170_CNSOverLung>	"Fmo2"
<http://example.org/onto/individual/ENSMUSG00000034471_CNSOverLung>	"Caskin2"
<http://example.org/onto/individual/ENSMUSG00000015852_CNSOverLung>	"Fcrls"
<http://example.org/onto/individual/ENSMUSG00000001281_CNSOverLung>	"Itgb7"
<http://example.org/onto/individual/ENSMUSG00000054150_CNSOverLung>	"Syne3"
<http://example.org/onto/individual/ENSMUSG00000022436_CNSOverLung>	"Sh3bp1"
<http://example.org/onto/individual/ENSMUSG00000063652_CNSOverLung>	"Slc22a21"
<http://example.org/onto/individual/ENSMUSG00000050600_CNSOverLung>	"Zfp831"
<http://example.org/onto/individual/ENSMUSG00000047462_CNSOverLung>	"A530099J19Rik"
<http://example.org/onto/individual/ENSMUSG00000041378_CNSOverLung>	"Cldn5"
<http://example.org/onto/individual/ENSMUSG00000060600_CNSOverLung>	"Eno3"
<http://example.org/onto/individual/ENSMUSG00000030595_CNSOverLung>	"Nfkbib"
<http://example.org/onto/individual/ENSMUSG00000025035_CNSOverLung>	"Arl3"
<http://example.org/onto/individual/ENSMUSG00000026705_CNSOverLung>	"Klhl20"
<http://example.org/onto/individual/ENSMUSG00000030156_CNSOverLung>	"Cd69"
<http://example.org/onto/individual/ENSMUSG00000026315_CNSOverLung>	"Serpinb8"
<http://example.org/onto/individual/ENSMUSG00000032497_CNSOverLung>	"Lrrfip2"
<http://example.org/onto/individual/ENSMUSG00000054435_CNSOverLung>	"Gimap4"
<http://example.org/onto/individual/ENSMUSG00000025372_CNSOverLung>	"Baiap2"
<http://example.org/onto/individual/ENSMUSG00000044813_CNSOverLung>	"Shb"
<http://example.org/onto/individual/ENSMUSG00000026679_CNSOverLung>	"Enkur"
<http://example.org/onto/individual/ENSMUSG00000021025_CNSOverLung>	"Nfkbia"
<http://example.org/onto/individual/ENSMUSG00000020275_CNSOverLung>	"Rel"
<http://example.org/onto/individual/ENSMUSG00000042292_CNSOverLung>	"Mkl1"
<http://example.org/onto/individual/ENSMUSG00000032216_CNSOverLung>	"Nedd4"
<http://example.org/onto/individual/ENSMUSG00000032883_CNSOverLung>	"Acsl3"
<http://example.org/onto/individual/ENSMUSG00000090523_CNSOverLung>	"Gypc"
<http://example.org/onto/individual/ENSMUSG00000090946_CNSOverLung>	"Ccdc71l"
<http://example.org/onto/individual/ENSMUSG00000025163_CNSOverLung>	"Cd7"
<http://example.org/onto/individual/ENSMUSG00000090877_CNSOverLung>	"Hspa1b"
<http://example.org/onto/individual/ENSMUSG00000040451_CNSOverLung>	"Sgms1"
<http://example.org/onto/individual/ENSMUSG00000036225_CNSOverLung>	"Kctd1"
<http://example.org/onto/individual/ENSMUSG00000038023_CNSOverLung>	"Atp6v0a2"
<http://example.org/onto/individual/ENSMUSG00000002845_CNSOverLung>	"Tmem39a"
<http://example.org/onto/individual/ENSMUSG00000028927_CNSOverLung>	"Padi2"
<http://example.org/onto/individual/ENSMUSG00000030589_CNSOverLung>	"Rasgrp4"
<http://example.org/onto/individual/ENSMUSG00000006386_CNSOverLung>	"Tek"
<http://example.org/onto/individual/ENSMUSG00000090394_CNSOverLung>	"4930523C07Rik"
<http://example.org/onto/individual/ENSMUSG00000035539_CNSOverLung>	"E230008N13Rik"
<http://example.org/onto/individual/ENSMUSG00000046562_CNSOverLung>	"Unc119b"
<http://example.org/onto/individual/ENSMUSG00000001761_CNSOverLung>	"Smo"
<http://example.org/onto/individual/ENSMUSG00000045377_CNSOverLung>	"Tmem88"
<http://example.org/onto/individual/ENSMUSG00000040857_CNSOverLung>	"Erf"
<http://example.org/onto/individual/ENSMUSG00000029576_CNSOverLung>	"Radil"
<http://example.org/onto/individual/ENSMUSG00000073758_CNSOverLung>	"Sh3d21"
<http://example.org/onto/individual/ENSMUSG00000038893_CNSOverLung>	"Fam117a"
<http://example.org/onto/individual/ENSMUSG00000040950_CNSOverLung>	"Mgl2"
<http://example.org/onto/individual/ENSMUSG00000031749_CNSOverLung>	"St3gal2"
<http://example.org/onto/individual/ENSMUSG00000022803_CNSOverLung>	"Popdc2"
<http://example.org/onto/individual/ENSMUSG00000029148_CNSOverLung>	"Nrbp1"
<http://example.org/onto/individual/ENSMUSG00000028191_CNSOverLung>	"Bcl10"
<http://example.org/onto/individual/ENSMUSG00000053198_CNSOverLung>	"Prx"
<http://example.org/onto/individual/ENSMUSG00000014303_CNSOverLung>	"Glis2"
<http://example.org/onto/individual/ENSMUSG00000072941_CNSOverLung>	"Sod3"
<http://example.org/onto/individual/ENSMUSG00000019659_CNSOverLung>	"Ccdc12"
<http://example.org/onto/individual/ENSMUSG00000025279_CNSOverLung>	"Dnase1l3"
<http://example.org/onto/individual/ENSMUSG00000069763_CNSOverLung>	"Tmem100"
<http://example.org/onto/individual/ENSMUSG00000030606_CNSOverLung>	"Hapln3"
<http://example.org/onto/individual/ENSMUSG00000021822_CNSOverLung>	"Plau"
<http://example.org/onto/individual/ENSMUSG00000038775_CNSOverLung>	"Vill"
<http://example.org/onto/individual/ENSMUSG00000061947_CNSOverLung>	"Serpina10"
<http://example.org/onto/individual/ENSMUSG00000000530_CNSOverLung>	"Acvrl1"
<http://example.org/onto/individual/ENSMUSG00000067586_CNSOverLung>	"S1pr3"
<http://example.org/onto/individual/ENSMUSG00000040659_CNSOverLung>	"Efhd2"
<http://example.org/onto/individual/ENSMUSG00000039004_CNSOverLung>	"Bmp6"
<http://example.org/onto/individual/ENSMUSG00000045962_CNSOverLung>	"Wnk1"
<http://example.org/onto/individual/ENSMUSG00000020886_CNSOverLung>	"Dlg4"
<http://example.org/onto/individual/ENSMUSG00000027351_CNSOverLung>	"Spred1"
<http://example.org/onto/individual/ENSMUSG00000031530_CNSOverLung>	"Dusp4"
<http://example.org/onto/individual/ENSMUSG00000026463_CNSOverLung>	"Atp2b4"
<http://example.org/onto/individual/ENSMUSG00000048537_CNSOverLung>	"Phldb1"
<http://example.org/onto/individual/ENSMUSG00000026649_CNSOverLung>	"Cfap126"
