?genes_iri	?downRegulated
<http://example.org/onto/individual/ENSMUSG00000033713_CNSOverLung>	"Foxn3"
<http://example.org/onto/individual/ENSMUSG00000022529_CNSOverLung>	"Zfp263"
<http://example.org/onto/individual/ENSMUSG00000056529_CNSOverLung>	"Ptafr"
<http://example.org/onto/individual/ENSMUSG00000042066_CNSOverLung>	"Tmcc2"
<http://example.org/onto/individual/ENSMUSG00000019997_CNSOverLung>	"Ctgf"
<http://example.org/onto/individual/ENSMUSG00000005338_CNSOverLung>	"Cadm3"
<http://example.org/onto/individual/ENSMUSG00000022636_CNSOverLung>	"Alcam"
<http://example.org/onto/individual/ENSMUSG00000030852_CNSOverLung>	"Tacc2"
<http://example.org/onto/individual/ENSMUSG00000030055_CNSOverLung>	"Rab43"
<http://example.org/onto/individual/ENSMUSG00000018417_CNSOverLung>	"Myo1b"
<http://example.org/onto/individual/ENSMUSG00000054702_CNSOverLung>	"Ap1s3"
<http://example.org/onto/individual/ENSMUSG00000022122_CNSOverLung>	"Ednrb"
<http://example.org/onto/individual/ENSMUSG00000022456_CNSOverLung>	"Sep-03"
<http://example.org/onto/individual/ENSMUSG00000024011_CNSOverLung>	"Pi16"
<http://example.org/onto/individual/ENSMUSG00000040247_CNSOverLung>	"Tbc1d10c"
<http://example.org/onto/individual/ENSMUSG00000041189_CNSOverLung>	"Chrnb1"
<http://example.org/onto/individual/ENSMUSG00000056899_CNSOverLung>	"Immp2l"
<http://example.org/onto/individual/ENSMUSG00000048277_CNSOverLung>	"Syngr2"
<http://example.org/onto/individual/ENSMUSG00000072214_CNSOverLung>	"Sep-05"
<http://example.org/onto/individual/ENSMUSG00000004837_CNSOverLung>	"Grap"
<http://example.org/onto/individual/ENSMUSG00000024268_CNSOverLung>	"Celf4"
<http://example.org/onto/individual/ENSMUSG00000002885_CNSOverLung>	"Adgre5"
<http://example.org/onto/individual/ENSMUSG00000026074_CNSOverLung>	"Map4k4"
<http://example.org/onto/individual/ENSMUSG00000004709_CNSOverLung>	"Cd244"
<http://example.org/onto/individual/ENSMUSG00000029810_CNSOverLung>	"Tmem176b"
<http://example.org/onto/individual/ENSMUSG00000030806_CNSOverLung>	"Stx1b"
<http://example.org/onto/individual/ENSMUSG00000031748_CNSOverLung>	"Gnao1"
<http://example.org/onto/individual/ENSMUSG00000038552_CNSOverLung>	"Fndc4"
<http://example.org/onto/individual/ENSMUSG00000018736_CNSOverLung>	"Ndel1"
<http://example.org/onto/individual/ENSMUSG00000076614_CNSOverLung>	"Ighg1"
<http://example.org/onto/individual/ENSMUSG00000020422_CNSOverLung>	"Tns3"
<http://example.org/onto/individual/ENSMUSG00000042812_CNSOverLung>	"Foxf1"
<http://example.org/onto/individual/ENSMUSG00000026285_CNSOverLung>	"Pdcd1"
<http://example.org/onto/individual/ENSMUSG00000019539_CNSOverLung>	"Rcn3"
<http://example.org/onto/individual/ENSMUSG00000074491_CNSOverLung>	"Clec4g"
<http://example.org/onto/individual/ENSMUSG00000025330_CNSOverLung>	"Padi4"
<http://example.org/onto/individual/ENSMUSG00000045826_CNSOverLung>	"Ptprcap"
<http://example.org/onto/individual/ENSMUSG00000037321_CNSOverLung>	"Tap1"
<http://example.org/onto/individual/ENSMUSG00000067235_CNSOverLung>	"H2-Q10"
<http://example.org/onto/individual/ENSMUSG00000090958_CNSOverLung>	"Lrrc32"
<http://example.org/onto/individual/ENSMUSG00000000386_CNSOverLung>	"Mx1"
<http://example.org/onto/individual/ENSMUSG00000000682_CNSOverLung>	"Cd52"
<http://example.org/onto/individual/ENSMUSG00000022876_CNSOverLung>	"Samsn1"
<http://example.org/onto/individual/ENSMUSG00000049687_CNSOverLung>	"Fam109b"
<http://example.org/onto/individual/ENSMUSG00000039206_CNSOverLung>	"Daglb"
<http://example.org/onto/individual/ENSMUSG00000062098_CNSOverLung>	"Btbd3"
<http://example.org/onto/individual/ENSMUSG00000029581_CNSOverLung>	"Fscn1"
<http://example.org/onto/individual/ENSMUSG00000044317_CNSOverLung>	"Gpr4"
<http://example.org/onto/individual/ENSMUSG00000039384_CNSOverLung>	"Dusp10"
<http://example.org/onto/individual/ENSMUSG00000064141_CNSOverLung>	"Zfp69"
<http://example.org/onto/individual/ENSMUSG00000058216_CNSOverLung>	"BC021614"
<http://example.org/onto/individual/ENSMUSG00000050212_CNSOverLung>	"Eva1b"
<http://example.org/onto/individual/ENSMUSG00000020178_CNSOverLung>	"Adora2a"
<http://example.org/onto/individual/ENSMUSG00000045326_CNSOverLung>	"Fndc7"
<http://example.org/onto/individual/ENSMUSG00000036931_CNSOverLung>	"Nfkbid"
<http://example.org/onto/individual/ENSMUSG00000020717_CNSOverLung>	"Pecam1"
<http://example.org/onto/individual/ENSMUSG00000034610_CNSOverLung>	"Zcchc11"
<http://example.org/onto/individual/ENSMUSG00000020577_CNSOverLung>	"Tspan13"
<http://example.org/onto/individual/ENSMUSG00000029832_CNSOverLung>	"Nfe2l3"
<http://example.org/onto/individual/ENSMUSG00000022594_CNSOverLung>	"Lynx1"
<http://example.org/onto/individual/ENSMUSG00000059412_CNSOverLung>	"Fxyd2"
<http://example.org/onto/individual/ENSMUSG00000047586_CNSOverLung>	"Nccrp1"
<http://example.org/onto/individual/ENSMUSG00000030562_CNSOverLung>	"Nox4"
<http://example.org/onto/individual/ENSMUSG00000024168_CNSOverLung>	"Tmem204"
<http://example.org/onto/individual/ENSMUSG00000079227_CNSOverLung>	"Ccr5"
<http://example.org/onto/individual/ENSMUSG00000032519_CNSOverLung>	"Slc25a38"
<http://example.org/onto/individual/ENSMUSG00000029387_CNSOverLung>	"Gtf2h3"
<http://example.org/onto/individual/ENSMUSG00000020798_CNSOverLung>	"Spns3"
<http://example.org/onto/individual/ENSMUSG00000057069_CNSOverLung>	"Ero1lb"
<http://example.org/onto/individual/ENSMUSG00000057706_CNSOverLung>	"Mex3b"
<http://example.org/onto/individual/ENSMUSG00000067610_CNSOverLung>	"Klri1"
<http://example.org/onto/individual/ENSMUSG00000045231_CNSOverLung>	"BC106179"
<http://example.org/onto/individual/ENSMUSG00000015316_CNSOverLung>	"Slamf1"
<http://example.org/onto/individual/ENSMUSG00000048458_CNSOverLung>	"Fam212b"
<http://example.org/onto/individual/ENSMUSG00000042834_CNSOverLung>	"Nrep"
<http://example.org/onto/individual/ENSMUSG00000022797_CNSOverLung>	"Tfrc"
<http://example.org/onto/individual/ENSMUSG00000021196_CNSOverLung>	"Pfkp"
<http://example.org/onto/individual/ENSMUSG00000019843_CNSOverLung>	"Fyn"
<http://example.org/onto/individual/ENSMUSG00000031480_CNSOverLung>	"Thsd1"
<http://example.org/onto/individual/ENSMUSG00000028047_CNSOverLung>	"Thbs3"
<http://example.org/onto/individual/ENSMUSG00000053931_CNSOverLung>	"Cnn3"
<http://example.org/onto/individual/ENSMUSG00000021118_CNSOverLung>	"Plek2"
<http://example.org/onto/individual/ENSMUSG00000003352_CNSOverLung>	"Cacnb3"
<http://example.org/onto/individual/ENSMUSG00000033083_CNSOverLung>	"Tbc1d4"
<http://example.org/onto/individual/ENSMUSG00000026811_CNSOverLung>	"St6galnac6"
<http://example.org/onto/individual/ENSMUSG00000037966_CNSOverLung>	"Ninj1"
<http://example.org/onto/individual/ENSMUSG00000015468_CNSOverLung>	"Notch4"
<http://example.org/onto/individual/ENSMUSG00000032487_CNSOverLung>	"Ptgs2"
<http://example.org/onto/individual/ENSMUSG00000046865_CNSOverLung>	"Fbl"
<http://example.org/onto/individual/ENSMUSG00000008855_CNSOverLung>	"Hdac5"
<http://example.org/onto/individual/ENSMUSG00000009090_CNSOverLung>	"Ap1b1"
<http://example.org/onto/individual/ENSMUSG00000061577_CNSOverLung>	"Adgrg5"
<http://example.org/onto/individual/ENSMUSG00000041046_CNSOverLung>	"Ramp3"
<http://example.org/onto/individual/ENSMUSG00000036304_CNSOverLung>	"Zdhhc23"
<http://example.org/onto/individual/ENSMUSG00000049690_CNSOverLung>	"Nckap5"
<http://example.org/onto/individual/ENSMUSG00000035246_CNSOverLung>	"Pcyt1b"
<http://example.org/onto/individual/ENSMUSG00000034361_CNSOverLung>	"Cpne2"
<http://example.org/onto/individual/ENSMUSG00000089989_CNSOverLung>	"Flt3l"
<http://example.org/onto/individual/ENSMUSG00000045349_CNSOverLung>	"Sh2d5"
<http://example.org/onto/individual/ENSMUSG00000098557_CNSOverLung>	"Kctd12"
<http://example.org/onto/individual/ENSMUSG00000034265_CNSOverLung>	"Zdhhc14"
<http://example.org/onto/individual/ENSMUSG00000024486_CNSOverLung>	"Hbegf"
<http://example.org/onto/individual/ENSMUSG00000050395_CNSOverLung>	"Tnfsf15"
<http://example.org/onto/individual/ENSMUSG00000002032_CNSOverLung>	"Tmem25"
<http://example.org/onto/individual/ENSMUSG00000054951_CNSOverLung>	"9130008F23Rik"
<http://example.org/onto/individual/ENSMUSG00000055723_CNSOverLung>	"Rras2"
<http://example.org/onto/individual/ENSMUSG00000035901_CNSOverLung>	"Dennd5a"
<http://example.org/onto/individual/ENSMUSG00000042474_CNSOverLung>	"Faim3"
<http://example.org/onto/individual/ENSMUSG00000034932_CNSOverLung>	"Mrpl54"
<http://example.org/onto/individual/ENSMUSG00000022240_CNSOverLung>	"Ctnnd2"
<http://example.org/onto/individual/ENSMUSG00000003534_CNSOverLung>	"Ddr1"
<http://example.org/onto/individual/ENSMUSG00000032324_CNSOverLung>	"Tspan3"
<http://example.org/onto/individual/ENSMUSG00000049709_CNSOverLung>	"Nlrp10"
<http://example.org/onto/individual/ENSMUSG00000034912_CNSOverLung>	"Mdga2"
<http://example.org/onto/individual/ENSMUSG00000058672_CNSOverLung>	"Tubb2a"
<http://example.org/onto/individual/ENSMUSG00000051043_CNSOverLung>	"Gprc5c"
<http://example.org/onto/individual/ENSMUSG00000005447_CNSOverLung>	"Pafah1b3"
<http://example.org/onto/individual/ENSMUSG00000027931_CNSOverLung>	"Npr1"
<http://example.org/onto/individual/ENSMUSG00000027456_CNSOverLung>	"Sdcbp2"
<http://example.org/onto/individual/ENSMUSG00000026525_CNSOverLung>	"Opn3"
<http://example.org/onto/individual/ENSMUSG00000039987_CNSOverLung>	"Phtf2"
<http://example.org/onto/individual/ENSMUSG00000023039_CNSOverLung>	"Krt7"
<http://example.org/onto/individual/ENSMUSG00000022489_CNSOverLung>	"Pde1b"
<http://example.org/onto/individual/ENSMUSG00000025473_CNSOverLung>	"Adam8"
<http://example.org/onto/individual/ENSMUSG00000055148_CNSOverLung>	"Klf2"
<http://example.org/onto/individual/ENSMUSG00000022512_CNSOverLung>	"Cldn1"
<http://example.org/onto/individual/ENSMUSG00000038267_CNSOverLung>	"Slc22a23"
<http://example.org/onto/individual/ENSMUSG00000070436_CNSOverLung>	"Serpinh1"
<http://example.org/onto/individual/ENSMUSG00000020611_CNSOverLung>	"Gna13"
<http://example.org/onto/individual/ENSMUSG00000026638_CNSOverLung>	"Irf6"
<http://example.org/onto/individual/ENSMUSG00000032946_CNSOverLung>	"Rasgrp2"
<http://example.org/onto/individual/ENSMUSG00000032515_CNSOverLung>	"Csrnp1"
<http://example.org/onto/individual/ENSMUSG00000031375_CNSOverLung>	"Bgn"
<http://example.org/onto/individual/ENSMUSG00000059336_CNSOverLung>	"Slc14a1"
<http://example.org/onto/individual/ENSMUSG00000026623_CNSOverLung>	"Lpgat1"
<http://example.org/onto/individual/ENSMUSG00000021596_CNSOverLung>	"Mctp1"
<http://example.org/onto/individual/ENSMUSG00000008496_CNSOverLung>	"Pou2f2"
<http://example.org/onto/individual/ENSMUSG00000079419_CNSOverLung>	"Ms4a6c"
<http://example.org/onto/individual/ENSMUSG00000006281_CNSOverLung>	"Tep1"
<http://example.org/onto/individual/ENSMUSG00000029718_CNSOverLung>	"Pcolce"
<http://example.org/onto/individual/ENSMUSG00000056313_CNSOverLung>	"1810011O10Rik"
<http://example.org/onto/individual/ENSMUSG00000069919_CNSOverLung>	"Hba-a1"
<http://example.org/onto/individual/ENSMUSG00000041552_CNSOverLung>	"Ptchd1"
<http://example.org/onto/individual/ENSMUSG00000022607_CNSOverLung>	"Ptk2"
<http://example.org/onto/individual/ENSMUSG00000029860_CNSOverLung>	"Zyx"
<http://example.org/onto/individual/ENSMUSG00000031776_CNSOverLung>	"Arl2bp"
<http://example.org/onto/individual/ENSMUSG00000046768_CNSOverLung>	"Rhoj"
<http://example.org/onto/individual/ENSMUSG00000060671_CNSOverLung>	"Atp8b2"
<http://example.org/onto/individual/ENSMUSG00000030960_CNSOverLung>	"Mettl10"
<http://example.org/onto/individual/ENSMUSG00000026883_CNSOverLung>	"Dab2ip"
<http://example.org/onto/individual/ENSMUSG00000033170_CNSOverLung>	"Card10"
<http://example.org/onto/individual/ENSMUSG00000037012_CNSOverLung>	"Hk1"
<http://example.org/onto/individual/ENSMUSG00000076617_CNSOverLung>	"Ighm"
<http://example.org/onto/individual/ENSMUSG00000006362_CNSOverLung>	"Cbfa2t3"
<http://example.org/onto/individual/ENSMUSG00000026814_CNSOverLung>	"Eng"
<http://example.org/onto/individual/ENSMUSG00000034127_CNSOverLung>	"Tspan8"
<http://example.org/onto/individual/ENSMUSG00000029372_CNSOverLung>	"Ppbp"
<http://example.org/onto/individual/ENSMUSG00000033446_CNSOverLung>	"Lpar6"
<http://example.org/onto/individual/ENSMUSG00000024913_CNSOverLung>	"Lrp5"
<http://example.org/onto/individual/ENSMUSG00000092060_CNSOverLung>	"Bend4"
<http://example.org/onto/individual/ENSMUSG00000028080_CNSOverLung>	"Lrba"
<http://example.org/onto/individual/ENSMUSG00000041119_CNSOverLung>	"Pde9a"
<http://example.org/onto/individual/ENSMUSG00000038518_CNSOverLung>	"Jarid2"
<http://example.org/onto/individual/ENSMUSG00000026826_CNSOverLung>	"Nr4a2"
<http://example.org/onto/individual/ENSMUSG00000046546_CNSOverLung>	"Fam43a"
<http://example.org/onto/individual/ENSMUSG00000028838_CNSOverLung>	"Extl1"
<http://example.org/onto/individual/ENSMUSG00000039208_CNSOverLung>	"Metrnl"
<http://example.org/onto/individual/ENSMUSG00000022534_CNSOverLung>	"Mefv"
<http://example.org/onto/individual/ENSMUSG00000032089_CNSOverLung>	"Il10ra"
<http://example.org/onto/individual/ENSMUSG00000030147_CNSOverLung>	"Clec4b1"
<http://example.org/onto/individual/ENSMUSG00000000202_CNSOverLung>	"Btbd17"
<http://example.org/onto/individual/ENSMUSG00000003752_CNSOverLung>	"Itpkc"
<http://example.org/onto/individual/ENSMUSG00000046480_CNSOverLung>	"Scn4b"
<http://example.org/onto/individual/ENSMUSG00000037944_CNSOverLung>	"Ccr7"
<http://example.org/onto/individual/ENSMUSG00000039116_CNSOverLung>	"Adgrg6"
<http://example.org/onto/individual/ENSMUSG00000044309_CNSOverLung>	"Apol7c"
<http://example.org/onto/individual/ENSMUSG00000021115_CNSOverLung>	"Vrk1"
<http://example.org/onto/individual/ENSMUSG00000040710_CNSOverLung>	"St8sia4"
<http://example.org/onto/individual/ENSMUSG00000036019_CNSOverLung>	"Tmtc2"
<http://example.org/onto/individual/ENSMUSG00000028484_CNSOverLung>	"Psip1"
<http://example.org/onto/individual/ENSMUSG00000030361_CNSOverLung>	"Klrb1a"
<http://example.org/onto/individual/ENSMUSG00000047407_CNSOverLung>	"Tgif1"
<http://example.org/onto/individual/ENSMUSG00000046432_CNSOverLung>	"Ngfrap1"
<http://example.org/onto/individual/ENSMUSG00000050373_CNSOverLung>	"Snx21"
<http://example.org/onto/individual/ENSMUSG00000055044_CNSOverLung>	"Pdlim1"
<http://example.org/onto/individual/ENSMUSG00000003379_CNSOverLung>	"Cd79a"
<http://example.org/onto/individual/ENSMUSG00000028480_CNSOverLung>	"Glipr2"
<http://example.org/onto/individual/ENSMUSG00000017652_CNSOverLung>	"Cd40"
