?genes_iri	?upRegulated
<http://example.org/onto/individual/ENSMUSG00000042708_CNSOverLiver>	"Shcbp1l"
<http://example.org/onto/individual/ENSMUSG00000026235_CNSOverLiver>	"Epha4"
<http://example.org/onto/individual/ENSMUSG00000067878_CNSOverLiver>	"Mtap7d3"
<http://example.org/onto/individual/ENSMUSG00000031367_CNSOverLiver>	"Ap1s2"
<http://example.org/onto/individual/ENSMUSG00000003271_CNSOverLiver>	"Sult2b1"
<http://example.org/onto/individual/ENSMUSG00000022235_CNSOverLiver>	"Cmbl"
<http://example.org/onto/individual/ENSMUSG00000053819_CNSOverLiver>	"Camk2d"
<http://example.org/onto/individual/ENSMUSG00000034574_CNSOverLiver>	"Daam1"
<http://example.org/onto/individual/ENSMUSG00000010461_CNSOverLiver>	"Eya4"
<http://example.org/onto/individual/ENSMUSG00000051367_CNSOverLiver>	"Six1"
<http://example.org/onto/individual/ENSMUSG00000020829_CNSOverLiver>	"Slc46a1"
<http://example.org/onto/individual/ENSMUSG00000027956_CNSOverLiver>	"Tmem144"
<http://example.org/onto/individual/ENSMUSG00000024962_CNSOverLiver>	"Vegfb"
<http://example.org/onto/individual/ENSMUSG00000061825_CNSOverLiver>	"Ces2c"
<http://example.org/onto/individual/ENSMUSG00000063253_CNSOverLiver>	"Scoc"
<http://example.org/onto/individual/ENSMUSG00000038368_CNSOverLiver>	"Focad"
<http://example.org/onto/individual/ENSMUSG00000020053_CNSOverLiver>	"Igf1"
<http://example.org/onto/individual/ENSMUSG00000030401_CNSOverLiver>	"Rtn2"
<http://example.org/onto/individual/ENSMUSG00000007891_CNSOverLiver>	"Ctsd"
<http://example.org/onto/individual/ENSMUSG00000049577_CNSOverLiver>	"Zfpm1"
<http://example.org/onto/individual/ENSMUSG00000030474_CNSOverLiver>	"Siglece"
<http://example.org/onto/individual/ENSMUSG00000045441_CNSOverLiver>	"Gprin3"
<http://example.org/onto/individual/ENSMUSG00000018143_CNSOverLiver>	"Mafk"
<http://example.org/onto/individual/ENSMUSG00000040260_CNSOverLiver>	"Daam2"
<http://example.org/onto/individual/ENSMUSG00000027961_CNSOverLiver>	"Lrrc39"
<http://example.org/onto/individual/ENSMUSG00000036949_CNSOverLiver>	"Slc39a12"
<http://example.org/onto/individual/ENSMUSG00000051379_CNSOverLiver>	"Flrt3"
<http://example.org/onto/individual/ENSMUSG00000035914_CNSOverLiver>	"Cd276"
<http://example.org/onto/individual/ENSMUSG00000037224_CNSOverLiver>	"Zfyve28"
<http://example.org/onto/individual/ENSMUSG00000023961_CNSOverLiver>	"Enpp4"
<http://example.org/onto/individual/ENSMUSG00000042515_CNSOverLiver>	"Mum1l1"
<http://example.org/onto/individual/ENSMUSG00000040146_CNSOverLiver>	"Rgl3"
<http://example.org/onto/individual/ENSMUSG00000002980_CNSOverLiver>	"Bcam"
<http://example.org/onto/individual/ENSMUSG00000052698_CNSOverLiver>	"Tln2"
<http://example.org/onto/individual/ENSMUSG00000041075_CNSOverLiver>	"Fzd7"
<http://example.org/onto/individual/ENSMUSG00000032238_CNSOverLiver>	"Rora"
<http://example.org/onto/individual/ENSMUSG00000051950_CNSOverLiver>	"B3glct"
<http://example.org/onto/individual/ENSMUSG00000003617_CNSOverLiver>	"Cp"
<http://example.org/onto/individual/ENSMUSG00000000531_CNSOverLiver>	"Grasp"
<http://example.org/onto/individual/ENSMUSG00000036327_CNSOverLiver>	"Qsox2"
<http://example.org/onto/individual/ENSMUSG00000027399_CNSOverLiver>	"Il1a"
<http://example.org/onto/individual/ENSMUSG00000068270_CNSOverLiver>	"Shroom4"
<http://example.org/onto/individual/ENSMUSG00000021986_CNSOverLiver>	"Amer2"
<http://example.org/onto/individual/ENSMUSG00000015337_CNSOverLiver>	"Endog"
<http://example.org/onto/individual/ENSMUSG00000001999_CNSOverLiver>	"Blvra"
<http://example.org/onto/individual/ENSMUSG00000028553_CNSOverLiver>	"Angptl3"
<http://example.org/onto/individual/ENSMUSG00000062028_CNSOverLiver>	"Irgc1"
<http://example.org/onto/individual/ENSMUSG00000034435_CNSOverLiver>	"Tmem30b"
<http://example.org/onto/individual/ENSMUSG00000015659_CNSOverLiver>	"Serac1"
<http://example.org/onto/individual/ENSMUSG00000036853_CNSOverLiver>	"Mcoln3"
<http://example.org/onto/individual/ENSMUSG00000042439_CNSOverLiver>	"Zfp532"
<http://example.org/onto/individual/ENSMUSG00000036155_CNSOverLiver>	"Mgat5"
<http://example.org/onto/individual/ENSMUSG00000001249_CNSOverLiver>	"Hpn"
<http://example.org/onto/individual/ENSMUSG00000034875_CNSOverLiver>	"Nudt19"
<http://example.org/onto/individual/ENSMUSG00000020961_CNSOverLiver>	"Ston2"
<http://example.org/onto/individual/ENSMUSG00000029088_CNSOverLiver>	"Kcnip4"
<http://example.org/onto/individual/ENSMUSG00000022051_CNSOverLiver>	"Bnip3l"
<http://example.org/onto/individual/ENSMUSG00000006651_CNSOverLiver>	"Aplp1"
<http://example.org/onto/individual/ENSMUSG00000031785_CNSOverLiver>	"Adgrg1"
<http://example.org/onto/individual/ENSMUSG00000102040_CNSOverLiver>	"Clec7a"
<http://example.org/onto/individual/ENSMUSG00000048240_CNSOverLiver>	"Gng7"
<http://example.org/onto/individual/ENSMUSG00000038729_CNSOverLiver>	"Akap2"
<http://example.org/onto/individual/ENSMUSG00000025453_CNSOverLiver>	"Nnt"
<http://example.org/onto/individual/ENSMUSG00000035172_CNSOverLiver>	"Plekhh3"
<http://example.org/onto/individual/ENSMUSG00000032554_CNSOverLiver>	"Trf"
<http://example.org/onto/individual/ENSMUSG00000079110_CNSOverLiver>	"Capn3"
<http://example.org/onto/individual/ENSMUSG00000076435_CNSOverLiver>	"Acsf2"
<http://example.org/onto/individual/ENSMUSG00000098650_CNSOverLiver>	"Gm28048"
<http://example.org/onto/individual/ENSMUSG00000024222_CNSOverLiver>	"Fkbp5"
<http://example.org/onto/individual/ENSMUSG00000026672_CNSOverLiver>	"Optn"
<http://example.org/onto/individual/ENSMUSG00000031586_CNSOverLiver>	"Rbpms"
<http://example.org/onto/individual/ENSMUSG00000046573_CNSOverLiver>	"Lyrm4"
<http://example.org/onto/individual/ENSMUSG00000026807_CNSOverLiver>	"Ak8"
<http://example.org/onto/individual/ENSMUSG00000018868_CNSOverLiver>	"Pnpla5"
<http://example.org/onto/individual/ENSMUSG00000068735_CNSOverLiver>	"Trp53i11"
<http://example.org/onto/individual/ENSMUSG00000028497_CNSOverLiver>	"Hacd4"
<http://example.org/onto/individual/ENSMUSG00000070369_CNSOverLiver>	"Itgad"
<http://example.org/onto/individual/ENSMUSG00000049516_CNSOverLiver>	"Spty2d1"
<http://example.org/onto/individual/ENSMUSG00000028517_CNSOverLiver>	"Ppap2b"
<http://example.org/onto/individual/ENSMUSG00000000325_CNSOverLiver>	"Arvcf"
<http://example.org/onto/individual/ENSMUSG00000017412_CNSOverLiver>	"Cacnb4"
<http://example.org/onto/individual/ENSMUSG00000037820_CNSOverLiver>	"Tgm2"
<http://example.org/onto/individual/ENSMUSG00000037217_CNSOverLiver>	"Syn1"
<http://example.org/onto/individual/ENSMUSG00000001995_CNSOverLiver>	"Sipa1l2"
<http://example.org/onto/individual/ENSMUSG00000050199_CNSOverLiver>	"Lgr4"
<http://example.org/onto/individual/ENSMUSG00000042349_CNSOverLiver>	"Ikbke"
<http://example.org/onto/individual/ENSMUSG00000071203_CNSOverLiver>	"Naip5"
<http://example.org/onto/individual/ENSMUSG00000096188_CNSOverLiver>	"Cmtm4"
<http://example.org/onto/individual/ENSMUSG00000039831_CNSOverLiver>	"Arhgap29"
<http://example.org/onto/individual/ENSMUSG00000070713_CNSOverLiver>	"Gm10282"
<http://example.org/onto/individual/ENSMUSG00000020261_CNSOverLiver>	"Slc36a1"
<http://example.org/onto/individual/ENSMUSG00000048416_CNSOverLiver>	"Mlf1"
<http://example.org/onto/individual/ENSMUSG00000020238_CNSOverLiver>	"Ncln"
<http://example.org/onto/individual/ENSMUSG00000039209_CNSOverLiver>	"Rpl39l"
<http://example.org/onto/individual/ENSMUSG00000073678_CNSOverLiver>	"Pgap1"
<http://example.org/onto/individual/ENSMUSG00000068205_CNSOverLiver>	"Macrod2"
<http://example.org/onto/individual/ENSMUSG00000071547_CNSOverLiver>	"Nt5dc2"
<http://example.org/onto/individual/ENSMUSG00000023147_CNSOverLiver>	"Wrb"
<http://example.org/onto/individual/ENSMUSG00000061013_CNSOverLiver>	"Mkx"
<http://example.org/onto/individual/ENSMUSG00000076431_CNSOverLiver>	"Sox4"
<http://example.org/onto/individual/ENSMUSG00000056234_CNSOverLiver>	"Ncoa4"
<http://example.org/onto/individual/ENSMUSG00000038806_CNSOverLiver>	"Sde2"
<http://example.org/onto/individual/ENSMUSG00000021690_CNSOverLiver>	"Jmy"
<http://example.org/onto/individual/ENSMUSG00000002020_CNSOverLiver>	"Ltbp2"
<http://example.org/onto/individual/ENSMUSG00000032024_CNSOverLiver>	"Clmp"
<http://example.org/onto/individual/ENSMUSG00000027002_CNSOverLiver>	"Nckap1"
<http://example.org/onto/individual/ENSMUSG00000033792_CNSOverLiver>	"Atp7a"
<http://example.org/onto/individual/ENSMUSG00000049321_CNSOverLiver>	"Zfp2"
<http://example.org/onto/individual/ENSMUSG00000024486_CNSOverLiver>	"Hbegf"
<http://example.org/onto/individual/ENSMUSG00000015085_CNSOverLiver>	"Entpd2"
<http://example.org/onto/individual/ENSMUSG00000078137_CNSOverLiver>	"Ankrd63"
<http://example.org/onto/individual/ENSMUSG00000038400_CNSOverLiver>	"Pmepa1"
<http://example.org/onto/individual/ENSMUSG00000032382_CNSOverLiver>	"Snx1"
<http://example.org/onto/individual/ENSMUSG00000038301_CNSOverLiver>	"Snx10"
<http://example.org/onto/individual/ENSMUSG00000052062_CNSOverLiver>	"Pard3b"
<http://example.org/onto/individual/ENSMUSG00000032942_CNSOverLiver>	"Ucp3"
<http://example.org/onto/individual/ENSMUSG00000024730_CNSOverLiver>	"Ms4a8a"
<http://example.org/onto/individual/ENSMUSG00000027082_CNSOverLiver>	"Tfpi"
<http://example.org/onto/individual/ENSMUSG00000037573_CNSOverLiver>	"Tob1"
<http://example.org/onto/individual/ENSMUSG00000027506_CNSOverLiver>	"Tpd52"
<http://example.org/onto/individual/ENSMUSG00000044583_CNSOverLiver>	"Tlr7"
<http://example.org/onto/individual/ENSMUSG00000022270_CNSOverLiver>	"Fam134b"
<http://example.org/onto/individual/ENSMUSG00000002475_CNSOverLiver>	"Abhd3"
<http://example.org/onto/individual/ENSMUSG00000015839_CNSOverLiver>	"Nfe2l2"
<http://example.org/onto/individual/ENSMUSG00000001768_CNSOverLiver>	"Rin2"
<http://example.org/onto/individual/ENSMUSG00000021483_CNSOverLiver>	"Cdk20"
<http://example.org/onto/individual/ENSMUSG00000011831_CNSOverLiver>	"Evi5"
<http://example.org/onto/individual/ENSMUSG00000028680_CNSOverLiver>	"Plk3"
<http://example.org/onto/individual/ENSMUSG00000063065_CNSOverLiver>	"Mapk3"
<http://example.org/onto/individual/ENSMUSG00000022949_CNSOverLiver>	"Clic6"
<http://example.org/onto/individual/ENSMUSG00000072601_CNSOverLiver>	"Ear1"
<http://example.org/onto/individual/ENSMUSG00000032300_CNSOverLiver>	"1700017B05Rik"
<http://example.org/onto/individual/ENSMUSG00000021665_CNSOverLiver>	"Hexb"
<http://example.org/onto/individual/ENSMUSG00000022864_CNSOverLiver>	"D16Ertd472e"
<http://example.org/onto/individual/ENSMUSG00000015090_CNSOverLiver>	"Ptgds"
<http://example.org/onto/individual/ENSMUSG00000102748_CNSOverLiver>	"Pcdhgb2"
<http://example.org/onto/individual/ENSMUSG00000030162_CNSOverLiver>	"Olr1"
<http://example.org/onto/individual/ENSMUSG00000068115_CNSOverLiver>	"Ninl"
<http://example.org/onto/individual/ENSMUSG00000023055_CNSOverLiver>	"Calcoco1"
<http://example.org/onto/individual/ENSMUSG00000020728_CNSOverLiver>	"Cep112"
<http://example.org/onto/individual/ENSMUSG00000028019_CNSOverLiver>	"Pdgfc"
<http://example.org/onto/individual/ENSMUSG00000022323_CNSOverLiver>	"Hrsp12"
<http://example.org/onto/individual/ENSMUSG00000023067_CNSOverLiver>	"Cdkn1a"
<http://example.org/onto/individual/ENSMUSG00000050708_CNSOverLiver>	"Ftl1"
<http://example.org/onto/individual/ENSMUSG00000021238_CNSOverLiver>	"Aldh6a1"
<http://example.org/onto/individual/ENSMUSG00000039982_CNSOverLiver>	"Dtx4"
<http://example.org/onto/individual/ENSMUSG00000030088_CNSOverLiver>	"Aldh1l1"
<http://example.org/onto/individual/ENSMUSG00000001348_CNSOverLiver>	"Acp5"
<http://example.org/onto/individual/ENSMUSG00000026749_CNSOverLiver>	"Nek6"
<http://example.org/onto/individual/ENSMUSG00000050463_CNSOverLiver>	"Krt78"
<http://example.org/onto/individual/ENSMUSG00000050423_CNSOverLiver>	"Ppp1r3g"
<http://example.org/onto/individual/ENSMUSG00000029314_CNSOverLiver>	"Agpat9"
<http://example.org/onto/individual/ENSMUSG00000025092_CNSOverLiver>	"Hspa12a"
<http://example.org/onto/individual/ENSMUSG00000015222_CNSOverLiver>	"Map2"
<http://example.org/onto/individual/ENSMUSG00000022094_CNSOverLiver>	"Slc39a14"
<http://example.org/onto/individual/ENSMUSG00000032850_CNSOverLiver>	"Rnft2"
<http://example.org/onto/individual/ENSMUSG00000025019_CNSOverLiver>	"Lcor"
<http://example.org/onto/individual/ENSMUSG00000030532_CNSOverLiver>	"Hddc3"
<http://example.org/onto/individual/ENSMUSG00000035954_CNSOverLiver>	"Dock4"
<http://example.org/onto/individual/ENSMUSG00000037455_CNSOverLiver>	"Slc18b1"
<http://example.org/onto/individual/ENSMUSG00000015314_CNSOverLiver>	"Slamf6"
<http://example.org/onto/individual/ENSMUSG00000038578_CNSOverLiver>	"Susd1"
<http://example.org/onto/individual/ENSMUSG00000057895_CNSOverLiver>	"Zfp105"
<http://example.org/onto/individual/ENSMUSG00000054459_CNSOverLiver>	"Vsnl1"
<http://example.org/onto/individual/ENSMUSG00000024912_CNSOverLiver>	"Fosl1"
<http://example.org/onto/individual/ENSMUSG00000025854_CNSOverLiver>	"Fam20c"
<http://example.org/onto/individual/ENSMUSG00000073494_CNSOverLiver>	"Sh2d1b2"
<http://example.org/onto/individual/ENSMUSG00000022807_CNSOverLiver>	"Osbpl11"
<http://example.org/onto/individual/ENSMUSG00000030307_CNSOverLiver>	"Slc6a11"
<http://example.org/onto/individual/ENSMUSG00000078867_CNSOverLiver>	"Gm14418"
<http://example.org/onto/individual/ENSMUSG00000025701_CNSOverLiver>	"Alox5"
<http://example.org/onto/individual/ENSMUSG00000090626_CNSOverLiver>	"Tex9"
<http://example.org/onto/individual/ENSMUSG00000052392_CNSOverLiver>	"Acot4"
<http://example.org/onto/individual/ENSMUSG00000017667_CNSOverLiver>	"Zfp334"
<http://example.org/onto/individual/ENSMUSG00000032691_CNSOverLiver>	"Nlrp3"
<http://example.org/onto/individual/ENSMUSG00000062310_CNSOverLiver>	"Glrp1"
<http://example.org/onto/individual/ENSMUSG00000034462_CNSOverLiver>	"Pkd2"
<http://example.org/onto/individual/ENSMUSG00000028341_CNSOverLiver>	"Nr4a3"
<http://example.org/onto/individual/ENSMUSG00000036158_CNSOverLiver>	"Prickle1"
<http://example.org/onto/individual/ENSMUSG00000030278_CNSOverLiver>	"Cidec"
<http://example.org/onto/individual/ENSMUSG00000028885_CNSOverLiver>	"Smpdl3b"
<http://example.org/onto/individual/ENSMUSG00000030659_CNSOverLiver>	"Nucb2"
<http://example.org/onto/individual/ENSMUSG00000027200_CNSOverLiver>	"Sema6d"
<http://example.org/onto/individual/ENSMUSG00000040722_CNSOverLiver>	"Scamp5"
<http://example.org/onto/individual/ENSMUSG00000025981_CNSOverLiver>	"Coq10b"
<http://example.org/onto/individual/ENSMUSG00000037071_CNSOverLiver>	"Scd1"
<http://example.org/onto/individual/ENSMUSG00000025586_CNSOverLiver>	"Cpeb1"
<http://example.org/onto/individual/ENSMUSG00000037279_CNSOverLiver>	"Ovol2"
<http://example.org/onto/individual/ENSMUSG00000039372_CNSOverLiver>	"Mar-04"
<http://example.org/onto/individual/ENSMUSG00000024008_CNSOverLiver>	"Cpne5"
<http://example.org/onto/individual/ENSMUSG00000037260_CNSOverLiver>	"Hgsnat"
<http://example.org/onto/individual/ENSMUSG00000000934_CNSOverLiver>	"Top1mt"
<http://example.org/onto/individual/ENSMUSG00000030402_CNSOverLiver>	"Ppm1n"
<http://example.org/onto/individual/ENSMUSG00000026712_CNSOverLiver>	"Mrc1"
<http://example.org/onto/individual/ENSMUSG00000026482_CNSOverLiver>	"Rgl1"
<http://example.org/onto/individual/ENSMUSG00000053550_CNSOverLiver>	"Shisa7"
<http://example.org/onto/individual/ENSMUSG00000005413_CNSOverLiver>	"Hmox1"
<http://example.org/onto/individual/ENSMUSG00000061808_CNSOverLiver>	"Ttr"
<http://example.org/onto/individual/ENSMUSG00000048826_CNSOverLiver>	"Dact2"
<http://example.org/onto/individual/ENSMUSG00000028369_CNSOverLiver>	"Svep1"
<http://example.org/onto/individual/ENSMUSG00000038094_CNSOverLiver>	"Atp13a4"
<http://example.org/onto/individual/ENSMUSG00000004567_CNSOverLiver>	"Mcoln1"
<http://example.org/onto/individual/ENSMUSG00000029672_CNSOverLiver>	"Fam3c"
<http://example.org/onto/individual/ENSMUSG00000032860_CNSOverLiver>	"P2ry2"
<http://example.org/onto/individual/ENSMUSG00000053580_CNSOverLiver>	"Tanc2"
<http://example.org/onto/individual/ENSMUSG00000032911_CNSOverLiver>	"Cspg4"
<http://example.org/onto/individual/ENSMUSG00000046876_CNSOverLiver>	"Atxn1"
<http://example.org/onto/individual/ENSMUSG00000041308_CNSOverLiver>	"Sntb2"
<http://example.org/onto/individual/ENSMUSG00000018916_CNSOverLiver>	"Csf2"
<http://example.org/onto/individual/ENSMUSG00000025815_CNSOverLiver>	"Dhtkd1"
<http://example.org/onto/individual/ENSMUSG00000023094_CNSOverLiver>	"Msrb2"
<http://example.org/onto/individual/ENSMUSG00000042035_CNSOverLiver>	"Igsf3"
<http://example.org/onto/individual/ENSMUSG00000041241_CNSOverLiver>	"Mul1"
<http://example.org/onto/individual/ENSMUSG00000038372_CNSOverLiver>	"Gmds"
<http://example.org/onto/individual/ENSMUSG00000035168_CNSOverLiver>	"Tanc1"
<http://example.org/onto/individual/ENSMUSG00000046223_CNSOverLiver>	"Plaur"
<http://example.org/onto/individual/ENSMUSG00000046318_CNSOverLiver>	"Ccbe1"
<http://example.org/onto/individual/ENSMUSG00000029470_CNSOverLiver>	"P2rx4"
<http://example.org/onto/individual/ENSMUSG00000039683_CNSOverLiver>	"Sdk1"
<http://example.org/onto/individual/ENSMUSG00000025911_CNSOverLiver>	"Adhfe1"
<http://example.org/onto/individual/ENSMUSG00000043300_CNSOverLiver>	"B3galnt1"
<http://example.org/onto/individual/ENSMUSG00000032440_CNSOverLiver>	"Tgfbr2"
<http://example.org/onto/individual/ENSMUSG00000037465_CNSOverLiver>	"Klf10"
<http://example.org/onto/individual/ENSMUSG00000078452_CNSOverLiver>	"Raet1d"
<http://example.org/onto/individual/ENSMUSG00000036620_CNSOverLiver>	"Mgat4b"
<http://example.org/onto/individual/ENSMUSG00000028218_CNSOverLiver>	"Fam92a"
<http://example.org/onto/individual/ENSMUSG00000040370_CNSOverLiver>	"Lyrm5"
<http://example.org/onto/individual/ENSMUSG00000027296_CNSOverLiver>	"Itpka"
<http://example.org/onto/individual/ENSMUSG00000042870_CNSOverLiver>	"Tom1"
<http://example.org/onto/individual/ENSMUSG00000027330_CNSOverLiver>	"Cdc25b"
<http://example.org/onto/individual/ENSMUSG00000048647_CNSOverLiver>	"Exd1"
<http://example.org/onto/individual/ENSMUSG00000022057_CNSOverLiver>	"Adamdec1"
<http://example.org/onto/individual/ENSMUSG00000058240_CNSOverLiver>	"Cryzl1"
<http://example.org/onto/individual/ENSMUSG00000021125_CNSOverLiver>	"Arg2"
<http://example.org/onto/individual/ENSMUSG00000034792_CNSOverLiver>	"Gna15"
<http://example.org/onto/individual/ENSMUSG00000074743_CNSOverLiver>	"Thbd"
<http://example.org/onto/individual/ENSMUSG00000030666_CNSOverLiver>	"Calcb"
<http://example.org/onto/individual/ENSMUSG00000049598_CNSOverLiver>	"Vsig8"
<http://example.org/onto/individual/ENSMUSG00000047798_CNSOverLiver>	"Cd300lf"
<http://example.org/onto/individual/ENSMUSG00000006494_CNSOverLiver>	"Pdk1"
<http://example.org/onto/individual/ENSMUSG00000000275_CNSOverLiver>	"Trim25"
<http://example.org/onto/individual/ENSMUSG00000047407_CNSOverLiver>	"Tgif1"
<http://example.org/onto/individual/ENSMUSG00000028961_CNSOverLiver>	"Pgd"
<http://example.org/onto/individual/ENSMUSG00000019302_CNSOverLiver>	"Atp6v0a1"
<http://example.org/onto/individual/ENSMUSG00000020696_CNSOverLiver>	"Rffl"
<http://example.org/onto/individual/ENSMUSG00000089669_CNSOverLiver>	"Tnfsf13"
<http://example.org/onto/individual/ENSMUSG00000020806_CNSOverLiver>	"Rhbdf2"
<http://example.org/onto/individual/ENSMUSG00000037594_CNSOverLiver>	"BC022687"
<http://example.org/onto/individual/ENSMUSG00000028982_CNSOverLiver>	"Slc25a33"
<http://example.org/onto/individual/ENSMUSG00000029103_CNSOverLiver>	"Lrpap1"
<http://example.org/onto/individual/ENSMUSG00000061815_CNSOverLiver>	"Rufy4"
<http://example.org/onto/individual/ENSMUSG00000022108_CNSOverLiver>	"Itm2b"
<http://example.org/onto/individual/ENSMUSG00000042622_CNSOverLiver>	"Maff"
<http://example.org/onto/individual/ENSMUSG00000036863_CNSOverLiver>	"Syde2"
<http://example.org/onto/individual/ENSMUSG00000029392_CNSOverLiver>	"Rilpl1"
<http://example.org/onto/individual/ENSMUSG00000034271_CNSOverLiver>	"Jdp2"
<http://example.org/onto/individual/ENSMUSG00000039193_CNSOverLiver>	"Nlrc4"
<http://example.org/onto/individual/ENSMUSG00000022548_CNSOverLiver>	"Apod"
<http://example.org/onto/individual/ENSMUSG00000051503_CNSOverLiver>	"Gm6583"
<http://example.org/onto/individual/ENSMUSG00000027435_CNSOverLiver>	"Cd93"
<http://example.org/onto/individual/ENSMUSG00000057315_CNSOverLiver>	"Arhgap24"
