?genes_iri	?upRegulated
<http://example.org/onto/individual/ENSMUSG00000037827_CNSOverLiver>	"Gm5884"
<http://example.org/onto/individual/ENSMUSG00000022855_CNSOverLiver>	"Senp2"
<http://example.org/onto/individual/ENSMUSG00000021250_CNSOverLiver>	"Fos"
<http://example.org/onto/individual/ENSMUSG00000039013_CNSOverLiver>	"Siglecf"
<http://example.org/onto/individual/ENSMUSG00000045268_CNSOverLiver>	"Zfp691"
<http://example.org/onto/individual/ENSMUSG00000019122_CNSOverLiver>	"Ccl9"
<http://example.org/onto/individual/ENSMUSG00000053581_CNSOverLiver>	"Zfand2a"
<http://example.org/onto/individual/ENSMUSG00000031618_CNSOverLiver>	"Nr3c2"
<http://example.org/onto/individual/ENSMUSG00000014725_CNSOverLiver>	"Adam28"
<http://example.org/onto/individual/ENSMUSG00000033213_CNSOverLiver>	"AA467197"
<http://example.org/onto/individual/ENSMUSG00000024666_CNSOverLiver>	"Tmem138"
<http://example.org/onto/individual/ENSMUSG00000028063_CNSOverLiver>	"Lmna"
<http://example.org/onto/individual/ENSMUSG00000055782_CNSOverLiver>	"Abcd2"
<http://example.org/onto/individual/ENSMUSG00000003541_CNSOverLiver>	"Ier3"
<http://example.org/onto/individual/ENSMUSG00000019838_CNSOverLiver>	"Slc16a10"
<http://example.org/onto/individual/ENSMUSG00000031402_CNSOverLiver>	"Mpp1"
<http://example.org/onto/individual/ENSMUSG00000032289_CNSOverLiver>	"Thsd4"
<http://example.org/onto/individual/ENSMUSG00000026411_CNSOverLiver>	"Tmem9"
<http://example.org/onto/individual/ENSMUSG00000033902_CNSOverLiver>	"Mapkbp1"
<http://example.org/onto/individual/ENSMUSG00000020527_CNSOverLiver>	"Myo19"
<http://example.org/onto/individual/ENSMUSG00000062312_CNSOverLiver>	"Erbb2"
<http://example.org/onto/individual/ENSMUSG00000025877_CNSOverLiver>	"Hk3"
<http://example.org/onto/individual/ENSMUSG00000009614_CNSOverLiver>	"Sardh"
<http://example.org/onto/individual/ENSMUSG00000033565_CNSOverLiver>	"Rbfox2"
<http://example.org/onto/individual/ENSMUSG00000035778_CNSOverLiver>	"Ggta1"
<http://example.org/onto/individual/ENSMUSG00000031503_CNSOverLiver>	"Col4a2"
<http://example.org/onto/individual/ENSMUSG00000070803_CNSOverLiver>	"Cited4"
<http://example.org/onto/individual/ENSMUSG00000032068_CNSOverLiver>	"Plet1"
<http://example.org/onto/individual/ENSMUSG00000068874_CNSOverLiver>	"Selenbp1"
<http://example.org/onto/individual/ENSMUSG00000048677_CNSOverLiver>	"Tpcn2"
<http://example.org/onto/individual/ENSMUSG00000026958_CNSOverLiver>	"Dpp7"
<http://example.org/onto/individual/ENSMUSG00000041695_CNSOverLiver>	"Kcnj2"
<http://example.org/onto/individual/ENSMUSG00000024164_CNSOverLiver>	"C3"
<http://example.org/onto/individual/ENSMUSG00000022371_CNSOverLiver>	"Col14a1"
<http://example.org/onto/individual/ENSMUSG00000095061_CNSOverLiver>	"E030018B13Rik"
<http://example.org/onto/individual/ENSMUSG00000022679_CNSOverLiver>	"Mpv17l"
<http://example.org/onto/individual/ENSMUSG00000030020_CNSOverLiver>	"Prickle2"
<http://example.org/onto/individual/ENSMUSG00000042364_CNSOverLiver>	"Snx18"
<http://example.org/onto/individual/ENSMUSG00000020709_CNSOverLiver>	"Adap2"
<http://example.org/onto/individual/ENSMUSG00000052560_CNSOverLiver>	"Cpne8"
<http://example.org/onto/individual/ENSMUSG00000048965_CNSOverLiver>	"Mrgpre"
<http://example.org/onto/individual/ENSMUSG00000026986_CNSOverLiver>	"Hnmt"
<http://example.org/onto/individual/ENSMUSG00000045980_CNSOverLiver>	"Tmem104"
<http://example.org/onto/individual/ENSMUSG00000050860_CNSOverLiver>	"Phospho1"
<http://example.org/onto/individual/ENSMUSG00000001542_CNSOverLiver>	"Ell2"
<http://example.org/onto/individual/ENSMUSG00000021643_CNSOverLiver>	"Serf1"
<http://example.org/onto/individual/ENSMUSG00000019872_CNSOverLiver>	"Smpdl3a"
<http://example.org/onto/individual/ENSMUSG00000030956_CNSOverLiver>	"Fam53b"
<http://example.org/onto/individual/ENSMUSG00000024661_CNSOverLiver>	"Fth1"
<http://example.org/onto/individual/ENSMUSG00000028127_CNSOverLiver>	"Abcd3"
<http://example.org/onto/individual/ENSMUSG00000051483_CNSOverLiver>	"Cbr1"
<http://example.org/onto/individual/ENSMUSG00000061451_CNSOverLiver>	"Tmem151a"
<http://example.org/onto/individual/ENSMUSG00000038884_CNSOverLiver>	"A230050P20Rik"
<http://example.org/onto/individual/ENSMUSG00000027737_CNSOverLiver>	"Slc7a11"
<http://example.org/onto/individual/ENSMUSG00000036526_CNSOverLiver>	"Card11"
<http://example.org/onto/individual/ENSMUSG00000036644_CNSOverLiver>	"Tbc1d9b"
<http://example.org/onto/individual/ENSMUSG00000029534_CNSOverLiver>	"St7"
<http://example.org/onto/individual/ENSMUSG00000022629_CNSOverLiver>	"Kif21a"
<http://example.org/onto/individual/ENSMUSG00000030159_CNSOverLiver>	"Clec1b"
<http://example.org/onto/individual/ENSMUSG00000062127_CNSOverLiver>	"Cttnbp2nl"
<http://example.org/onto/individual/ENSMUSG00000100934_CNSOverLiver>	"Fmn1"
<http://example.org/onto/individual/ENSMUSG00000030872_CNSOverLiver>	"Gga2"
<http://example.org/onto/individual/ENSMUSG00000001157_CNSOverLiver>	"Gmcl1"
