?genes_iri	?upRegulated
<http://example.org/onto/individual/ENSMUSG00000069516_CNSOverKidney>	"Lyz2"
<http://example.org/onto/individual/ENSMUSG00000062980_CNSOverKidney>	"Cped1"
<http://example.org/onto/individual/ENSMUSG00000042870_CNSOverKidney>	"Tom1"
<http://example.org/onto/individual/ENSMUSG00000025375_CNSOverKidney>	"Aatk"
<http://example.org/onto/individual/ENSMUSG00000056204_CNSOverKidney>	"Pgpep1"
<http://example.org/onto/individual/ENSMUSG00000060224_CNSOverKidney>	"Pyroxd2"
<http://example.org/onto/individual/ENSMUSG00000094786_CNSOverKidney>	"Gm14403"
<http://example.org/onto/individual/ENSMUSG00000053581_CNSOverKidney>	"Zfand2a"
<http://example.org/onto/individual/ENSMUSG00000021779_CNSOverKidney>	"Thrb"
<http://example.org/onto/individual/ENSMUSG00000032860_CNSOverKidney>	"P2ry2"
<http://example.org/onto/individual/ENSMUSG00000020766_CNSOverKidney>	"Galk1"
<http://example.org/onto/individual/ENSMUSG00000026153_CNSOverKidney>	"Fam135a"
<http://example.org/onto/individual/ENSMUSG00000021556_CNSOverKidney>	"Golm1"
<http://example.org/onto/individual/ENSMUSG00000020256_CNSOverKidney>	"Aldh1l2"
<http://example.org/onto/individual/ENSMUSG00000024770_CNSOverKidney>	"Lipn"
<http://example.org/onto/individual/ENSMUSG00000048965_CNSOverKidney>	"Mrgpre"
<http://example.org/onto/individual/ENSMUSG00000036904_CNSOverKidney>	"Fzd8"
<http://example.org/onto/individual/ENSMUSG00000021796_CNSOverKidney>	"Bmpr1a"
<http://example.org/onto/individual/ENSMUSG00000000365_CNSOverKidney>	"Rnf17"
<http://example.org/onto/individual/ENSMUSG00000003665_CNSOverKidney>	"Has1"
<http://example.org/onto/individual/ENSMUSG00000055782_CNSOverKidney>	"Abcd2"
<http://example.org/onto/individual/ENSMUSG00000037300_CNSOverKidney>	"Ttc13"
<http://example.org/onto/individual/ENSMUSG00000048078_CNSOverKidney>	"Tenm4"
<http://example.org/onto/individual/ENSMUSG00000099032_CNSOverKidney>	"Tcf24"
<http://example.org/onto/individual/ENSMUSG00000044337_CNSOverKidney>	"Ackr3"
<http://example.org/onto/individual/ENSMUSG00000026821_CNSOverKidney>	"Ralgds"
<http://example.org/onto/individual/ENSMUSG00000042364_CNSOverKidney>	"Snx18"
<http://example.org/onto/individual/ENSMUSG00000037370_CNSOverKidney>	"Enpp1"
<http://example.org/onto/individual/ENSMUSG00000020534_CNSOverKidney>	"Shmt1"
<http://example.org/onto/individual/ENSMUSG00000025427_CNSOverKidney>	"Rnf165"
<http://example.org/onto/individual/ENSMUSG00000030019_CNSOverKidney>	"Fbxl14"
<http://example.org/onto/individual/ENSMUSG00000026193_CNSOverKidney>	"Fn1"
<http://example.org/onto/individual/ENSMUSG00000051483_CNSOverKidney>	"Cbr1"
<http://example.org/onto/individual/ENSMUSG00000021360_CNSOverKidney>	"Gcnt2"
<http://example.org/onto/individual/ENSMUSG00000039512_CNSOverKidney>	"Uhrf1bp1"
<http://example.org/onto/individual/ENSMUSG00000046441_CNSOverKidney>	"Cmtr2"
<http://example.org/onto/individual/ENSMUSG00000044641_CNSOverKidney>	"Pard6b"
<http://example.org/onto/individual/ENSMUSG00000030956_CNSOverKidney>	"Fam53b"
<http://example.org/onto/individual/ENSMUSG00000056643_CNSOverKidney>	"Chst13"
<http://example.org/onto/individual/ENSMUSG00000062082_CNSOverKidney>	"Cd200r4"
<http://example.org/onto/individual/ENSMUSG00000027695_CNSOverKidney>	"Pld1"
<http://example.org/onto/individual/ENSMUSG00000039782_CNSOverKidney>	"Cpeb2"
<http://example.org/onto/individual/ENSMUSG00000019947_CNSOverKidney>	"Arid5b"
<http://example.org/onto/individual/ENSMUSG00000047648_CNSOverKidney>	"Fbxo30"
<http://example.org/onto/individual/ENSMUSG00000019806_CNSOverKidney>	"Aig1"
<http://example.org/onto/individual/ENSMUSG00000033278_CNSOverKidney>	"Ptprm"
<http://example.org/onto/individual/ENSMUSG00000020593_CNSOverKidney>	"Lpin1"
<http://example.org/onto/individual/ENSMUSG00000017631_CNSOverKidney>	"Abr"
<http://example.org/onto/individual/ENSMUSG00000030541_CNSOverKidney>	"Idh2"
<http://example.org/onto/individual/ENSMUSG00000044645_CNSOverKidney>	"Gm7334"
<http://example.org/onto/individual/ENSMUSG00000102252_CNSOverKidney>	"Snrpn"
<http://example.org/onto/individual/ENSMUSG00000024905_CNSOverKidney>	"Mtl5"
<http://example.org/onto/individual/ENSMUSG00000035095_CNSOverKidney>	"Fam167a"
<http://example.org/onto/individual/ENSMUSG00000041921_CNSOverKidney>	"Metap1d"
<http://example.org/onto/individual/ENSMUSG00000031367_CNSOverKidney>	"Ap1s2"
<http://example.org/onto/individual/ENSMUSG00000039652_CNSOverKidney>	"Cpeb3"
<http://example.org/onto/individual/ENSMUSG00000056073_CNSOverKidney>	"Grik2"
<http://example.org/onto/individual/ENSMUSG00000027439_CNSOverKidney>	"Gzf1"
<http://example.org/onto/individual/ENSMUSG00000057531_CNSOverKidney>	"Dtnbp1"
<http://example.org/onto/individual/ENSMUSG00000031591_CNSOverKidney>	"Asah1"
<http://example.org/onto/individual/ENSMUSG00000022679_CNSOverKidney>	"Mpv17l"
<http://example.org/onto/individual/ENSMUSG00000004961_CNSOverKidney>	"Syt5"
<http://example.org/onto/individual/ENSMUSG00000022051_CNSOverKidney>	"Bnip3l"
<http://example.org/onto/individual/ENSMUSG00000042265_CNSOverKidney>	"Trem1"
<http://example.org/onto/individual/ENSMUSG00000061410_CNSOverKidney>	"Zcchc14"
<http://example.org/onto/individual/ENSMUSG00000017639_CNSOverKidney>	"Rab11fip4"
<http://example.org/onto/individual/ENSMUSG00000026939_CNSOverKidney>	"Tmem141"
