?genes_iri	?upRegulated
<http://example.org/onto/individual/ENSMUSG00000025429_CNSOverKidney>	"Pstpip2"
<http://example.org/onto/individual/ENSMUSG00000055296_CNSOverKidney>	"Tmem245"
<http://example.org/onto/individual/ENSMUSG00000042708_CNSOverKidney>	"Shcbp1l"
<http://example.org/onto/individual/ENSMUSG00000075273_CNSOverKidney>	"Ttc30b"
<http://example.org/onto/individual/ENSMUSG00000072601_CNSOverKidney>	"Ear1"
<http://example.org/onto/individual/ENSMUSG00000026694_CNSOverKidney>	"Mettl13"
<http://example.org/onto/individual/ENSMUSG00000022451_CNSOverKidney>	"Twf1"
<http://example.org/onto/individual/ENSMUSG00000030785_CNSOverKidney>	"Cox6a2"
<http://example.org/onto/individual/ENSMUSG00000028082_CNSOverKidney>	"Sh3d19"
<http://example.org/onto/individual/ENSMUSG00000027296_CNSOverKidney>	"Itpka"
<http://example.org/onto/individual/ENSMUSG00000071398_CNSOverKidney>	"2410004P03Rik"
<http://example.org/onto/individual/ENSMUSG00000034957_CNSOverKidney>	"Cebpa"
<http://example.org/onto/individual/ENSMUSG00000030246_CNSOverKidney>	"Ldhb"
<http://example.org/onto/individual/ENSMUSG00000047786_CNSOverKidney>	"Lix1"
<http://example.org/onto/individual/ENSMUSG00000005583_CNSOverKidney>	"Mef2c"
<http://example.org/onto/individual/ENSMUSG00000104713_CNSOverKidney>	"Gbp6"
<http://example.org/onto/individual/ENSMUSG00000023094_CNSOverKidney>	"Msrb2"
<http://example.org/onto/individual/ENSMUSG00000032507_CNSOverKidney>	"Fbxl2"
<http://example.org/onto/individual/ENSMUSG00000091277_CNSOverKidney>	"Gm1818"
<http://example.org/onto/individual/ENSMUSG00000058135_CNSOverKidney>	"Gstm1"
<http://example.org/onto/individual/ENSMUSG00000005800_CNSOverKidney>	"Mmp8"
<http://example.org/onto/individual/ENSMUSG00000102428_CNSOverKidney>	"Pcdhga12"
<http://example.org/onto/individual/ENSMUSG00000098488_CNSOverKidney>	"Pla2g4b"
<http://example.org/onto/individual/ENSMUSG00000035021_CNSOverKidney>	"Baz1a"
<http://example.org/onto/individual/ENSMUSG00000010307_CNSOverKidney>	"Tmem86a"
<http://example.org/onto/individual/ENSMUSG00000022756_CNSOverKidney>	"Slc7a4"
<http://example.org/onto/individual/ENSMUSG00000051498_CNSOverKidney>	"Tlr6"
<http://example.org/onto/individual/ENSMUSG00000059970_CNSOverKidney>	"Hspa2"
<http://example.org/onto/individual/ENSMUSG00000073489_CNSOverKidney>	"Ifi204"
<http://example.org/onto/individual/ENSMUSG00000044103_CNSOverKidney>	"Il1f9"
<http://example.org/onto/individual/ENSMUSG00000022938_CNSOverKidney>	"Fam3b"
<http://example.org/onto/individual/ENSMUSG00000049134_CNSOverKidney>	"Nrap"
<http://example.org/onto/individual/ENSMUSG00000048647_CNSOverKidney>	"Exd1"
<http://example.org/onto/individual/ENSMUSG00000040813_CNSOverKidney>	"Tex264"
<http://example.org/onto/individual/ENSMUSG00000020704_CNSOverKidney>	"Asic2"
<http://example.org/onto/individual/ENSMUSG00000023911_CNSOverKidney>	"Flywch2"
<http://example.org/onto/individual/ENSMUSG00000043155_CNSOverKidney>	"Hpdl"
<http://example.org/onto/individual/ENSMUSG00000051065_CNSOverKidney>	"Mb21d2"
<http://example.org/onto/individual/ENSMUSG00000038642_CNSOverKidney>	"Ctss"
<http://example.org/onto/individual/ENSMUSG00000074896_CNSOverKidney>	"Ifit3"
<http://example.org/onto/individual/ENSMUSG00000034292_CNSOverKidney>	"Traf3ip1"
<http://example.org/onto/individual/ENSMUSG00000048490_CNSOverKidney>	"Nrip1"
<http://example.org/onto/individual/ENSMUSG00000032475_CNSOverKidney>	"Nck1"
<http://example.org/onto/individual/ENSMUSG00000036526_CNSOverKidney>	"Card11"
<http://example.org/onto/individual/ENSMUSG00000048480_CNSOverKidney>	"Cxcr1"
<http://example.org/onto/individual/ENSMUSG00000018800_CNSOverKidney>	"Abca5"
<http://example.org/onto/individual/ENSMUSG00000005534_CNSOverKidney>	"Insr"
<http://example.org/onto/individual/ENSMUSG00000068205_CNSOverKidney>	"Macrod2"
<http://example.org/onto/individual/ENSMUSG00000021182_CNSOverKidney>	"Ccdc88c"
<http://example.org/onto/individual/ENSMUSG00000061666_CNSOverKidney>	"Gdpd1"
<http://example.org/onto/individual/ENSMUSG00000024124_CNSOverKidney>	"Prss30"
<http://example.org/onto/individual/ENSMUSG00000051503_CNSOverKidney>	"Gm6583"
<http://example.org/onto/individual/ENSMUSG00000042182_CNSOverKidney>	"Bend6"
<http://example.org/onto/individual/ENSMUSG00000018995_CNSOverKidney>	"Nars2"
<http://example.org/onto/individual/ENSMUSG00000019916_CNSOverKidney>	"P4ha1"
<http://example.org/onto/individual/ENSMUSG00000038094_CNSOverKidney>	"Atp13a4"
<http://example.org/onto/individual/ENSMUSG00000042616_CNSOverKidney>	"Oscp1"
<http://example.org/onto/individual/ENSMUSG00000074604_CNSOverKidney>	"Mgst2"
<http://example.org/onto/individual/ENSMUSG00000068264_CNSOverKidney>	"Ap5s1"
<http://example.org/onto/individual/ENSMUSG00000027329_CNSOverKidney>	"Spef1"
<http://example.org/onto/individual/ENSMUSG00000002699_CNSOverKidney>	"Lcp2"
<http://example.org/onto/individual/ENSMUSG00000020189_CNSOverKidney>	"Osbpl8"
<http://example.org/onto/individual/ENSMUSG00000020448_CNSOverKidney>	"Rnf185"
<http://example.org/onto/individual/ENSMUSG00000003518_CNSOverKidney>	"Dusp3"
<http://example.org/onto/individual/ENSMUSG00000013076_CNSOverKidney>	"Amotl1"
<http://example.org/onto/individual/ENSMUSG00000023019_CNSOverKidney>	"Gpd1"
<http://example.org/onto/individual/ENSMUSG00000037936_CNSOverKidney>	"Scarb1"
<http://example.org/onto/individual/ENSMUSG00000034751_CNSOverKidney>	"Mast4"
<http://example.org/onto/individual/ENSMUSG00000015994_CNSOverKidney>	"Fnta"
<http://example.org/onto/individual/ENSMUSG00000071724_CNSOverKidney>	"Smpd5"
<http://example.org/onto/individual/ENSMUSG00000002992_CNSOverKidney>	"Apoc2"
<http://example.org/onto/individual/ENSMUSG00000018927_CNSOverKidney>	"Ccl6"
<http://example.org/onto/individual/ENSMUSG00000027435_CNSOverKidney>	"Cd93"
<http://example.org/onto/individual/ENSMUSG00000098112_CNSOverKidney>	"Bin2"
<http://example.org/onto/individual/ENSMUSG00000038214_CNSOverKidney>	"Bend3"
<http://example.org/onto/individual/ENSMUSG00000022818_CNSOverKidney>	"Cyp2ab1"
<http://example.org/onto/individual/ENSMUSG00000044244_CNSOverKidney>	"Il20rb"
<http://example.org/onto/individual/ENSMUSG00000024410_CNSOverKidney>	"3110002H16Rik"
<http://example.org/onto/individual/ENSMUSG00000036391_CNSOverKidney>	"Sec24a"
<http://example.org/onto/individual/ENSMUSG00000004609_CNSOverKidney>	"Cd33"
<http://example.org/onto/individual/ENSMUSG00000056234_CNSOverKidney>	"Ncoa4"
<http://example.org/onto/individual/ENSMUSG00000025498_CNSOverKidney>	"Irf7"
<http://example.org/onto/individual/ENSMUSG00000025025_CNSOverKidney>	"Mxi1"
<http://example.org/onto/individual/ENSMUSG00000018001_CNSOverKidney>	"Cyth3"
<http://example.org/onto/individual/ENSMUSG00000015568_CNSOverKidney>	"Lpl"
<http://example.org/onto/individual/ENSMUSG00000066440_CNSOverKidney>	"Zfyve26"
<http://example.org/onto/individual/ENSMUSG00000042607_CNSOverKidney>	"Asb4"
<http://example.org/onto/individual/ENSMUSG00000028019_CNSOverKidney>	"Pdgfc"
<http://example.org/onto/individual/ENSMUSG00000076431_CNSOverKidney>	"Sox4"
<http://example.org/onto/individual/ENSMUSG00000049999_CNSOverKidney>	"Ppp1r3d"
<http://example.org/onto/individual/ENSMUSG00000029752_CNSOverKidney>	"Asns"
<http://example.org/onto/individual/ENSMUSG00000045045_CNSOverKidney>	"Lrfn4"
<http://example.org/onto/individual/ENSMUSG00000056054_CNSOverKidney>	"S100a8"
<http://example.org/onto/individual/ENSMUSG00000050240_CNSOverKidney>	"Hic2"
<http://example.org/onto/individual/ENSMUSG00000083282_CNSOverKidney>	"Ctsf"
<http://example.org/onto/individual/ENSMUSG00000067878_CNSOverKidney>	"Mtap7d3"
<http://example.org/onto/individual/ENSMUSG00000000276_CNSOverKidney>	"Dgke"
<http://example.org/onto/individual/ENSMUSG00000068115_CNSOverKidney>	"Ninl"
<http://example.org/onto/individual/ENSMUSG00000055172_CNSOverKidney>	"C1ra"
<http://example.org/onto/individual/ENSMUSG00000039982_CNSOverKidney>	"Dtx4"
<http://example.org/onto/individual/ENSMUSG00000005268_CNSOverKidney>	"Prlr"
<http://example.org/onto/individual/ENSMUSG00000023473_CNSOverKidney>	"Celsr3"
<http://example.org/onto/individual/ENSMUSG00000020120_CNSOverKidney>	"Plek"
<http://example.org/onto/individual/ENSMUSG00000020541_CNSOverKidney>	"Tom1l1"
<http://example.org/onto/individual/ENSMUSG00000027082_CNSOverKidney>	"Tfpi"
<http://example.org/onto/individual/ENSMUSG00000014543_CNSOverKidney>	"Klra17"
<http://example.org/onto/individual/ENSMUSG00000020836_CNSOverKidney>	"Coro6"
<http://example.org/onto/individual/ENSMUSG00000047875_CNSOverKidney>	"Gpr157"
<http://example.org/onto/individual/ENSMUSG00000058756_CNSOverKidney>	"Thra"
<http://example.org/onto/individual/ENSMUSG00000026198_CNSOverKidney>	"Abcb6"
<http://example.org/onto/individual/ENSMUSG00000050994_CNSOverKidney>	"Adgb"
<http://example.org/onto/individual/ENSMUSG00000037095_CNSOverKidney>	"Lrg1"
<http://example.org/onto/individual/ENSMUSG00000038539_CNSOverKidney>	"Atf5"
<http://example.org/onto/individual/ENSMUSG00000044770_CNSOverKidney>	"Scml4"
<http://example.org/onto/individual/ENSMUSG00000019851_CNSOverKidney>	"Perp"
<http://example.org/onto/individual/ENSMUSG00000063145_CNSOverKidney>	"Bbs5"
<http://example.org/onto/individual/ENSMUSG00000036339_CNSOverKidney>	"Tmem260"
<http://example.org/onto/individual/ENSMUSG00000039934_CNSOverKidney>	"Gsap"
<http://example.org/onto/individual/ENSMUSG00000070923_CNSOverKidney>	"Klhl9"
<http://example.org/onto/individual/ENSMUSG00000032502_CNSOverKidney>	"Stac"
<http://example.org/onto/individual/ENSMUSG00000052512_CNSOverKidney>	"Nav2"
<http://example.org/onto/individual/ENSMUSG00000035121_CNSOverKidney>	"Neil2"
<http://example.org/onto/individual/ENSMUSG00000021690_CNSOverKidney>	"Jmy"
<http://example.org/onto/individual/ENSMUSG00000060260_CNSOverKidney>	"Pwwp2b"
<http://example.org/onto/individual/ENSMUSG00000076435_CNSOverKidney>	"Acsf2"
<http://example.org/onto/individual/ENSMUSG00000063060_CNSOverKidney>	"Sox7"
<http://example.org/onto/individual/ENSMUSG00000089669_CNSOverKidney>	"Tnfsf13"
<http://example.org/onto/individual/ENSMUSG00000030768_CNSOverKidney>	"Disp1"
<http://example.org/onto/individual/ENSMUSG00000050989_CNSOverKidney>	"Sepn1"
<http://example.org/onto/individual/ENSMUSG00000074218_CNSOverKidney>	"Cox7a1"
<http://example.org/onto/individual/ENSMUSG00000053835_CNSOverKidney>	"H2-T24"
<http://example.org/onto/individual/ENSMUSG00000023868_CNSOverKidney>	"Pde10a"
<http://example.org/onto/individual/ENSMUSG00000031266_CNSOverKidney>	"Gla"
<http://example.org/onto/individual/ENSMUSG00000032911_CNSOverKidney>	"Cspg4"
<http://example.org/onto/individual/ENSMUSG00000028378_CNSOverKidney>	"Ptgr1"
<http://example.org/onto/individual/ENSMUSG00000030272_CNSOverKidney>	"Camk1"
<http://example.org/onto/individual/ENSMUSG00000024768_CNSOverKidney>	"Lipf"
<http://example.org/onto/individual/ENSMUSG00000030255_CNSOverKidney>	"Sspn"
<http://example.org/onto/individual/ENSMUSG00000044485_CNSOverKidney>	"Klk1b11"
<http://example.org/onto/individual/ENSMUSG00000014361_CNSOverKidney>	"Mertk"
<http://example.org/onto/individual/ENSMUSG00000031584_CNSOverKidney>	"Gsr"
<http://example.org/onto/individual/ENSMUSG00000025019_CNSOverKidney>	"Lcor"
<http://example.org/onto/individual/ENSMUSG00000052415_CNSOverKidney>	"Tchh"
<http://example.org/onto/individual/ENSMUSG00000093769_CNSOverKidney>	"Hist2h3c1"
<http://example.org/onto/individual/ENSMUSG00000042485_CNSOverKidney>	"Mustn1"
<http://example.org/onto/individual/ENSMUSG00000024769_CNSOverKidney>	"Cdc42bpg"
<http://example.org/onto/individual/ENSMUSG00000048218_CNSOverKidney>	"Amigo2"
<http://example.org/onto/individual/ENSMUSG00000038459_CNSOverKidney>	"Abhd17c"
<http://example.org/onto/individual/ENSMUSG00000046826_CNSOverKidney>	"Fam187b"
<http://example.org/onto/individual/ENSMUSG00000037679_CNSOverKidney>	"Inf2"
<http://example.org/onto/individual/ENSMUSG00000029175_CNSOverKidney>	"Slc35f6"
<http://example.org/onto/individual/ENSMUSG00000026986_CNSOverKidney>	"Hnmt"
<http://example.org/onto/individual/ENSMUSG00000066235_CNSOverKidney>	"Pomgnt2"
<http://example.org/onto/individual/ENSMUSG00000019883_CNSOverKidney>	"Echdc1"
<http://example.org/onto/individual/ENSMUSG00000029162_CNSOverKidney>	"Khk"
<http://example.org/onto/individual/ENSMUSG00000037902_CNSOverKidney>	"Sirpa"
<http://example.org/onto/individual/ENSMUSG00000029376_CNSOverKidney>	"Mthfd2l"
<http://example.org/onto/individual/ENSMUSG00000050199_CNSOverKidney>	"Lgr4"
<http://example.org/onto/individual/ENSMUSG00000042289_CNSOverKidney>	"Hsd3b7"
<http://example.org/onto/individual/ENSMUSG00000069114_CNSOverKidney>	"Zbtb10"
<http://example.org/onto/individual/ENSMUSG00000045777_CNSOverKidney>	"Ifitm10"
<http://example.org/onto/individual/ENSMUSG00000027748_CNSOverKidney>	"Trpc4"
<http://example.org/onto/individual/ENSMUSG00000032902_CNSOverKidney>	"Slc16a1"
<http://example.org/onto/individual/ENSMUSG00000009630_CNSOverKidney>	"Ppp2cb"
<http://example.org/onto/individual/ENSMUSG00000046573_CNSOverKidney>	"Lyrm4"
<http://example.org/onto/individual/ENSMUSG00000042688_CNSOverKidney>	"Mapk6"
<http://example.org/onto/individual/ENSMUSG00000026110_CNSOverKidney>	"Mgat4a"
<http://example.org/onto/individual/ENSMUSG00000042684_CNSOverKidney>	"Npl"
<http://example.org/onto/individual/ENSMUSG00000007613_CNSOverKidney>	"Tgfbr1"
<http://example.org/onto/individual/ENSMUSG00000049321_CNSOverKidney>	"Zfp2"
<http://example.org/onto/individual/ENSMUSG00000021362_CNSOverKidney>	"Gcm2"
<http://example.org/onto/individual/ENSMUSG00000042632_CNSOverKidney>	"Pla2g6"
<http://example.org/onto/individual/ENSMUSG00000079445_CNSOverKidney>	"B3gnt7"
<http://example.org/onto/individual/ENSMUSG00000004270_CNSOverKidney>	"Lpcat3"
<http://example.org/onto/individual/ENSMUSG00000005373_CNSOverKidney>	"Mlxipl"
<http://example.org/onto/individual/ENSMUSG00000028111_CNSOverKidney>	"Ctsk"
<http://example.org/onto/individual/ENSMUSG00000038527_CNSOverKidney>	"C1rl"
<http://example.org/onto/individual/ENSMUSG00000029233_CNSOverKidney>	"Srd5a3"
<http://example.org/onto/individual/ENSMUSG00000032013_CNSOverKidney>	"Trim29"
<http://example.org/onto/individual/ENSMUSG00000041380_CNSOverKidney>	"Htr2c"
<http://example.org/onto/individual/ENSMUSG00000024462_CNSOverKidney>	"Gabbr1"
<http://example.org/onto/individual/ENSMUSG00000040061_CNSOverKidney>	"Plcb2"
<http://example.org/onto/individual/ENSMUSG00000024962_CNSOverKidney>	"Vegfb"
<http://example.org/onto/individual/ENSMUSG00000041729_CNSOverKidney>	"Coro2b"
<http://example.org/onto/individual/ENSMUSG00000041920_CNSOverKidney>	"Slc16a6"
<http://example.org/onto/individual/ENSMUSG00000048126_CNSOverKidney>	"Col6a3"
<http://example.org/onto/individual/ENSMUSG00000034771_CNSOverKidney>	"Tle2"
<http://example.org/onto/individual/ENSMUSG00000024220_CNSOverKidney>	"Zfp523"
<http://example.org/onto/individual/ENSMUSG00000029103_CNSOverKidney>	"Lrpap1"
<http://example.org/onto/individual/ENSMUSG00000038400_CNSOverKidney>	"Pmepa1"
<http://example.org/onto/individual/ENSMUSG00000020019_CNSOverKidney>	"Ntn4"
<http://example.org/onto/individual/ENSMUSG00000031803_CNSOverKidney>	"B3gnt3"
<http://example.org/onto/individual/ENSMUSG00000030287_CNSOverKidney>	"Itpr2"
<http://example.org/onto/individual/ENSMUSG00000047205_CNSOverKidney>	"Dusp18"
<http://example.org/onto/individual/ENSMUSG00000031586_CNSOverKidney>	"Rbpms"
<http://example.org/onto/individual/ENSMUSG00000002985_CNSOverKidney>	"Apoe"
<http://example.org/onto/individual/ENSMUSG00000020432_CNSOverKidney>	"Tcn2"
<http://example.org/onto/individual/ENSMUSG00000000805_CNSOverKidney>	"Car4"
<http://example.org/onto/individual/ENSMUSG00000032691_CNSOverKidney>	"Nlrp3"
<http://example.org/onto/individual/ENSMUSG00000006494_CNSOverKidney>	"Pdk1"
<http://example.org/onto/individual/ENSMUSG00000024758_CNSOverKidney>	"Rtn3"
<http://example.org/onto/individual/ENSMUSG00000026994_CNSOverKidney>	"Galnt3"
<http://example.org/onto/individual/ENSMUSG00000034765_CNSOverKidney>	"Dusp5"
<http://example.org/onto/individual/ENSMUSG00000046876_CNSOverKidney>	"Atxn1"
<http://example.org/onto/individual/ENSMUSG00000034394_CNSOverKidney>	"Lif"
<http://example.org/onto/individual/ENSMUSG00000000253_CNSOverKidney>	"Gmpr"
<http://example.org/onto/individual/ENSMUSG00000058435_CNSOverKidney>	"Btnl4"
<http://example.org/onto/individual/ENSMUSG00000025037_CNSOverKidney>	"Maoa"
<http://example.org/onto/individual/ENSMUSG00000021187_CNSOverKidney>	"Tc2n"
<http://example.org/onto/individual/ENSMUSG00000019718_CNSOverKidney>	"L3hypdh"
<http://example.org/onto/individual/ENSMUSG00000050628_CNSOverKidney>	"Ubald2"
<http://example.org/onto/individual/ENSMUSG00000033857_CNSOverKidney>	"Engase"
<http://example.org/onto/individual/ENSMUSG00000003585_CNSOverKidney>	"Sec14l2"
<http://example.org/onto/individual/ENSMUSG00000041707_CNSOverKidney>	"1810011H11Rik"
<http://example.org/onto/individual/ENSMUSG00000055102_CNSOverKidney>	"Zfp819"
<http://example.org/onto/individual/ENSMUSG00000005360_CNSOverKidney>	"Slc1a3"
<http://example.org/onto/individual/ENSMUSG00000014353_CNSOverKidney>	"Tmem87b"
<http://example.org/onto/individual/ENSMUSG00000040998_CNSOverKidney>	"Npnt"
<http://example.org/onto/individual/ENSMUSG00000031144_CNSOverKidney>	"Syp"
<http://example.org/onto/individual/ENSMUSG00000094130_CNSOverKidney>	"Rpp14"
<http://example.org/onto/individual/ENSMUSG00000037465_CNSOverKidney>	"Klf10"
<http://example.org/onto/individual/ENSMUSG00000028859_CNSOverKidney>	"Csf3r"
<http://example.org/onto/individual/ENSMUSG00000003271_CNSOverKidney>	"Sult2b1"
<http://example.org/onto/individual/ENSMUSG00000027624_CNSOverKidney>	"Epb4.1l1"
<http://example.org/onto/individual/ENSMUSG00000066800_CNSOverKidney>	"Rnasel"
<http://example.org/onto/individual/ENSMUSG00000034258_CNSOverKidney>	"Mfsd7c"
<http://example.org/onto/individual/ENSMUSG00000018541_CNSOverKidney>	"Cwc25"
<http://example.org/onto/individual/ENSMUSG00000034875_CNSOverKidney>	"Nudt19"
<http://example.org/onto/individual/ENSMUSG00000049422_CNSOverKidney>	"Chchd10"
<http://example.org/onto/individual/ENSMUSG00000033629_CNSOverKidney>	"Hacd3"
<http://example.org/onto/individual/ENSMUSG00000022615_CNSOverKidney>	"Tymp"
<http://example.org/onto/individual/ENSMUSG00000040321_CNSOverKidney>	"Zfp770"
<http://example.org/onto/individual/ENSMUSG00000021094_CNSOverKidney>	"Dhrs7"
<http://example.org/onto/individual/ENSMUSG00000060336_CNSOverKidney>	"Zfp937"
<http://example.org/onto/individual/ENSMUSG00000060703_CNSOverKidney>	"Cd302"
<http://example.org/onto/individual/ENSMUSG00000001157_CNSOverKidney>	"Gmcl1"
<http://example.org/onto/individual/ENSMUSG00000036667_CNSOverKidney>	"Tcaf1"
<http://example.org/onto/individual/ENSMUSG00000032633_CNSOverKidney>	"Flcn"
<http://example.org/onto/individual/ENSMUSG00000039013_CNSOverKidney>	"Siglecf"
<http://example.org/onto/individual/ENSMUSG00000021306_CNSOverKidney>	"Gpr137b"
<http://example.org/onto/individual/ENSMUSG00000020377_CNSOverKidney>	"Ltc4s"
<http://example.org/onto/individual/ENSMUSG00000007038_CNSOverKidney>	"Neu1"
<http://example.org/onto/individual/ENSMUSG00000028367_CNSOverKidney>	"Txn1"
<http://example.org/onto/individual/ENSMUSG00000010751_CNSOverKidney>	"Tnfrsf22"
<http://example.org/onto/individual/ENSMUSG00000045502_CNSOverKidney>	"Hcar2"
<http://example.org/onto/individual/ENSMUSG00000045636_CNSOverKidney>	"Mtus1"
<http://example.org/onto/individual/ENSMUSG00000016262_CNSOverKidney>	"Sertad4"
<http://example.org/onto/individual/ENSMUSG00000063600_CNSOverKidney>	"Egfem1"
<http://example.org/onto/individual/ENSMUSG00000055254_CNSOverKidney>	"Ntrk2"
<http://example.org/onto/individual/ENSMUSG00000051950_CNSOverKidney>	"B3glct"
<http://example.org/onto/individual/ENSMUSG00000021768_CNSOverKidney>	"Dusp13"
<http://example.org/onto/individual/ENSMUSG00000021750_CNSOverKidney>	"Fam107a"
<http://example.org/onto/individual/ENSMUSG00000002475_CNSOverKidney>	"Abhd3"
<http://example.org/onto/individual/ENSMUSG00000042745_CNSOverKidney>	"Id1"
<http://example.org/onto/individual/ENSMUSG00000022564_CNSOverKidney>	"Grina"
<http://example.org/onto/individual/ENSMUSG00000025213_CNSOverKidney>	"Kazald1"
<http://example.org/onto/individual/ENSMUSG00000024008_CNSOverKidney>	"Cpne5"
<http://example.org/onto/individual/ENSMUSG00000021125_CNSOverKidney>	"Arg2"
<http://example.org/onto/individual/ENSMUSG00000025328_CNSOverKidney>	"Padi3"
<http://example.org/onto/individual/ENSMUSG00000029086_CNSOverKidney>	"Prom1"
<http://example.org/onto/individual/ENSMUSG00000024666_CNSOverKidney>	"Tmem138"
<http://example.org/onto/individual/ENSMUSG00000025092_CNSOverKidney>	"Hspa12a"
<http://example.org/onto/individual/ENSMUSG00000020547_CNSOverKidney>	"Bzw2"
<http://example.org/onto/individual/ENSMUSG00000005089_CNSOverKidney>	"Slc1a2"
<http://example.org/onto/individual/ENSMUSG00000015711_CNSOverKidney>	"Prune"
<http://example.org/onto/individual/ENSMUSG00000020570_CNSOverKidney>	"Sypl"
<http://example.org/onto/individual/ENSMUSG00000028599_CNSOverKidney>	"Tnfrsf1b"
<http://example.org/onto/individual/ENSMUSG00000054708_CNSOverKidney>	"Ankrd24"
<http://example.org/onto/individual/ENSMUSG00000049327_CNSOverKidney>	"Setd8"
<http://example.org/onto/individual/ENSMUSG00000057137_CNSOverKidney>	"Tmem140"
<http://example.org/onto/individual/ENSMUSG00000043940_CNSOverKidney>	"Wdfy3"
<http://example.org/onto/individual/ENSMUSG00000033530_CNSOverKidney>	"Ttc7b"
<http://example.org/onto/individual/ENSMUSG00000028136_CNSOverKidney>	"Snx27"
<http://example.org/onto/individual/ENSMUSG00000039683_CNSOverKidney>	"Sdk1"
<http://example.org/onto/individual/ENSMUSG00000037759_CNSOverKidney>	"Ptger2"
<http://example.org/onto/individual/ENSMUSG00000040289_CNSOverKidney>	"Hey1"
<http://example.org/onto/individual/ENSMUSG00000046961_CNSOverKidney>	"Gpr156"
<http://example.org/onto/individual/ENSMUSG00000021710_CNSOverKidney>	"Nln"
<http://example.org/onto/individual/ENSMUSG00000021036_CNSOverKidney>	"Sptlc2"
<http://example.org/onto/individual/ENSMUSG00000037847_CNSOverKidney>	"Nmrk1"
<http://example.org/onto/individual/ENSMUSG00000017756_CNSOverKidney>	"Slc12a7"
<http://example.org/onto/individual/ENSMUSG00000102748_CNSOverKidney>	"Pcdhgb2"
<http://example.org/onto/individual/ENSMUSG00000071847_CNSOverKidney>	"Apcdd1"
<http://example.org/onto/individual/ENSMUSG00000052459_CNSOverKidney>	"Atp6v1a"
<http://example.org/onto/individual/ENSMUSG00000022629_CNSOverKidney>	"Kif21a"
<http://example.org/onto/individual/ENSMUSG00000029596_CNSOverKidney>	"Sdsl"
<http://example.org/onto/individual/ENSMUSG00000022555_CNSOverKidney>	"Dgat1"
<http://example.org/onto/individual/ENSMUSG00000045103_CNSOverKidney>	"Dmd"
<http://example.org/onto/individual/ENSMUSG00000060733_CNSOverKidney>	"Ipmk"
<http://example.org/onto/individual/ENSMUSG00000055013_CNSOverKidney>	"Agap1"
<http://example.org/onto/individual/ENSMUSG00000061451_CNSOverKidney>	"Tmem151a"
<http://example.org/onto/individual/ENSMUSG00000020017_CNSOverKidney>	"Hal"
<http://example.org/onto/individual/ENSMUSG00000036533_CNSOverKidney>	"Cdc42ep3"
<http://example.org/onto/individual/ENSMUSG00000017667_CNSOverKidney>	"Zfp334"
<http://example.org/onto/individual/ENSMUSG00000039765_CNSOverKidney>	"Cc2d2a"
<http://example.org/onto/individual/ENSMUSG00000009739_CNSOverKidney>	"Pou6f1"
<http://example.org/onto/individual/ENSMUSG00000026893_CNSOverKidney>	"Gca"
<http://example.org/onto/individual/ENSMUSG00000025453_CNSOverKidney>	"Nnt"
<http://example.org/onto/individual/ENSMUSG00000037280_CNSOverKidney>	"Galnt6"
<http://example.org/onto/individual/ENSMUSG00000028207_CNSOverKidney>	"Asph"
<http://example.org/onto/individual/ENSMUSG00000032046_CNSOverKidney>	"Abhd12"
<http://example.org/onto/individual/ENSMUSG00000020741_CNSOverKidney>	"Cluh"
<http://example.org/onto/individual/ENSMUSG00000039209_CNSOverKidney>	"Rpl39l"
<http://example.org/onto/individual/ENSMUSG00000037525_CNSOverKidney>	"Bcdin3d"
<http://example.org/onto/individual/ENSMUSG00000036353_CNSOverKidney>	"P2ry12"
<http://example.org/onto/individual/ENSMUSG00000025804_CNSOverKidney>	"Ccr1"
<http://example.org/onto/individual/ENSMUSG00000027864_CNSOverKidney>	"Ptgfrn"
<http://example.org/onto/individual/ENSMUSG00000018570_CNSOverKidney>	"2810408A11Rik"
<http://example.org/onto/individual/ENSMUSG00000019838_CNSOverKidney>	"Slc16a10"
<http://example.org/onto/individual/ENSMUSG00000061815_CNSOverKidney>	"Rufy4"
<http://example.org/onto/individual/ENSMUSG00000001123_CNSOverKidney>	"Lgals9"
<http://example.org/onto/individual/ENSMUSG00000026207_CNSOverKidney>	"Speg"
<http://example.org/onto/individual/ENSMUSG00000024667_CNSOverKidney>	"Tmem216"
<http://example.org/onto/individual/ENSMUSG00000090942_CNSOverKidney>	"F830016B08Rik"
<http://example.org/onto/individual/ENSMUSG00000078984_CNSOverKidney>	"Gm11027"
<http://example.org/onto/individual/ENSMUSG00000069755_CNSOverKidney>	"Zfp125"
<http://example.org/onto/individual/ENSMUSG00000028063_CNSOverKidney>	"Lmna"
<http://example.org/onto/individual/ENSMUSG00000048234_CNSOverKidney>	"Rnf149"
<http://example.org/onto/individual/ENSMUSG00000072115_CNSOverKidney>	"Ang"
<http://example.org/onto/individual/ENSMUSG00000030560_CNSOverKidney>	"Ctsc"
<http://example.org/onto/individual/ENSMUSG00000039286_CNSOverKidney>	"Fndc3b"
<http://example.org/onto/individual/ENSMUSG00000015090_CNSOverKidney>	"Ptgds"
<http://example.org/onto/individual/ENSMUSG00000020709_CNSOverKidney>	"Adap2"
<http://example.org/onto/individual/ENSMUSG00000044708_CNSOverKidney>	"Kcnj10"
