?genes_iri	?downRegulated
<http://example.org/onto/individual/ENSMUSG00000048108_CNSOverKidney>	"Tmem72"
<http://example.org/onto/individual/ENSMUSG00000026768_CNSOverKidney>	"Itga8"
<http://example.org/onto/individual/ENSMUSG00000031780_CNSOverKidney>	"Ccl17"
<http://example.org/onto/individual/ENSMUSG00000054342_CNSOverKidney>	"Kcnn4"
<http://example.org/onto/individual/ENSMUSG00000005125_CNSOverKidney>	"Ndrg1"
<http://example.org/onto/individual/ENSMUSG00000040562_CNSOverKidney>	"Gstm2"
<http://example.org/onto/individual/ENSMUSG00000044258_CNSOverKidney>	"Ctla2a"
<http://example.org/onto/individual/ENSMUSG00000035901_CNSOverKidney>	"Dennd5a"
<http://example.org/onto/individual/ENSMUSG00000089989_CNSOverKidney>	"Flt3l"
<http://example.org/onto/individual/ENSMUSG00000021822_CNSOverKidney>	"Plau"
<http://example.org/onto/individual/ENSMUSG00000001131_CNSOverKidney>	"Timp1"
<http://example.org/onto/individual/ENSMUSG00000056313_CNSOverKidney>	"1810011O10Rik"
<http://example.org/onto/individual/ENSMUSG00000045515_CNSOverKidney>	"Pou3f3"
<http://example.org/onto/individual/ENSMUSG00000057948_CNSOverKidney>	"Unc13d"
<http://example.org/onto/individual/ENSMUSG00000029861_CNSOverKidney>	"Fam131b"
<http://example.org/onto/individual/ENSMUSG00000018238_CNSOverKidney>	"Gdf9"
<http://example.org/onto/individual/ENSMUSG00000063568_CNSOverKidney>	"Jazf1"
<http://example.org/onto/individual/ENSMUSG00000055632_CNSOverKidney>	"Hmcn2"
<http://example.org/onto/individual/ENSMUSG00000032470_CNSOverKidney>	"Mras"
<http://example.org/onto/individual/ENSMUSG00000032601_CNSOverKidney>	"Prkar2a"
<http://example.org/onto/individual/ENSMUSG00000029720_CNSOverKidney>	"Gm20605"
<http://example.org/onto/individual/ENSMUSG00000075254_CNSOverKidney>	"Heg1"
<http://example.org/onto/individual/ENSMUSG00000028766_CNSOverKidney>	"Alpl"
<http://example.org/onto/individual/ENSMUSG00000024063_CNSOverKidney>	"Lbh"
<http://example.org/onto/individual/ENSMUSG00000044667_CNSOverKidney>	"Lppr4"
<http://example.org/onto/individual/ENSMUSG00000079492_CNSOverKidney>	"Gm11127"
<http://example.org/onto/individual/ENSMUSG00000033427_CNSOverKidney>	"Upb1"
<http://example.org/onto/individual/ENSMUSG00000058056_CNSOverKidney>	"Palld"
<http://example.org/onto/individual/ENSMUSG00000033721_CNSOverKidney>	"Vav3"
<http://example.org/onto/individual/ENSMUSG00000035458_CNSOverKidney>	"Tnni3"
<http://example.org/onto/individual/ENSMUSG00000031891_CNSOverKidney>	"Hsd11b2"
<http://example.org/onto/individual/ENSMUSG00000089762_CNSOverKidney>	"Ier5l"
<http://example.org/onto/individual/ENSMUSG00000079283_CNSOverKidney>	"2310009B15Rik"
<http://example.org/onto/individual/ENSMUSG00000041134_CNSOverKidney>	"Cyyr1"
<http://example.org/onto/individual/ENSMUSG00000063415_CNSOverKidney>	"Cyp26b1"
<http://example.org/onto/individual/ENSMUSG00000079800_CNSOverKidney>	"A530040E14Rik"
<http://example.org/onto/individual/ENSMUSG00000074738_CNSOverKidney>	"B930041F14Rik"
<http://example.org/onto/individual/ENSMUSG00000020926_CNSOverKidney>	"Adam11"
