?genes_iri	?downRegulated
<http://example.org/onto/individual/ENSMUSG00000026814_CNSOverKidney>	"Eng"
<http://example.org/onto/individual/ENSMUSG00000015401_CNSOverKidney>	"Tmem27"
<http://example.org/onto/individual/ENSMUSG00000000579_CNSOverKidney>	"Dynlt1c"
<http://example.org/onto/individual/ENSMUSG00000062157_CNSOverKidney>	"Ifnlr1"
<http://example.org/onto/individual/ENSMUSG00000026576_CNSOverKidney>	"Atp1b1"
<http://example.org/onto/individual/ENSMUSG00000032060_CNSOverKidney>	"Cryab"
<http://example.org/onto/individual/ENSMUSG00000042272_CNSOverKidney>	"Sestd1"
<http://example.org/onto/individual/ENSMUSG00000002900_CNSOverKidney>	"Lamb1"
<http://example.org/onto/individual/ENSMUSG00000078185_CNSOverKidney>	"Chml"
<http://example.org/onto/individual/ENSMUSG00000039713_CNSOverKidney>	"Plekhg5"
<http://example.org/onto/individual/ENSMUSG00000042638_CNSOverKidney>	"Gucy2c"
<http://example.org/onto/individual/ENSMUSG00000020810_CNSOverKidney>	"Cygb"
<http://example.org/onto/individual/ENSMUSG00000032278_CNSOverKidney>	"Paqr5"
<http://example.org/onto/individual/ENSMUSG00000079018_CNSOverKidney>	"Ly6c1"
<http://example.org/onto/individual/ENSMUSG00000068105_CNSOverKidney>	"Tnfrsf13c"
<http://example.org/onto/individual/ENSMUSG00000074170_CNSOverKidney>	"Plekhf1"
<http://example.org/onto/individual/ENSMUSG00000026255_CNSOverKidney>	"Efhd1"
<http://example.org/onto/individual/ENSMUSG00000028780_CNSOverKidney>	"Sema3c"
<http://example.org/onto/individual/ENSMUSG00000029860_CNSOverKidney>	"Zyx"
<http://example.org/onto/individual/ENSMUSG00000066357_CNSOverKidney>	"Wdr6"
<http://example.org/onto/individual/ENSMUSG00000045038_CNSOverKidney>	"Prkce"
<http://example.org/onto/individual/ENSMUSG00000068329_CNSOverKidney>	"Htra2"
<http://example.org/onto/individual/ENSMUSG00000046058_CNSOverKidney>	"Eid2"
<http://example.org/onto/individual/ENSMUSG00000002944_CNSOverKidney>	"Cd36"
<http://example.org/onto/individual/ENSMUSG00000064262_CNSOverKidney>	"Gimap8"
<http://example.org/onto/individual/ENSMUSG00000049191_CNSOverKidney>	"Rgag4"
<http://example.org/onto/individual/ENSMUSG00000025035_CNSOverKidney>	"Arl3"
<http://example.org/onto/individual/ENSMUSG00000020674_CNSOverKidney>	"Pxdn"
<http://example.org/onto/individual/ENSMUSG00000003418_CNSOverKidney>	"St8sia6"
<http://example.org/onto/individual/ENSMUSG00000020589_CNSOverKidney>	"Fam49a"
<http://example.org/onto/individual/ENSMUSG00000051727_CNSOverKidney>	"Kctd14"
<http://example.org/onto/individual/ENSMUSG00000036273_CNSOverKidney>	"Lrrk2"
<http://example.org/onto/individual/ENSMUSG00000043243_CNSOverKidney>	"Fam129c"
<http://example.org/onto/individual/ENSMUSG00000032375_CNSOverKidney>	"Aph1b"
<http://example.org/onto/individual/ENSMUSG00000076555_CNSOverKidney>	"Igkv4-57-1"
<http://example.org/onto/individual/ENSMUSG00000040857_CNSOverKidney>	"Erf"
<http://example.org/onto/individual/ENSMUSG00000021702_CNSOverKidney>	"Thbs4"
<http://example.org/onto/individual/ENSMUSG00000056153_CNSOverKidney>	"Socs6"
<http://example.org/onto/individual/ENSMUSG00000047907_CNSOverKidney>	"Tshz2"
<http://example.org/onto/individual/ENSMUSG00000022613_CNSOverKidney>	"Miox"
<http://example.org/onto/individual/ENSMUSG00000002804_CNSOverKidney>	"Nudt14"
<http://example.org/onto/individual/ENSMUSG00000028713_CNSOverKidney>	"Cyp4b1"
<http://example.org/onto/individual/ENSMUSG00000001120_CNSOverKidney>	"Pcbp3"
<http://example.org/onto/individual/ENSMUSG00000025279_CNSOverKidney>	"Dnase1l3"
<http://example.org/onto/individual/ENSMUSG00000020689_CNSOverKidney>	"Itgb3"
<http://example.org/onto/individual/ENSMUSG00000023348_CNSOverKidney>	"Trip6"
<http://example.org/onto/individual/ENSMUSG00000030786_CNSOverKidney>	"Itgam"
<http://example.org/onto/individual/ENSMUSG00000031536_CNSOverKidney>	"Polb"
<http://example.org/onto/individual/ENSMUSG00000074364_CNSOverKidney>	"Ehd2"
<http://example.org/onto/individual/ENSMUSG00000038732_CNSOverKidney>	"Mboat1"
<http://example.org/onto/individual/ENSMUSG00000034853_CNSOverKidney>	"Acot11"
<http://example.org/onto/individual/ENSMUSG00000045827_CNSOverKidney>	"Serpinb9"
<http://example.org/onto/individual/ENSMUSG00000030283_CNSOverKidney>	"St8sia1"
<http://example.org/onto/individual/ENSMUSG00000051043_CNSOverKidney>	"Gprc5c"
<http://example.org/onto/individual/ENSMUSG00000030149_CNSOverKidney>	"Klrk1"
<http://example.org/onto/individual/ENSMUSG00000020682_CNSOverKidney>	"Mmp28"
<http://example.org/onto/individual/ENSMUSG00000047678_CNSOverKidney>	"Gpr82"
<http://example.org/onto/individual/ENSMUSG00000009731_CNSOverKidney>	"Kcnd1"
<http://example.org/onto/individual/ENSMUSG00000101389_CNSOverKidney>	"Ms4a4a"
<http://example.org/onto/individual/ENSMUSG00000034127_CNSOverKidney>	"Tspan8"
<http://example.org/onto/individual/ENSMUSG00000075602_CNSOverKidney>	"Ly6a"
<http://example.org/onto/individual/ENSMUSG00000038776_CNSOverKidney>	"Ephx1"
<http://example.org/onto/individual/ENSMUSG00000020492_CNSOverKidney>	"Ska2"
<http://example.org/onto/individual/ENSMUSG00000000318_CNSOverKidney>	"Clec10a"
<http://example.org/onto/individual/ENSMUSG00000027863_CNSOverKidney>	"Cd2"
<http://example.org/onto/individual/ENSMUSG00000022994_CNSOverKidney>	"Adcy6"
<http://example.org/onto/individual/ENSMUSG00000037148_CNSOverKidney>	"Arhgap10"
<http://example.org/onto/individual/ENSMUSG00000041481_CNSOverKidney>	"Serpina3g"
<http://example.org/onto/individual/ENSMUSG00000024304_CNSOverKidney>	"Cdh2"
<http://example.org/onto/individual/ENSMUSG00000046312_CNSOverKidney>	"AI464131"
<http://example.org/onto/individual/ENSMUSG00000037151_CNSOverKidney>	"Lrrc20"
<http://example.org/onto/individual/ENSMUSG00000037185_CNSOverKidney>	"Krt80"
<http://example.org/onto/individual/ENSMUSG00000004655_CNSOverKidney>	"Aqp1"
<http://example.org/onto/individual/ENSMUSG00000032417_CNSOverKidney>	"Rwdd2a"
<http://example.org/onto/individual/ENSMUSG00000070877_CNSOverKidney>	"Ldlrad1"
<http://example.org/onto/individual/ENSMUSG00000053175_CNSOverKidney>	"Bcl3"
<http://example.org/onto/individual/ENSMUSG00000025790_CNSOverKidney>	"Slco3a1"
<http://example.org/onto/individual/ENSMUSG00000058126_CNSOverKidney>	"Tpm3-rs7"
<http://example.org/onto/individual/ENSMUSG00000028128_CNSOverKidney>	"F3"
<http://example.org/onto/individual/ENSMUSG00000053063_CNSOverKidney>	"Clec12a"
<http://example.org/onto/individual/ENSMUSG00000026417_CNSOverKidney>	"Pigr"
<http://example.org/onto/individual/ENSMUSG00000057963_CNSOverKidney>	"Itpk1"
<http://example.org/onto/individual/ENSMUSG00000002847_CNSOverKidney>	"Pla1a"
<http://example.org/onto/individual/ENSMUSG00000105504_CNSOverKidney>	"Gbp5"
<http://example.org/onto/individual/ENSMUSG00000038065_CNSOverKidney>	"Mturn"
<http://example.org/onto/individual/ENSMUSG00000044309_CNSOverKidney>	"Apol7c"
<http://example.org/onto/individual/ENSMUSG00000049382_CNSOverKidney>	"Krt8"
<http://example.org/onto/individual/ENSMUSG00000027765_CNSOverKidney>	"P2ry1"
<http://example.org/onto/individual/ENSMUSG00000001663_CNSOverKidney>	"Gstt1"
<http://example.org/onto/individual/ENSMUSG00000079523_CNSOverKidney>	"Tmsb10"
<http://example.org/onto/individual/ENSMUSG00000057967_CNSOverKidney>	"Fgf18"
<http://example.org/onto/individual/ENSMUSG00000039452_CNSOverKidney>	"Snx22"
<http://example.org/onto/individual/ENSMUSG00000006930_CNSOverKidney>	"Hap1"
<http://example.org/onto/individual/ENSMUSG00000030468_CNSOverKidney>	"Siglecg"
<http://example.org/onto/individual/ENSMUSG00000050195_CNSOverKidney>	"Scd4"
<http://example.org/onto/individual/ENSMUSG00000095204_CNSOverKidney>	"Ighv1-52"
<http://example.org/onto/individual/ENSMUSG00000003206_CNSOverKidney>	"Ebi3"
<http://example.org/onto/individual/ENSMUSG00000014846_CNSOverKidney>	"Tppp3"
<http://example.org/onto/individual/ENSMUSG00000035042_CNSOverKidney>	"Ccl5"
<http://example.org/onto/individual/ENSMUSG00000001039_CNSOverKidney>	"B9d1"
<http://example.org/onto/individual/ENSMUSG00000021367_CNSOverKidney>	"Edn1"
<http://example.org/onto/individual/ENSMUSG00000037966_CNSOverKidney>	"Ninj1"
<http://example.org/onto/individual/ENSMUSG00000030711_CNSOverKidney>	"Sult1a1"
<http://example.org/onto/individual/ENSMUSG00000062638_CNSOverKidney>	"Btnl1"
<http://example.org/onto/individual/ENSMUSG00000096727_CNSOverKidney>	"Psmb9"
<http://example.org/onto/individual/ENSMUSG00000001506_CNSOverKidney>	"Col1a1"
<http://example.org/onto/individual/ENSMUSG00000027452_CNSOverKidney>	"Acss1"
<http://example.org/onto/individual/ENSMUSG00000023066_CNSOverKidney>	"Rttn"
<http://example.org/onto/individual/ENSMUSG00000005267_CNSOverKidney>	"Zfp287"
<http://example.org/onto/individual/ENSMUSG00000044748_CNSOverKidney>	"Defb1"
<http://example.org/onto/individual/ENSMUSG00000062609_CNSOverKidney>	"Kcnj15"
<http://example.org/onto/individual/ENSMUSG00000022901_CNSOverKidney>	"Cd86"
<http://example.org/onto/individual/ENSMUSG00000027238_CNSOverKidney>	"Frmd5"
<http://example.org/onto/individual/ENSMUSG00000022534_CNSOverKidney>	"Mefv"
<http://example.org/onto/individual/ENSMUSG00000046432_CNSOverKidney>	"Ngfrap1"
<http://example.org/onto/individual/ENSMUSG00000022894_CNSOverKidney>	"Adamts5"
<http://example.org/onto/individual/ENSMUSG00000035783_CNSOverKidney>	"Acta2"
<http://example.org/onto/individual/ENSMUSG00000037363_CNSOverKidney>	"Letm2"
<http://example.org/onto/individual/ENSMUSG00000032322_CNSOverKidney>	"Pstpip1"
<http://example.org/onto/individual/ENSMUSG00000031480_CNSOverKidney>	"Thsd1"
<http://example.org/onto/individual/ENSMUSG00000052921_CNSOverKidney>	"Arhgef15"
<http://example.org/onto/individual/ENSMUSG00000082229_CNSOverKidney>	"Nap1l2"
<http://example.org/onto/individual/ENSMUSG00000078485_CNSOverKidney>	"Plekhn1"
<http://example.org/onto/individual/ENSMUSG00000027552_CNSOverKidney>	"E2f5"
<http://example.org/onto/individual/ENSMUSG00000000486_CNSOverKidney>	"Sep-01"
<http://example.org/onto/individual/ENSMUSG00000042249_CNSOverKidney>	"Adrbk2"
<http://example.org/onto/individual/ENSMUSG00000042678_CNSOverKidney>	"Myo15"
<http://example.org/onto/individual/ENSMUSG00000023224_CNSOverKidney>	"Serping1"
<http://example.org/onto/individual/ENSMUSG00000030549_CNSOverKidney>	"Rhcg"
<http://example.org/onto/individual/ENSMUSG00000025492_CNSOverKidney>	"Ifitm3"
<http://example.org/onto/individual/ENSMUSG00000044788_CNSOverKidney>	"Fads6"
<http://example.org/onto/individual/ENSMUSG00000013584_CNSOverKidney>	"Aldh1a2"
<http://example.org/onto/individual/ENSMUSG00000038143_CNSOverKidney>	"Stox2"
<http://example.org/onto/individual/ENSMUSG00000026315_CNSOverKidney>	"Serpinb8"
<http://example.org/onto/individual/ENSMUSG00000059430_CNSOverKidney>	"Actg2"
<http://example.org/onto/individual/ENSMUSG00000050379_CNSOverKidney>	"Sep-06"
<http://example.org/onto/individual/ENSMUSG00000030124_CNSOverKidney>	"Lag3"
<http://example.org/onto/individual/ENSMUSG00000005338_CNSOverKidney>	"Cadm3"
<http://example.org/onto/individual/ENSMUSG00000029070_CNSOverKidney>	"Mxra8"
<http://example.org/onto/individual/ENSMUSG00000023044_CNSOverKidney>	"Csad"
<http://example.org/onto/individual/ENSMUSG00000029810_CNSOverKidney>	"Tmem176b"
<http://example.org/onto/individual/ENSMUSG00000016028_CNSOverKidney>	"Celsr1"
<http://example.org/onto/individual/ENSMUSG00000039783_CNSOverKidney>	"Kmo"
<http://example.org/onto/individual/ENSMUSG00000038607_CNSOverKidney>	"Gng10"
<http://example.org/onto/individual/ENSMUSG00000026069_CNSOverKidney>	"Il1rl1"
<http://example.org/onto/individual/ENSMUSG00000033287_CNSOverKidney>	"Kctd17"
<http://example.org/onto/individual/ENSMUSG00000074417_CNSOverKidney>	"Gm14548"
<http://example.org/onto/individual/ENSMUSG00000055963_CNSOverKidney>	"Triqk"
<http://example.org/onto/individual/ENSMUSG00000028031_CNSOverKidney>	"Dkk2"
<http://example.org/onto/individual/ENSMUSG00000023088_CNSOverKidney>	"Abcc1"
<http://example.org/onto/individual/ENSMUSG00000024589_CNSOverKidney>	"Nedd4l"
<http://example.org/onto/individual/ENSMUSG00000024013_CNSOverKidney>	"Fgd2"
<http://example.org/onto/individual/ENSMUSG00000030587_CNSOverKidney>	"2200002D01Rik"
<http://example.org/onto/individual/ENSMUSG00000070644_CNSOverKidney>	"Etnk2"
<http://example.org/onto/individual/ENSMUSG00000022132_CNSOverKidney>	"Cldn10"
<http://example.org/onto/individual/ENSMUSG00000032519_CNSOverKidney>	"Slc25a38"
<http://example.org/onto/individual/ENSMUSG00000015312_CNSOverKidney>	"Gadd45b"
<http://example.org/onto/individual/ENSMUSG00000040197_CNSOverKidney>	"Cd209e"
<http://example.org/onto/individual/ENSMUSG00000093861_CNSOverKidney>	"Igkv1-110"
<http://example.org/onto/individual/ENSMUSG00000032726_CNSOverKidney>	"Bmp8a"
<http://example.org/onto/individual/ENSMUSG00000005672_CNSOverKidney>	"Kit"
<http://example.org/onto/individual/ENSMUSG00000051397_CNSOverKidney>	"Tacstd2"
<http://example.org/onto/individual/ENSMUSG00000067818_CNSOverKidney>	"Myl9"
<http://example.org/onto/individual/ENSMUSG00000062906_CNSOverKidney>	"Hdac10"
<http://example.org/onto/individual/ENSMUSG00000038298_CNSOverKidney>	"Pdzk1"
<http://example.org/onto/individual/ENSMUSG00000001864_CNSOverKidney>	"Aif1l"
<http://example.org/onto/individual/ENSMUSG00000049907_CNSOverKidney>	"Rasl11b"
<http://example.org/onto/individual/ENSMUSG00000021403_CNSOverKidney>	"Serpinb9b"
<http://example.org/onto/individual/ENSMUSG00000043939_CNSOverKidney>	"A530064D06Rik"
<http://example.org/onto/individual/ENSMUSG00000041797_CNSOverKidney>	"Abca9"
<http://example.org/onto/individual/ENSMUSG00000043557_CNSOverKidney>	"Mdga1"
<http://example.org/onto/individual/ENSMUSG00000039985_CNSOverKidney>	"Fam60a"
<http://example.org/onto/individual/ENSMUSG00000021186_CNSOverKidney>	"Fbln5"
<http://example.org/onto/individual/ENSMUSG00000027670_CNSOverKidney>	"Ocstamp"
<http://example.org/onto/individual/ENSMUSG00000020142_CNSOverKidney>	"Slc1a4"
<http://example.org/onto/individual/ENSMUSG00000073758_CNSOverKidney>	"Sh3d21"
<http://example.org/onto/individual/ENSMUSG00000030214_CNSOverKidney>	"Plbd1"
<http://example.org/onto/individual/ENSMUSG00000034930_CNSOverKidney>	"Rtkn"
<http://example.org/onto/individual/ENSMUSG00000031766_CNSOverKidney>	"Slc12a3"
<http://example.org/onto/individual/ENSMUSG00000024975_CNSOverKidney>	"Pdcd4"
<http://example.org/onto/individual/ENSMUSG00000018340_CNSOverKidney>	"Anxa6"
<http://example.org/onto/individual/ENSMUSG00000031779_CNSOverKidney>	"Ccl22"
<http://example.org/onto/individual/ENSMUSG00000006216_CNSOverKidney>	"Clcnkb"
<http://example.org/onto/individual/ENSMUSG00000022453_CNSOverKidney>	"Naga"
<http://example.org/onto/individual/ENSMUSG00000069515_CNSOverKidney>	"Lyz1"
<http://example.org/onto/individual/ENSMUSG00000059852_CNSOverKidney>	"Kcng2"
<http://example.org/onto/individual/ENSMUSG00000067642_CNSOverKidney>	"Adgrf3"
<http://example.org/onto/individual/ENSMUSG00000062960_CNSOverKidney>	"Kdr"
<http://example.org/onto/individual/ENSMUSG00000053025_CNSOverKidney>	"Sv2b"
<http://example.org/onto/individual/ENSMUSG00000025813_CNSOverKidney>	"Homer2"
<http://example.org/onto/individual/ENSMUSG00000028362_CNSOverKidney>	"Tnfsf8"
<http://example.org/onto/individual/ENSMUSG00000022463_CNSOverKidney>	"Srebf2"
<http://example.org/onto/individual/ENSMUSG00000024168_CNSOverKidney>	"Tmem204"
<http://example.org/onto/individual/ENSMUSG00000042292_CNSOverKidney>	"Mkl1"
<http://example.org/onto/individual/ENSMUSG00000069662_CNSOverKidney>	"Marcks"
<http://example.org/onto/individual/ENSMUSG00000067149_CNSOverKidney>	"Igj"
<http://example.org/onto/individual/ENSMUSG00000038224_CNSOverKidney>	"Serpinf2"
<http://example.org/onto/individual/ENSMUSG00000018339_CNSOverKidney>	"Gpx3"
<http://example.org/onto/individual/ENSMUSG00000034833_CNSOverKidney>	"Tespa1"
<http://example.org/onto/individual/ENSMUSG00000058881_CNSOverKidney>	"Zfp516"
<http://example.org/onto/individual/ENSMUSG00000004933_CNSOverKidney>	"Matk"
<http://example.org/onto/individual/ENSMUSG00000074385_CNSOverKidney>	"Gm10684"
<http://example.org/onto/individual/ENSMUSG00000038668_CNSOverKidney>	"Lpar1"
<http://example.org/onto/individual/ENSMUSG00000018211_CNSOverKidney>	"Wfdc15b"
<http://example.org/onto/individual/ENSMUSG00000019866_CNSOverKidney>	"Aim1"
<http://example.org/onto/individual/ENSMUSG00000051506_CNSOverKidney>	"Wdfy4"
<http://example.org/onto/individual/ENSMUSG00000030041_CNSOverKidney>	"M1ap"
<http://example.org/onto/individual/ENSMUSG00000045322_CNSOverKidney>	"Tlr9"
<http://example.org/onto/individual/ENSMUSG00000066720_CNSOverKidney>	"Cldn9"
<http://example.org/onto/individual/ENSMUSG00000015852_CNSOverKidney>	"Fcrls"
<http://example.org/onto/individual/ENSMUSG00000046908_CNSOverKidney>	"Ltb4r1"
<http://example.org/onto/individual/ENSMUSG00000028838_CNSOverKidney>	"Extl1"
<http://example.org/onto/individual/ENSMUSG00000024798_CNSOverKidney>	"Htr7"
<http://example.org/onto/individual/ENSMUSG00000010529_CNSOverKidney>	"Gm266"
<http://example.org/onto/individual/ENSMUSG00000068566_CNSOverKidney>	"Myadm"
<http://example.org/onto/individual/ENSMUSG00000081512_CNSOverKidney>	"Gm15821"
<http://example.org/onto/individual/ENSMUSG00000013033_CNSOverKidney>	"Adgrl1"
<http://example.org/onto/individual/ENSMUSG00000046841_CNSOverKidney>	"Ckap4"
<http://example.org/onto/individual/ENSMUSG00000016498_CNSOverKidney>	"Pdcd1lg2"
<http://example.org/onto/individual/ENSMUSG00000069601_CNSOverKidney>	"Ank3"
<http://example.org/onto/individual/ENSMUSG00000024736_CNSOverKidney>	"Tmem132a"
<http://example.org/onto/individual/ENSMUSG00000037239_CNSOverKidney>	"Spred3"
<http://example.org/onto/individual/ENSMUSG00000029862_CNSOverKidney>	"Clcn1"
<http://example.org/onto/individual/ENSMUSG00000053062_CNSOverKidney>	"Jam2"
<http://example.org/onto/individual/ENSMUSG00000020407_CNSOverKidney>	"Upp1"
<http://example.org/onto/individual/ENSMUSG00000032324_CNSOverKidney>	"Tspan3"
<http://example.org/onto/individual/ENSMUSG00000000673_CNSOverKidney>	"Haao"
<http://example.org/onto/individual/ENSMUSG00000024675_CNSOverKidney>	"Ms4a4c"
<http://example.org/onto/individual/ENSMUSG00000045826_CNSOverKidney>	"Ptprcap"
<http://example.org/onto/individual/ENSMUSG00000042842_CNSOverKidney>	"Serpinb6b"
<http://example.org/onto/individual/ENSMUSG00000027935_CNSOverKidney>	"Rab13"
<http://example.org/onto/individual/ENSMUSG00000013629_CNSOverKidney>	"Cad"
<http://example.org/onto/individual/ENSMUSG00000062510_CNSOverKidney>	"Nsl1"
<http://example.org/onto/individual/ENSMUSG00000024036_CNSOverKidney>	"Slc37a1"
<http://example.org/onto/individual/ENSMUSG00000011034_CNSOverKidney>	"Slc5a1"
<http://example.org/onto/individual/ENSMUSG00000019767_CNSOverKidney>	"Ccdc170"
<http://example.org/onto/individual/ENSMUSG00000093894_CNSOverKidney>	"Ighv1-53"
<http://example.org/onto/individual/ENSMUSG00000038007_CNSOverKidney>	"Acer2"
<http://example.org/onto/individual/ENSMUSG00000097487_CNSOverKidney>	"Ptges3l"
<http://example.org/onto/individual/ENSMUSG00000007122_CNSOverKidney>	"Casq1"
<http://example.org/onto/individual/ENSMUSG00000028843_CNSOverKidney>	"Sh3bgrl3"
<http://example.org/onto/individual/ENSMUSG00000025372_CNSOverKidney>	"Baiap2"
<http://example.org/onto/individual/ENSMUSG00000004043_CNSOverKidney>	"Stat5a"
<http://example.org/onto/individual/ENSMUSG00000004665_CNSOverKidney>	"Cnn2"
<http://example.org/onto/individual/ENSMUSG00000035109_CNSOverKidney>	"Shc4"
<http://example.org/onto/individual/ENSMUSG00000039043_CNSOverKidney>	"2610034B18Rik"
<http://example.org/onto/individual/ENSMUSG00000040812_CNSOverKidney>	"Agbl2"
<http://example.org/onto/individual/ENSMUSG00000021221_CNSOverKidney>	"Dpf3"
<http://example.org/onto/individual/ENSMUSG00000036062_CNSOverKidney>	"N28178"
<http://example.org/onto/individual/ENSMUSG00000024268_CNSOverKidney>	"Celf4"
<http://example.org/onto/individual/ENSMUSG00000036882_CNSOverKidney>	"Arhgap33"
<http://example.org/onto/individual/ENSMUSG00000051375_CNSOverKidney>	"Pcdh1"
<http://example.org/onto/individual/ENSMUSG00000028101_CNSOverKidney>	"Pias3"
<http://example.org/onto/individual/ENSMUSG00000068335_CNSOverKidney>	"Dok1"
<http://example.org/onto/individual/ENSMUSG00000056724_CNSOverKidney>	"Nbeal2"
<http://example.org/onto/individual/ENSMUSG00000047861_CNSOverKidney>	"Foxi1"
<http://example.org/onto/individual/ENSMUSG00000018849_CNSOverKidney>	"Wwc1"
<http://example.org/onto/individual/ENSMUSG00000021678_CNSOverKidney>	"F2rl1"
<http://example.org/onto/individual/ENSMUSG00000049184_CNSOverKidney>	"Purg"
<http://example.org/onto/individual/ENSMUSG00000000157_CNSOverKidney>	"Itgb2l"
<http://example.org/onto/individual/ENSMUSG00000033767_CNSOverKidney>	"D930015E06Rik"
<http://example.org/onto/individual/ENSMUSG00000055320_CNSOverKidney>	"Tead1"
<http://example.org/onto/individual/ENSMUSG00000039699_CNSOverKidney>	"Batf2"
<http://example.org/onto/individual/ENSMUSG00000028457_CNSOverKidney>	"Atp8b5"
<http://example.org/onto/individual/ENSMUSG00000050106_CNSOverKidney>	"Tmc8"
<http://example.org/onto/individual/ENSMUSG00000027210_CNSOverKidney>	"Meis2"
<http://example.org/onto/individual/ENSMUSG00000026976_CNSOverKidney>	"Pax8"
<http://example.org/onto/individual/ENSMUSG00000006360_CNSOverKidney>	"Crip1"
<http://example.org/onto/individual/ENSMUSG00000038893_CNSOverKidney>	"Fam117a"
<http://example.org/onto/individual/ENSMUSG00000027996_CNSOverKidney>	"Sfrp2"
<http://example.org/onto/individual/ENSMUSG00000040729_CNSOverKidney>	"Cep126"
<http://example.org/onto/individual/ENSMUSG00000050730_CNSOverKidney>	"Arhgap42"
<http://example.org/onto/individual/ENSMUSG00000029661_CNSOverKidney>	"Col1a2"
<http://example.org/onto/individual/ENSMUSG00000053110_CNSOverKidney>	"Yap1"
<http://example.org/onto/individual/ENSMUSG00000046562_CNSOverKidney>	"Unc119b"
<http://example.org/onto/individual/ENSMUSG00000026770_CNSOverKidney>	"Il2ra"
<http://example.org/onto/individual/ENSMUSG00000026589_CNSOverKidney>	"Sec16b"
<http://example.org/onto/individual/ENSMUSG00000020044_CNSOverKidney>	"Timp3"
<http://example.org/onto/individual/ENSMUSG00000028080_CNSOverKidney>	"Lrba"
<http://example.org/onto/individual/ENSMUSG00000047230_CNSOverKidney>	"Cldn2"
<http://example.org/onto/individual/ENSMUSG00000022489_CNSOverKidney>	"Pde1b"
<http://example.org/onto/individual/ENSMUSG00000089844_CNSOverKidney>	"A530032D15Rik"
<http://example.org/onto/individual/ENSMUSG00000005802_CNSOverKidney>	"Slc30a4"
<http://example.org/onto/individual/ENSMUSG00000009090_CNSOverKidney>	"Ap1b1"
<http://example.org/onto/individual/ENSMUSG00000055240_CNSOverKidney>	"Zfp101"
<http://example.org/onto/individual/ENSMUSG00000044927_CNSOverKidney>	"H1fx"
<http://example.org/onto/individual/ENSMUSG00000030030_CNSOverKidney>	"1700003E16Rik"
<http://example.org/onto/individual/ENSMUSG00000034265_CNSOverKidney>	"Zdhhc14"
<http://example.org/onto/individual/ENSMUSG00000030231_CNSOverKidney>	"Plekha5"
<http://example.org/onto/individual/ENSMUSG00000059149_CNSOverKidney>	"Mfsd4"
<http://example.org/onto/individual/ENSMUSG00000002032_CNSOverKidney>	"Tmem25"
<http://example.org/onto/individual/ENSMUSG00000033933_CNSOverKidney>	"Vhl"
<http://example.org/onto/individual/ENSMUSG00000076441_CNSOverKidney>	"Ass1"
<http://example.org/onto/individual/ENSMUSG00000024899_CNSOverKidney>	"Papss2"
<http://example.org/onto/individual/ENSMUSG00000022098_CNSOverKidney>	"Bmp1"
<http://example.org/onto/individual/ENSMUSG00000003352_CNSOverKidney>	"Cacnb3"
<http://example.org/onto/individual/ENSMUSG00000041445_CNSOverKidney>	"Mmrn2"
<http://example.org/onto/individual/ENSMUSG00000039031_CNSOverKidney>	"Arhgap18"
<http://example.org/onto/individual/ENSMUSG00000018168_CNSOverKidney>	"Ikzf3"
<http://example.org/onto/individual/ENSMUSG00000059412_CNSOverKidney>	"Fxyd2"
<http://example.org/onto/individual/ENSMUSG00000092609_CNSOverKidney>	"Gm20481"
<http://example.org/onto/individual/ENSMUSG00000050439_CNSOverKidney>	"Enthd1"
<http://example.org/onto/individual/ENSMUSG00000001270_CNSOverKidney>	"Ckb"
<http://example.org/onto/individual/ENSMUSG00000000861_CNSOverKidney>	"Bcl11a"
<http://example.org/onto/individual/ENSMUSG00000051851_CNSOverKidney>	"Cxx1c"
<http://example.org/onto/individual/ENSMUSG00000060090_CNSOverKidney>	"Rp2h"
<http://example.org/onto/individual/ENSMUSG00000038550_CNSOverKidney>	"Ciart"
<http://example.org/onto/individual/ENSMUSG00000021087_CNSOverKidney>	"Rtn1"
<http://example.org/onto/individual/ENSMUSG00000020882_CNSOverKidney>	"Cacnb1"
<http://example.org/onto/individual/ENSMUSG00000027820_CNSOverKidney>	"Mme"
<http://example.org/onto/individual/ENSMUSG00000022096_CNSOverKidney>	"Hr"
<http://example.org/onto/individual/ENSMUSG00000074491_CNSOverKidney>	"Clec4g"
<http://example.org/onto/individual/ENSMUSG00000038037_CNSOverKidney>	"Socs1"
<http://example.org/onto/individual/ENSMUSG00000014030_CNSOverKidney>	"Pax5"
<http://example.org/onto/individual/ENSMUSG00000037712_CNSOverKidney>	"Fermt2"
<http://example.org/onto/individual/ENSMUSG00000053395_CNSOverKidney>	"Cacng8"
<http://example.org/onto/individual/ENSMUSG00000022607_CNSOverKidney>	"Ptk2"
<http://example.org/onto/individual/ENSMUSG00000024620_CNSOverKidney>	"Pdgfrb"
<http://example.org/onto/individual/ENSMUSG00000019843_CNSOverKidney>	"Fyn"
<http://example.org/onto/individual/ENSMUSG00000036528_CNSOverKidney>	"Ppfibp2"
<http://example.org/onto/individual/ENSMUSG00000091649_CNSOverKidney>	"Phf11b"
<http://example.org/onto/individual/ENSMUSG00000036304_CNSOverKidney>	"Zdhhc23"
<http://example.org/onto/individual/ENSMUSG00000039158_CNSOverKidney>	"Akna"
<http://example.org/onto/individual/ENSMUSG00000066877_CNSOverKidney>	"Nck2"
